Scène 2.VIII.,ڤرتنديڠن 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سايرانو، بريت، كودينت، يڠ بركنا ?? ن دتڠڬوڠكن كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم كدالم ك
et auxquels on sert à boire et à manger.,دان دبريكن كڤد اورڠ-اورڠ يڠ مڠمبيل دان مڠمبيل.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سايرانو (مڠمبيل ڤرلو مڠمبيل ڤڠمبيلن يڠ تيدق مڠمبيلنڽ):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيدين سيدين سيدين سيدين سيدين
"LE BRET (désolé, redescendant, les bras au ciel):",بريت (توسل، دتاهون، يڠ برتوجوان دڠن كلوارڬ):
  Ah ! dans quels jolis draps.,اوه، اين چرتاي كوچك.
CYRANO:,سايرانو:
  Oh ! toi ! tu vas grogner !,اوه، تو، تو رو ميگي!
LE BRET:,ڤڠاجرن:
"  Enfin, tu conviendras",اخيراڽ، تومڤوان
"  Qu'assassiner toujours la chance passagère,",اونتوق مڠمبيلكن كامي سهيڠڬ كامي
  Devient exagéré.,اين مڠهادڤي.
CYRANO:,سايرانو:
"  Hé bien oui, j'exagère !",اوه، ها، اينو اونوڠ.
LE BRET (triomphant):,ڤڠڬيلن (منتراج)
  Ah !,اوه اوه اوه
CYRANO:,سايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",تتاڤي اونتوق ڤرينسيڤ، دان اونتوق مڠڬوناكن،
  Je trouve qu'il est bon d'exagérer ainsi.,ساي برهارڤ اداله يڠ باءيق اونتوق مڠهادڤي كڤدڽ.
LE BRET:,ڤڠاجرن:
"  Si tu laissais un peu ton âme mousquetaire,","""اوڤون تيدق برتاهن،"
  La fortune et la gloire. . .,كريتا دان كريتا. . . .
CYRANO:,سايرانو:
  Et que faudrait-il faire ?,اڤ يڠ بوليه دلاكوكن؟
"  Chercher un protecteur puissant, prendre un patron,",ممڤوڽاءي ڤڠوربان يڠ باڬي، ممڤوڽاءي ڤڠوربان يڠ باڬي،
  Et comme un lierre obscur qui circonvient un tronc,دان سباڬاي ڤڠڬيلن يڠ برڤڠڬيلن دڠن ڤڠڬيلن يڠ برڤڠڬيلن
"  Et s'en fait un tuteur en lui léchant l'écorce,",دان منجاديله ڤڠاجين يڠ برتاهن دان برتاهن.
  Grimper par ruse au lieu de s'élever par force ?,اونتوق مڠهادڤي كڤد ڤرنه اونتوق مڠهادڤي كڤد ڤرنه؟
"  Non, merci. Dédier, comme tous il le font,",نه، ممنون. وقف، مثل همه ي اونها،
  Des vers aux financiers ? se changer en bouffon,منچاري ڤنوليسن اونتوق مڠهادڤي ڤرنه
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",دڠن كڤد ڤمبنتوق يڠ برتيندق، دڠن كڤد كڤد ڤڠوربان،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ممڤوپا ?? ي لبيه لبيه، اڤابيلا ايت تيدق برتيندق؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، ممنون، هر روز يه كجوري ميخوري؟
  Avoir un ventre usé par la marche ? une peau,يه پيراهني که در راه رفتن خسته شده؟ يه پوستي که در راه رفتن خسته شده؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",يڠ سبلومڽ برتوجو برتوجو دڠن كركوتڽ؟
  Exécuter des tours de souplesse dorsale ?. . .,ممڤوپا ?? ي ڤرڬي ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن دڠن ڤڠاجرن. . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه، ممنون، يه دست به گردن بز بز بز بزني
"  Cependant que, de l'autre, on arrose le chou,",دان سسواتو يڠ برتيندق دڠن كڤوتوسن،
