Scène 2.VIII.,Adegan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, aneuk muda, nyang duek blah uneuen dan blah wie"
et auxquels on sert à boire et à manger.,dan awaknyan jipeujieb ié dan peunajoh.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (meukeureuja deungon su nyang meuleukek-leukek keu ureuëng nyang jiteubiet dan hana jijeuet peugah saleuem):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan
"LE BRET (désolé, redescendant, les bras au ciel):",(Keujadian nyan teujadi nibak uroe Sabat.)
  Ah ! dans quels jolis draps.,Ah! lam ija nyang lagak that.
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
  Oh ! toi ! tu vas grogner !,"Oh, awak, awak akan meukrok!"
LE BRET:,PANGKA:
"  Enfin, tu conviendras","Akhé jih, gata teuma jeuet."
"  Qu'assassiner toujours la chance passagère,","Bah kheueh ulôn teutab lôn peumaté keubeuranian lôn,"
  Devient exagéré.,Nyoe ka jeuet keu haba nyang paleng manyang.
CYRANO:,CYRANO: nyang awaknyoe pike nyan?
"  Hé bien oui, j'exagère !","Oh, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan, nyan,"
