Scène 2.VIII.,المشهد الثاني ثمانية.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, الاطفال الصغار, الذين يَقْعُدُونَ عَنْ الْيَمِينِ وَالْيَسَارِ"
et auxquels on sert à boire et à manger.,وَيُسْتَخْدَمُونَهُمْ لِيَأْكُلُوا وَيَشْرَبُوا.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سِيرَانُ (يُسَلِّمُ بِهَذِهِ الْأَعْيَانِ الْمُخْرِجَةِ بِلا جَرَاءَةٍ):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيّدُو سيّدُو سيّدُو سيّدُو
"LE BRET (désolé, redescendant, les bras au ciel):",الْمُؤْتَمِنُونَ (تَنَزَّلُ ، ذِرَاعَيْهِ إِلَى السَّمَاءِ):
  Ah ! dans quels jolis draps.,يَا مَنْ يَرْتَفِعُ بِالْكِتَابِ الْمُنْتَهِي.
CYRANO:,سيرانو:
  Oh ! toi ! tu vas grogner !,اوه انت! انت ستصرخ!
LE BRET:,الـ (بريت)
"  Enfin, tu conviendras",أخيرا، ستوافقين
"  Qu'assassiner toujours la chance passagère,",وَكَانَ يَقْتُلُ الْحَظَّ الْمُتَقَلِّلَ
  Devient exagéré.,يَكُونُ مُتَعَظِّمًا.
CYRANO:,سيرانو:
"  Hé bien oui, j'exagère !",بلى، أنا أَعْمَلُ مُتَعَلِّقَةً.
LE BRET (triomphant):,الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ) الـ (الـ)
  Ah !,آه!
CYRANO:,سيرانو:
"  Mais pour le principe, et pour l'exemple aussi,",وَلَكِنْ مِنْ أَجْلِ المَثَلِ وَمِنْ أَجْلِ المَثَلِ
  Je trouve qu'il est bon d'exagérer ainsi.,أَنَا أَرَى أَنَّهُ جَيِّدٌ أَنْ يُفْضَحَ هَذَا.
LE BRET:,الـ (بريت)
"  Si tu laissais un peu ton âme mousquetaire,",لَوْ تَرَكْتَ نَفْسَكَ الْمُسْتَغْلِبَةَ
  La fortune et la gloire. . .,الْغِنَى وَالْمَجْدُ . . .
CYRANO:,سيرانو:
  Et que faudrait-il faire ?,وماذا يجب ان نفعل؟
"  Chercher un protecteur puissant, prendre un patron,",وَأَنْ يَتَعَلَّقَ بِمُحَمَّدٍ قَوِيٍّ وَيَتَّخِذَ رَئِيسًا
  Et comme un lierre obscur qui circonvient un tronc,وَكَمَا يَكُونُ الْمَرْقَةُ الظَّلامَةُ تَحْوِي الْقَصْدَ
"  Et s'en fait un tuteur en lui léchant l'écorce,",وَيَجْعَلُهُ مُرَاعِيًا يَلْحَقُ جِلْدَهُ ،
  Grimper par ruse au lieu de s'élever par force ?,أَنْ تَرْتَفِعَ بِالْحِيلَةِ مِنْ أَجْلِ الْقُوَّةِ؟
"  Non, merci. Dédier, comme tous il le font,",لا شكراً لك. الالتزام، ككل واحد منهم،
  Des vers aux financiers ? se changer en bouffon,من الدود الى الماليين؟ يتحولون الى فاشل
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",وَبِمُرَادٍ مُنْكَرٍ أَنْ يَرَى ، فِي شَفَتَيْ خَادِمٍ ،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",وَلِيُولِدَ إِبْتِهَاجًا ، وَمَنْ لا يَكُونُ خَبِيثًا ؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا شكراً، هل تَأْكُلُ غداءاً كُلّ يوم؟
  Avoir un ventre usé par la marche ? une peau,اكون بطني متسخ من المشي؟ جلد
"  Qui plus vite, à l'endroit des genoux, devient sale ?",وَمَنْ يَتَغَرَّسُ أَكْثَرَ مِنْ أَجْلِ الرُّكْبَانِ؟
