Scène 2.VIII.,سكان 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سيرانو، ل بريت، الصغار، الِّي قَعْدُوا عْلَى يْمِينْ وْعَنْ يْسَارْ
et auxquels on sert à boire et à manger.,وْيِتْعَدُّوا وِيْشَرْبُوا وِيْكُونُوا.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (يُسلم بْعَضْ الِّي يْخَرْجُوا وْمَا يْجَاوْزُوشْ يُسْلْمُوا):
  Messieurs. . .Messieurs. . .Messieurs. . .,سادة سادة سادة سادة سادة سادة سادة سادة
"LE BRET (désolé, redescendant, les bras au ciel):",بْرَدْ (مَحْزُونْ، يِنْزِلْ، يْدِيهْ لِلسْمَاء):
  Ah ! dans quels jolis draps.,قْبَلْ مَا تِشْكِي فِي حِطَّاتْ.
CYRANO:,سيرانو:
  Oh ! toi ! tu vas grogner !,اوه، إنا، إنت بيقبرو!
LE BRET:,الكبير:
"  Enfin, tu conviendras",أخيرا، تنجم
"  Qu'assassiner toujours la chance passagère,",وْمَا يُقْتُلْشْ الحُسْنْ المُضِي،
  Devient exagéré.,يَكْثِرْ مِنْ قَلْبِي.
CYRANO:,سيرانو:
"  Hé bien oui, j'exagère !",إيه، إيه، أنا نضج!
LE BRET (triomphant):,(ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب) (ب)
  Ah !,آه!
CYRANO:,سيرانو:
"  Mais pour le principe, et pour l'exemple aussi,",آمَا مِالمَعْرُوفْ وِالمَثَلْ زَادَا،
  Je trouve qu'il est bon d'exagérer ainsi.,نْشُوفْ الِّي هَاذَا مُسْتَحِيلْ.
LE BRET:,الكبير:
"  Si tu laissais un peu ton âme mousquetaire,",إِذَا كَانْ خَلِّيتْ رُوحِكْ تِتْمَرِّي،
  La fortune et la gloire. . .,الغْنَى وِالمَجْدْ.
CYRANO:,سيرانو:
  Et que faudrait-il faire ?,و شنية يلزم نَعْمِلْ؟
"  Chercher un protecteur puissant, prendre un patron,",وْإِخْذْ مُؤَمِّنْ،
  Et comme un lierre obscur qui circonvient un tronc,وْكِيفْ مَا يْكُونْ فِي القْطَعْ مِنْ غَيْرِي
"  Et s'en fait un tuteur en lui léchant l'écorce,",وْيَعْمِلْ مِنْهَا مُرْبِي وْيَلْحِسْ جَلْدُو،
  Grimper par ruse au lieu de s'élever par force ?,تِتْعَلِّمْ بِالخدَعْ وْمَا تِتْعَلِّمْشْ بِالقُوَّة؟
"  Non, merci. Dédier, comme tous il le font,",لا، يعيشك. تَبْذِلْ، كِيفْ مَا يَعْمْلُوا الكُلْ،
  Des vers aux financiers ? se changer en bouffon,من ورما إلى الماليين؟ يتحولوا لخرافات
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",وْإِمَّالاَ نْعَمِّلْ الشَّيْء هَاذَا، وْنَعْمِلْ الشَّيْء هَاذَا عْلَى شْفَتْ وِلْدْ مُؤْمِنْ،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",بَاشْ تُولِدْ إِسْمِحْ، وْمَا هُمْشْ مُخْطِبِينْ؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، يعيشك. شربطوا الغداء كل يوم؟
  Avoir un ventre usé par la marche ? une peau,تَعْمِلْ مِالمَعْشْ مَا تِمْشِي؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",شْكُونْ يْكُونْ قَلْبُو يْكُونْ قَلْبُو قْرِيبْ عْلَى رُكْبِيهْ؟
  Exécuter des tours de souplesse dorsale ?. . .,يَعْمْلُوا رُكْبَة مِنْ رَاسْهُمْ؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا، شكرك. بيد وحدة تُشْرِفْ العْتَارْ بِالرَّقْبْ
"  Cependant que, de l'autre, on arrose le chou,",آمَا إِذَا كَانْ عْلَى الغَادِي نْسَكِّينْ الكُولُو،
"  Et, donneur de séné par désir de rhubarbe,",وِلِّي يْحِبْ يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِبُّوا يْحِب
"  Avoir son encensoir, toujours, dans quelque barbe ?",وِيْكُونْ كِيفُو يِتْحَرِّمْ فِي حِينْ؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكرًا. تُطلعْ مِنْ تَوْرَة لَتَوْرَة،
"  Devenir un petit grand homme dans un rond,",وْيَكُونْ رَاجِلْ صْغِيرْ وْكِيمْ فِي جَنْبْ،
"  Et naviguer, avec des madrigaux pour rames,",وِيْسَافْرُوا بِالسْفِينَة مْتَاعْ السْفِينَة
  Et dans ses voiles des soupirs de vieilles dames ?,و في سلاسلةها نايب قديمة؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، يعيشك، في الناشر الصحيح في سيرسي
"  Faire éditer ses vers en payant ? Non, merci !",يَاخِي يُحْرُثْ فِيهْ قَلْبُو بِالدَّم؟
  S'aller faire nommer pape par les conciles,يُقْبُلْ البُوبْ مِالمُؤْمْنِينْ
  Que dans des cabarets tiennent des imbéciles ?,قاعداً في كاباريت يحتجزوا غبيين؟
"  Non, merci ! Travailler à se construire un nom",لا، يعيشك. نعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",فِي صُنْتَة وْمَا تَعْمِلْشْ أُخْرِينْ؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكرك، تكتشف المواهب في الملاهية؟
"  Être terrorisé par de vagues gazettes,",تْرُوحْ مِنْ جْوَابْ جْوَابْ،
"  Et se dire sans cesse: Oh, pourvu que je sois","وْمَا نَاقِشْ نْقُولْ: ""يَاخِي آنَا"
  Dans les petits papiers du Mercure François ?. . .,في ورقات متاع ميركور فرانسيس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، يعيشك. حَسِّبْ، خَافْ، كُونْ مَا يِشْكِي،
"  Aimer mieux faire une visite qu'un poème,",نْحِبْ نْعَاوِدْ النَّاسْ مِنْ الشِّعْرْ،
"  Rédiger des placets, se faire présenter ?",تَعْمِلْ حَاجَاتْ مَا تُعْرَفْشْ؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكرك، لا، شكرك، لا، شكرك، ولكن.
"  Rêver, rire, passer, être seul, être libre,",حْلُومْ، ضَحِكْ، مَرَّ، كُونْ وَحْدِكْ، كُونْ حُرْ،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",وْعِينِكْ تْشُوفْ وْصُوتِكْ يِتْرَجَّعْ
"  Mettre, quand il vous plaît, son feutre de travers,",وْإِنْتِ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ تْحِبْ
"  Pour un oui, pour un non, se battre,--ou faire un vers !",عْلَى إِيهْ، عْلَى إِلاَّ، يْجَاهِدْ، وِلاَّ يْكُونْ حَاجَة!
"  Travailler sans souci de gloire ou de fortune,",خِدْمْ مَا تْلَوِّجْشْ عْلَى المَجْدْ وِلاَّ الغْنَى،
"  A tel voyage, auquel on pense, dans la lune !",فِي رحلة، وْإِنْتِ تَفْكِرْ فِيهَا، لِلشَّمْسْ!
"  N'écrire jamais rien qui de soi ne sortît,",مَا تِكْتِبُّوشْ حَتَّى حَاجَة مَا تِخْرُجْ مِنْ رُوحِكْ،
"  Et modeste d'ailleurs, se dire: mon petit,","وْمِتْوَاضِعْ يْقُولْ: ""يَا صْغِيرِي،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",وِيْكُونْ مَشْبُوطْ بِالفُلُّورْ وِالثْمَرْ وِالوْرَقْ،
  Si c'est dans ton jardin à toi que tu les cueilles !,إِذَا كَانْ فِي حَقْكْ تَلْقَاهُمْ.
"  Puis, s'il advient d'un peu triompher, par hasard,",وْإِذَا كَانْ يِتْعَزِّمْ بِالقْصَرْ،
"  Ne pas être obligé d'en rien rendre à César,",وْمَا تِلْزْمِيشْ تْعَاوِنْ قَيْصَرْ،
"  Vis-à-vis de soi-même en garder le mérite,",وْمَا يِسْتَحْقِقْشْ فِي رُوحُو،
