Scène 2.VIII.,Scenario 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, die jonger kinders, wat regs en links gaan sit"
et auxquels on sert à boire et à manger.,En hulle word bedien om te eet en te drink.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (wat met 'n goguinagtige lug die mense groet wat nie die moed het om hom te groet nie):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, Here, is die Here, wat vir my gesê het dat ek moet bid, en dat ek moet bid, en dat U my Here, Here, Here, Here, Here, Here, Here, sal my God, Here, Here, sal my God, my God, die Here, en die Here, sal my God, wees, en sal my God, my God, my God, my God, my God, my God, my God, my God, my God, my God, my God, my God,"
"LE BRET (désolé, redescendant, les bras au ciel):","Die BRET (sorry, af, arms in die lug):"
  Ah ! dans quels jolis draps.,Wat 'n pragtige bed.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Jy sal grom!
LE BRET:,Die Kersfees:
"  Enfin, tu conviendras",Uiteindelik sal jy goed wees
"  Qu'assassiner toujours la chance passagère,","Dat jy altyd die verbygaande geluk vermoor,"
  Devient exagéré.,Dit word te veel.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ek is te veel.
LE BRET (triomphant):,Die SWEER (tromfante):
  Ah !,Ek is dood.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Maar vir die beginsel, en vir die voorbeeld ook,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ek dink dit is goed om so te oordryf.
LE BRET:,Die Kersfees:
"  Si tu laissais un peu ton âme mousquetaire,","As jy net 'n bietjie van jou muskiet siel laat,"
  La fortune et la gloire. . .,Rykdom en roem . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,En wat moet ons doen?
"  Chercher un protecteur puissant, prendre un patron,","Om 'n magtige beskermer te soek, 'n baas te neem,"
  Et comme un lierre obscur qui circonvient un tronc,En soos 'n donker lier wat 'n stam omring
"  Et s'en fait un tuteur en lui léchant l'écorce,","En hy maak hom 'n voog en lieg sy vel,"
  Grimper par ruse au lieu de s'élever par force ?,"Om deur middel van 'n sluipmoord op te klim, eerder as deur middel van 'n gewelddadige opklim?"
"  Non, merci. Dédier, comme tous il le font,","Nee, dankie, maar ek wil graag, soos almal,"
  Des vers aux financiers ? se changer en bouffon,Van wurms tot finansies?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In die vernederde hoop om te sien, op die lippe van 'n minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Om 'n glimlag te kry, wat nie sinister is nie?"
