Scène 2.VIII.,Skenë 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, të rinjtë, të cilët u vendosën në të djathtë dhe të majtë"
et auxquels on sert à boire et à manger.,dhe u shërben për të pirë dhe për të ngrënë.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (të përshëndet me një frymë të shëmtuar ata që dalin pa guxitur ta përshëndesin):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotëri, zotë"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (të keq, të shëtitur, krahët në qiell):"
  Ah ! dans quels jolis draps.,Në çfarë shtresë të bukur.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ti, do të qajesh!"
LE BRET:,PËRËRË:
"  Enfin, tu conviendras",Më në fund do të jesh në rregull.
"  Qu'assassiner toujours la chance passagère,","Që të vrasësh gjithmonë fatin e përkohshëm,"
  Devient exagéré.,Po bëhet e tepërt.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Po, po, po e kam bërë këtë."
LE BRET (triomphant):,BRET (për fitore):
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Por për parimin, dhe për shembull,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mendoj se është mirë të shtrihet kështu.
LE BRET:,PËRËRË:
"  Si tu laissais un peu ton âme mousquetaire,","Nëse do të lësh shpirtin tënd të moshues,"
  La fortune et la gloire. . .,Pasuria dhe lavdia. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Dhe çfarë duhet të bëjmë?
"  Chercher un protecteur puissant, prendre un patron,","Të kërkojë një mbrojtës të fuqishëm, të marrë një patrone,"
