Scène 2.VIII.,ትዕይንት 2.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",ሲራኖ፣ ሌ ብሬት፣ የቀኝና የግራ ተቀመጡ ታዳጊዎች
et auxquels on sert à boire et à manger.,ለእነርሱም የሚጠጡትንና የሚበሉትን ይሰጣሉ።
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ሲራኖ (ከእሱ ጋር ሰላምታ ለመናገር ደፍረው ሳይወጡ የሚወጡትን በቁጣ ሰላምታ እያቀረበ):
  Messieurs. . .Messieurs. . .Messieurs. . .,ጌቶች... ጌቶች... ጌቶች... ጌቶች...
"LE BRET (désolé, redescendant, les bras au ciel):","የ BRET (አዝናለሁ, ወደ ታች, ወደ ሰማይ እጆች):"
  Ah ! dans quels jolis draps.,እንዴት ያለ ቆንጆ አልጋ።
CYRANO:,ሲራኖ፦
  Oh ! toi ! tu vas grogner !,አንተስ! አንተም ትጮኻለህ!
LE BRET:,አሻንጉሊት:
"  Enfin, tu conviendras",በመጨረሻም ተስማምተህ ትኖራለህ
"  Qu'assassiner toujours la chance passagère,",ሁልጊዜም ጊዜያዊ ዕድልን መግደል
  Devient exagéré.,በጣም ከመጠን በላይ እየሆነ ነው።
CYRANO:,ሲራኖ፦
"  Hé bien oui, j'exagère !",አዎን፣ እጨምራለሁ!
LE BRET (triomphant):,(ድል አድራጊ)
  Ah !,አህ !
CYRANO:,ሲራኖ፦
"  Mais pour le principe, et pour l'exemple aussi,",ግን ለመሰረታዊ መርህ፣ እንዲሁም ለአብነት፣
  Je trouve qu'il est bon d'exagérer ainsi.,ይህን ያህል ማጉላት ጥሩ ይመስለኛል።
LE BRET:,አሻንጉሊት:
"  Si tu laissais un peu ton âme mousquetaire,",ነፍስህን ትንሽ ብትተዉ ኖሮ
  La fortune et la gloire. . .,ሀብትና ክብር . . .
CYRANO:,ሲራኖ፦
  Et que faudrait-il faire ?,ታዲያ ምን ማድረግ ይኖርብናል?
"  Chercher un protecteur puissant, prendre un patron,",ኃያል የሆነ ጠባቂን መፈለግ፣ አለቃን መያዝ፣
  Et comme un lierre obscur qui circonvient un tronc,እንደ ጨለማ ቅጠል በጨጓራው ዙሪያ
"  Et s'en fait un tuteur en lui léchant l'écorce,",ከርሱም ከቆዳው ጋር ይዋኛል፤
  Grimper par ruse au lieu de s'élever par force ?,በኃይል ከመውጣት ይልቅ በጠላትነት መውጣት?
"  Non, merci. Dédier, comme tous il le font,",አይደለም አመሰግናለሁ.
  Des vers aux financiers ? se changer en bouffon,ከቁንጅና እስከ ፋይናንስ፣ ወደ አሻንጉሊት መለወጥ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",በባሪያው አፍ ለማየት በዋናነት ተስፋ
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ፈገግታ ለመፍጠር፣ ደግሞም ለስሜት የማይጠቅም?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",በየቀኑ እራት የምትበሉት ከጭንቅላቱ ነው?
  Avoir un ventre usé par la marche ? une peau,በሂደት ላይ ሆድ ማባከን?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ከመንገዶች ይልቅ ማን ቶሎ ቆሻሻ ይሆናል?
  Exécuter des tours de souplesse dorsale ?. . .,የጀርባውን ተለዋዋጭነት ማሽከርከር? . . .
"  Non, merci. D'une main flatter la chèvre au cou",አይ፣ አመሰግናለሁ፣ አንድ እጅ ከፍየል አንገት ላይ ማሰስ
"  Cependant que, de l'autre, on arrose le chou,",ሆኖም ግን፣ ሌላኛው ሰው ከቆሎው ጋር ሲጣጣጥስ፣
"  Et, donneur de séné par désir de rhubarbe,",በዐጢያተኛም (በመከራ) ውስጥ የሚሸፍን፣
"  Avoir son encensoir, toujours, dans quelque barbe ?",የእሱ ማሰሪያ ሁል ጊዜ በወገብ ውስጥ መሆን?
"  Non, merci ! Se pousser de giron en giron,",አይደለም፣ አመሰግናለሁ፣ ከግምት ውስጥ በማስገባት፣
"  Devenir un petit grand homme dans un rond,","አንድ ዙር ውስጥ ትንሽ ትልቅ ሰው መሆን,"
"  Et naviguer, avec des madrigaux pour rames,",በባሕር ላይም በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በባሕር ላይ የሚጓዙት በ
  Et dans ses voiles des soupirs de vieilles dames ?,በእንጨት መያዣዎቹ ውስጥ የድሮ ሴቶች ጩኸት አለ?
"  Non, merci ! Chez le bon éditeur de Sercy",አይደለም፣ አመሰግናለሁ፣ ወደ ትክክለኛው የሰርሲ አዘጋጅ
"  Faire éditer ses vers en payant ? Non, merci !",ለክፍያ ክፍያዎች አዘጋጅቶ እንዲሰራ ማድረግ?
  S'aller faire nommer pape par les conciles,በፓፕ ሊቆሙ የሚገቡበት መንገድ
  Que dans des cabarets tiennent des imbéciles ?,በካቢሮ ውስጥ ሞኞች ይይዛሉ?
"  Non, merci ! Travailler à se construire un nom",አይደለም አመሰግናለሁ ለራስህ ስም ለመፍጠር እየሰራሁ ነው
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ሌላውን ከመፍጠር ይልቅ በአንድ ድምጽ ላይ?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,በገሃድ ውስጥ ብቻ ነው ተሰጥኦን ማግኘት?
"  Être terrorisé par de vagues gazettes,",በጋዜጣዎች ውስጥ በድንጋጤ መፈራራት
"  Et se dire sans cesse: Oh, pourvu que je sois","""እኔም ቢሆን፣"
  Dans les petits papiers du Mercure François ?. . .,በበርኩር ፍራንሲስ ወረቀቶች ውስጥ? . . .
"  Non, merci ! Calculer, avoir peur, être blême,",አይደለም አመሰግናለሁ! ማሰላሰል፣ መፍራት፣ ማጉረምረም፣
"  Aimer mieux faire une visite qu'un poème,",ከቅኔ ይልቅ ጉብኝት ማድረግን ይወዳሉ
"  Rédiger des placets, se faire présenter ?",ማስታወሻ ደብተር ማዘጋጀት፣ ራስን ማቅረብ?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",አይደለም አመሰግናለሁ አይደለም አመሰግናለሁ አይደለም አመሰግናለሁ ግን...
"  Rêver, rire, passer, être seul, être libre,",ሕልም፣ ሳቅ፣ ማለፍ፣ ብቸኝነት፣ ነፃነት፣
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ዓይናችሁ በደንብ እንዲታይ፣ ድምጻችሁም እንዲነቃቃ ማድረግ፣
