Scène 2.VIII.,مسرح 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سيرانو، بريت، الصغار، اللي قاعدوا على اليمين و على اليسار
et auxquels on sert à boire et à manger.,ويتم تناولهم ويتم شربهم.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (بصيحة عالم يخرجون من دون جريئه يلقوه):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيّدي، سيّدي، سيّدي.
"LE BRET (désolé, redescendant, les bras au ciel):",الروت (مأسفة، عالسطح، ذراعيها في السماء):
  Ah ! dans quels jolis draps.,ايه، بيكيفة منشفة.
CYRANO:,كايرانو:
  Oh ! toi ! tu vas grogner !,أياك، رح تبغغ!
LE BRET:,البريط:
"  Enfin, tu conviendras",أخيرا، رح تبقى على ما يرام
"  Qu'assassiner toujours la chance passagère,",بقتل الحظ المرحلي،
  Devient exagéré.,بيصير مبالغ فيه.
CYRANO:,كايرانو:
"  Hé bien oui, j'exagère !",إيه، إني مبالغ.
LE BRET (triomphant):,البريط (النتصر):
  Ah !,ايه!
CYRANO:,كايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",بس للمبدأ، وبالمثال،
  Je trouve qu'il est bon d'exagérer ainsi.,بعتئد إنو منيح إزداد المبالغ.
LE BRET:,البريط:
"  Si tu laissais un peu ton âme mousquetaire,",لو خليت روحك ميسكي شوية،
  La fortune et la gloire. . .,الغنيمة والجلال . . .
CYRANO:,كايرانو:
  Et que faudrait-il faire ?,شو لازم نفعله؟
"  Chercher un protecteur puissant, prendre un patron,",بدو حامي قوي، بدو عميل،
  Et comme un lierre obscur qui circonvient un tronc,وبيكن كالعصا المظلمة اللي بيطول عالمة
"  Et s'en fait un tuteur en lui léchant l'écorce,",ويحولونها عَلَى مَنْ يَحْفَظُها و يَلْحَسُونَ جِلْدَتَهَا.
  Grimper par ruse au lieu de s'élever par force ?,بتصعد بطرق بدل إرتفاع بضغط؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً. إلتخصم، ككل واحد يفعلها،
  Des vers aux financiers ? se changer en bouffon,من الدودة إلى الماليين؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",بعتني البشعة بيعرف، عفواً من وزير،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",إبتلع إبتسامة، بعد كل شيء، اللي ما يكون مخيف؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، شكراً، إزاً إطعام الغداء كل يوم؟
  Avoir un ventre usé par la marche ? une peau,إحتمال بطنك متسخ من المشي؟ بشرة
"  Qui plus vite, à l'endroit des genoux, devient sale ?",مين أسرع، من مكان الركبة، يصبح قذر؟
  Exécuter des tours de souplesse dorsale ?. . .,بتعمل دورات مرونة للظهر؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا، شكراً، بيد واحدة بتشليع العنزة عرق
"  Cependant que, de l'autre, on arrose le chou,",بس إذا سبتوا الكولب عالأخر،
"  Et, donneur de séné par désir de rhubarbe,",ويحطم الرضع عشان يطمعوا بيه،
"  Avoir son encensoir, toujours, dans quelque barbe ?",إزايبها في حلاقة؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً، إضربوا من إزرار إلى إزرار،
"  Devenir un petit grand homme dans un rond,",بتصبح رجلاً كبير صغير في جولة،
"  Et naviguer, avec des madrigaux pour rames,",ويتسيرون بمنشآت ماديري،
