Scène 2.VIII.,المشهد الثاني الثامن
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",(سيرانو) ، (لي بريت) ، (الصغار) ، الذين جلسوا على اليمين واليسار
et auxquels on sert à boire et à manger.,ويتم تناول الطعام ويشربون.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"(سيرانو) (يُسلم بـ""هواء غغغن"" لمن يخرج دون أن يجرؤ على السلم عليه):"
  Messieurs. . .Messieurs. . .Messieurs. . .,أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة، أيها السادة،
"LE BRET (désolé, redescendant, les bras au ciel):",الرد (تأسف، ينزل، ذراعيها إلى السماء):
  Ah ! dans quels jolis draps.,يا له من أشكال جميلة
CYRANO:,(سيرانو):
  Oh ! toi ! tu vas grogner !,أنت ستصرخين
LE BRET:,-أجل
"  Enfin, tu conviendras",أخيراً، ستوافقين
"  Qu'assassiner toujours la chance passagère,",أن يقتل دائماً الحظ الممر
  Devient exagéré.,-هذا مبالغ فيه
CYRANO:,(سيرانو):
"  Hé bien oui, j'exagère !",حسناً، أجل، أنا أتجاوز الأمر
LE BRET (triomphant):,(الربع)
  Ah !,-أوه !
CYRANO:,(سيرانو):
"  Mais pour le principe, et pour l'exemple aussi,",ولكن بالنسبة للمبدأ، ومثالا أيضا،
  Je trouve qu'il est bon d'exagérer ainsi.,أعتقد أنه من الجيد المبالغة في ذلك
LE BRET:,-أجل
"  Si tu laissais un peu ton âme mousquetaire,",لو تركت روحكِ مُسْتَغْنِيّة قليلاً
  La fortune et la gloire. . .,الثروة والجلال . . .
CYRANO:,(سيرانو):
  Et que faudrait-il faire ?,ماذا يجب أن نفعل؟
"  Chercher un protecteur puissant, prendre un patron,",أن يبحث عن حامي قوي، وأن يختار رئيساً،
  Et comme un lierre obscur qui circonvient un tronc,و مثل القشرة المظلمة التي تحيط بالجسم
"  Et s'en fait un tuteur en lui léchant l'écorce,",ويحصل على حارس يُلَعِّشُ جُلدَه
  Grimper par ruse au lieu de s'élever par force ?,تسلقها بغرابة بدلاً من الارتفاع بقوة؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً لك، الالتزام، كما يفعل الجميع،
  Des vers aux financiers ? se changer en bouffon,من الدود إلى الماليين؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",في أمل مُهين لرؤية، على شفاه وزير،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",أن تُولد ابتسامة، أيّها الشخص الذي لا يكون مخيفاً؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا شكراً، هل تناول الغداء كل يوم؟
