Scène 2.VIII.,Scene 2.VIII
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, the younger ones, who sat down on the right and left"
et auxquels on sert à boire et à manger.,""
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saludeando con un aire de goguenard a quienes salen sin atreverse a saludarlo):
  Messieurs. . .Messieurs. . .Messieurs. . .,Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen Ladies and gentlemen
"LE BRET (désolé, redescendant, les bras au ciel):","(Sorry, descending, arms up):"
  Ah ! dans quels jolis draps.,Ah! What lovely sheets.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,You're going to grow up!
LE BRET:,The Brett:
"  Enfin, tu conviendras","Finally, you'll be fine"
"  Qu'assassiner toujours la chance passagère,","That always kills the passing luck,"
  Devient exagéré.,Becoming exaggerated.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Yeah, I'm overreacting to that."
LE BRET (triomphant):,(Gazeta)
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","But for the principle, and for the example too,"
  Je trouve qu'il est bon d'exagérer ainsi.,I think it's good to exaggerate like that.
LE BRET:,The Brett:
"  Si tu laissais un peu ton âme mousquetaire,","If you'd just leave your musketing soul a little bit,"
  La fortune et la gloire. . .,Umatiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,What should we do?
"  Chercher un protecteur puissant, prendre un patron,",""
  Et comme un lierre obscur qui circonvient un tronc,And a dark lily that surrounds a trunk
"  Et s'en fait un tuteur en lui léchant l'écorce,",""
  Grimper par ruse au lieu de s'élever par force ?,""
"  Non, merci. Dédier, comme tous il le font,","No, thank you. Dedicate, as everyone else does,"
  Des vers aux financiers ? se changer en bouffon,From worms to financials to buffalo
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In the vile hope of seeing, in the lips of a minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
