Scène 2.VIII.,المشهد 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سيرانو، ليبرت، الصغار، الذين جلسوا على اليمين واليسار
et auxquels on sert à boire et à manger.,ويتم تناولهم ويشربونهم.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (تلقي سلاماً غغرنارياً على من يخرجون دون تجرؤ على تقديمه):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيدين سادات سادات سادات
"LE BRET (désolé, redescendant, les bras au ciel):",(مُحزن، ينزل، ذراعيه إلى السماء):
  Ah ! dans quels jolis draps.,يا له من أشكال جميلة.
CYRANO:,كايرانو:
  Oh ! toi ! tu vas grogner !,اوه انت، انت ستصرخ!
LE BRET:,الـ (بريت)
"  Enfin, tu conviendras",أخيرا، ستوافق
"  Qu'assassiner toujours la chance passagère,",بقتل الحظ المزمن،
  Devient exagéré.,يزداد من حد.
CYRANO:,كايرانو:
"  Hé bien oui, j'exagère !",بلى، انا اتجاوز.
LE BRET (triomphant):,الـ (غالب)
  Ah !,آه!
CYRANO:,كايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",لكن للمبدأ، ومثال أيضا،
  Je trouve qu'il est bon d'exagérer ainsi.,أجد أنه من الجيد أن نبالغ في هذا.
LE BRET:,الـ (بريت)
"  Si tu laissais un peu ton âme mousquetaire,",لو تركت روحك تُغْمِر لبعض الوقت،
  La fortune et la gloire. . .,الثروة والجلال . . .
CYRANO:,كايرانو:
  Et que faudrait-il faire ?,وماذا لازم نفعله؟
"  Chercher un protecteur puissant, prendre un patron,",ابحث عن حامي قوي، اتخذ رئيس،
  Et comme un lierre obscur qui circonvient un tronc,و كالعصا المظلمة التي تحيط بالجسم
"  Et s'en fait un tuteur en lui léchant l'écorce,",ويحولها حارس يلعقها،
  Grimper par ruse au lieu de s'élever par force ?,تسلق بطرق بدلا من الارتفاع بقوة؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً. الخصم، ككل واحد منهم،
  Des vers aux financiers ? se changer en bouffon,من الفوضى الى الماليين؟ يتحولون الى خبيث
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",في الأمل البخيف لرؤية، على شفاه وزير،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",تولد ابتسامة، بعد كل شيء، والتي لا تكون مخيفة؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، شكراً، اتناكل كرة كل يوم؟
  Avoir un ventre usé par la marche ? une peau,يكون بطنك متسخ من المشي؟ جلد
"  Qui plus vite, à l'endroit des genoux, devient sale ?",من أسرع يصبح قذر، في مكان الركبتين؟
  Exécuter des tours de souplesse dorsale ?. . .,هل يمكنكم ان تعملوا دورات مرنة في ظهرهم؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا شكراً، بيد واحدة، إطلع العنزي على رقبته
"  Cependant que, de l'autre, on arrose le chou,",ولو كان من الآخر، نرمي الكولب،
"  Et, donneur de séné par désir de rhubarbe,",وَيُسْتَغْنِي بِحُسْنِ الْحَيْرَةِ
"  Avoir son encensoir, toujours, dans quelque barbe ?",يكون معهم الحرق في حلاقة؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً، يزداد من زاوية إلى زاوية،
"  Devenir un petit grand homme dans un rond,",اصبح رجل صغير كبير في جولة
"  Et naviguer, avec des madrigaux pour rames,","ويتسافرون بـ""مدرج"" للفوارق"
  Et dans ses voiles des soupirs de vieilles dames ?,و في سفحاته نغمات السن العجوز؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، عند ناشر سيرسي الصحيح
"  Faire éditer ses vers en payant ? Non, merci !",تكتب ورماً بتدفع؟ لا، شكراً!
  S'aller faire nommer pape par les conciles,يذهب ليتم ترشيحه على البابا من قبل المجلس
  Que dans des cabarets tiennent des imbéciles ?,ان في الكابارات يحتفظ احمق؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً، أعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",على صوت واحد بدلا من تكوين آخرين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، هل الاكتشاف من الموهبة في الملاهي؟
"  Être terrorisé par de vagues gazettes,",ان تكون خائف من صحف متجولة
"  Et se dire sans cesse: Oh, pourvu que je sois","ويقول دائماً: ""أوه، لو كنت"
  Dans les petits papiers du Mercure François ?. . .,في ورق صغير من ميركور فرانسيس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً، الحساب، الخوف، البلاغ،
"  Aimer mieux faire une visite qu'un poème,",احب زيارة اكثر من قصيدة
"  Rédiger des placets, se faire présenter ?",تكتب بلاصات، تظهر؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا،
"  Rêver, rire, passer, être seul, être libre,",حلم، ضحك، تمر، وحده، حرا،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ليكون عيونك تراه بصورة واضحة، صوتك يرتعش،
"  Mettre, quand il vous plaît, son feutre de travers,",يضع، متى تشاء، مشاعره من خلال،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",للاين، للاين، تقاتل، أو تقاتل!
"  Travailler sans souci de gloire ou de fortune,",لا تعمل دون اهتمام بالجلال او الثروة
"  A tel voyage, auquel on pense, dans la lune !",رحلة كها، تفكر فيها، في القمر!
"  N'écrire jamais rien qui de soi ne sortît,",لا تكتب ابدا شي لا يخرج من نفسك
"  Et modeste d'ailleurs, se dire: mon petit,","و متواضع، ويقول لنفسه: ""صغيري،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",يَسْتَشْبِعُ بِالزهور، وِالثمَر، وَحَتَّى بِالْوِرَاقِ،
  Si c'est dans ton jardin à toi que tu les cueilles !,لو كنت في حديقتك بتجمعها
"  Puis, s'il advient d'un peu triompher, par hasard,","""فما ينجح قليلاً،"
"  Ne pas être obligé d'en rien rendre à César,",فَلا تَكُنْ مُلْزَمَةً أَنْ تُعْطِيَ قَيْصَرَ شَيْئًا.
"  Vis-à-vis de soi-même en garder le mérite,",عشان نحتفظ بالحق من نفسه،
"  Bref, dédaignant d'être le lierre parasite,",بالعكس، بيدك من كونك ليرة متطفلة،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتى لو لم نكن شجرة البلوط او قشرة
"  Ne pas monter bien haut, peut-être, mais tout seul !",لا يصل عاليا، ربما، لكن لوحدك!
LE BRET:,الـ (بريت)
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",لو كان بمفرده، لكن ليس ضد الجميع.
  As-tu donc contracté la manie effroyable,اذاً هل حصلت على المنيا المروعة؟
"  De te faire toujours, partout, des ennemis ?",بيعملين عدوين دائماً في كل مكان؟
CYRANO:,كايرانو:
"  A force de vous voir vous faire des amis,",بفعل ما يشاهدكم تتصادقون
"  Et rire à ces amis dont vous avez des foules,",وبتضحك على أصدقائك الذين لديك جماعات،
  D'une bouche empruntée au derrière des poules !,من فم مستعير من خلف دجاج!
"  J'aime raréfier sur mes pas les saluts,",أنا أحب أن أُسلم على خطوي،
  Et m'écrie avec joie: un ennemi de plus !,ويقول لي بفرح: عدو آخر!
LE BRET:,الـ (بريت)
  Quelle aberration !,اي غرابة!
CYRANO:,كايرانو:
"  Eh bien, oui, c'est mon vice.",طيب، نعم، هذا عيبي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,انا متعة في التنقل، انا احب ان يكروني.
"  Mon cher, si tu savais comme l'on marche mieux",حبيبي، لو عرفت كيف نمشي بشكل افضل
  Sous la pistolétade excitante des yeux !,تحت عيون المتحمسة!
"  Comme, sur les pourpoints, font d'amusantes taches",كيف، على المراجع، يقدموا بقعة مضحكة
  Le fiel des envieux et la bave des lâches !,حشاشة الحسود و حشاشة الخائفين!
"  --Vous, la molle amitié dont vous vous entourez,",انت، الصداقة المريحة التي تحيطين بها،
"  Ressemble à ces grands cols d'Italie, ajourés",يشبه تلك القلوب الكبيرة في إيطاليا، تم تأجيلها
"  Et flottants, dans lesquels votre cou s'effémine:",و تطفو، و تُخفف في أعناقك.
"  On y est plus à l'aise. . .et de moins haute mine,",نحن أكثر راحة فيها. . .و منخفضة الارتفاع،
"  Car le front n'ayant pas de maintien ni de loi,",لانه الجبهة لا تملك حراسة ولا قانون
"  S'abandonne à pencher dans tous les sens. Mais moi,",يترك يلتحى في كل الاتجاهات.
"  La Haine, chaque jour, me tuyaute et m'apprête",الكراهية كل يوم تُسخني وتُسخني
  La fraise dont l'empois force à lever la tête;,الفراولة التي تُجبر السموم على رفع رأسها.
