Scène 2.VIII.,المشهد 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سيرانو، ل بريت، الصغار، اللِّي قَعْدُو عْلَى لِيمْنْ وْعْلَى لِيسْرْ
et auxquels on sert à boire et à manger.,وْكَيْخْدَمُو لِيهُمْ بَاشْ يَاكْلُو وْيْشْرَبُو.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (مْسْلِّمْ بْالْعَافْيَة دْيَالُه لْلِّي كَيْخْرُجُو وْمَا كَيْجَرّْحُوشْ يْسَلّْمُو عْلِيهْ):
  Messieurs. . .Messieurs. . .Messieurs. . .,السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة السادة
"LE BRET (désolé, redescendant, les bras au ciel):",الْمُوتْ (مْحْزَنْ، رَاجْعْ، الْأَذْرَاعْ فْالسّْمَا):
  Ah ! dans quels jolis draps.,أوه، فما هاد الشريط الجميل.
CYRANO:,كايرانو:
  Oh ! toi ! tu vas grogner !,أوه، أنت، غادي تصرخ!
LE BRET:,الرومي:
"  Enfin, tu conviendras",وبالنهاية، غادي تكون مزيان
"  Qu'assassiner toujours la chance passagère,",وْكَيْقْتَلْ الْحَقّْ دْيَالْهُمْ،
  Devient exagéré.,كايكونو مبالغين.
CYRANO:,كايرانو:
"  Hé bien oui, j'exagère !",إيه، نعم، أنا مبالغ فيها.
LE BRET (triomphant):,الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب) الـ (غالب)
  Ah !,آه!
CYRANO:,كايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",وَلَكِنْ فْالْمُوَصْلْ، وْفْالْمَثَلْ،
  Je trouve qu'il est bon d'exagérer ainsi.,كَنْشُوفْ بْلِّي مْزْيَانْ كَيْكُونْ مْزْيَانْ.
LE BRET:,الرومي:
"  Si tu laissais un peu ton âme mousquetaire,",إِلَا خْلِّيتْ رُوحْكْ الْمْسْكِينَة قْلِيلَة،
  La fortune et la gloire. . .,الْغْنَى وْالْعَزّْ. . . .
CYRANO:,كايرانو:
  Et que faudrait-il faire ?,وْآشْ خَاصّْ نْدِيرْ؟
"  Chercher un protecteur puissant, prendre un patron,",وْكَيْلْزَمْكُمْ تْشُوفُو مُحَمّْدْ قْوِي، وْتْخَلّْفُو مُؤْمِنْ،
  Et comme un lierre obscur qui circonvient un tronc,وْكِيفْ الْحْمَرْ الْمْضْمُومْ اللِّي كَيْجَاوْبْ الْقْدَمْ
"  Et s'en fait un tuteur en lui léchant l'écorce,",وْكَيْدِيرْ مْنْهَا شَافْ وْكَيْلَعْسْ الْحْشِيشْ دْيَالُه،
  Grimper par ruse au lieu de s'élever par force ?,كَتْطْلَعْ بْالْحْرِيرْ مَاشِي بْالْقُوَّة؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً. كَيْعْطِيوْ، كِيفْ كَيْعْطِيوْ كُلّْ وَاحْدْ،
  Des vers aux financiers ? se changer en bouffon,من الدود للافنانسيين؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",وْكَيْتّْرَجّْعُو بْالْمُرَادْ الْمْنْقُوصْ بَاشْ يْشُوفُو، وْبْشْفَتْ الْمُدَبِّرْ،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",وْتّْوْلَدْ تْبْسَامَة، وْشْكُونْ مَا كَيْكُونْشْ مْخَايْفْ؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، شكراً، غاديا كلي يوم؟
  Avoir un ventre usé par la marche ? une peau,كاين شي بطن ملفوف من المشي؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",شْكُونْ اللِّي كَيْكُونْ قْلِيلْ مْنْ الْقْلُوبْ؟
  Exécuter des tours de souplesse dorsale ?. . .,واش تّْجَرّْدْ فْالْمُرْجَعْ دْيَالْ الرّْجْلَة؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا، شكراً، بيد واحدة، فليستشعر التعرّة بلقبة
