Scène 2.VIII.,المشهد 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",كيرانو، ليبرت، الصغار، الذين قَعَدُوا على اليمين واليسار
et auxquels on sert à boire et à manger.,وَيُسْتَعْمَلُونَ لَهُمْ لِيَأْكُلُوا وَيَشْرَبُوا.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (يُسَلِّمُ بِهَوْمٍ مُتَعَارِفٍ عَلَى مَنْ يَخْرُجُ وَلَا يَجْرُو أَنْ يُسَلِّمَ عَلَيْهِ):
  Messieurs. . .Messieurs. . .Messieurs. . .,ايها السادة ايها السادة ايها السادة ايها السادة ايها السادة ايها السادة
"LE BRET (désolé, redescendant, les bras au ciel):",بَرْدَةُ (مُحْتَزِنَةٌ ، نَازِلَةٌ ، ذِرَاعٌ إِلَى ٱلسَّمَاءِ):
  Ah ! dans quels jolis draps.,آه، بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى بلى
CYRANO:,كايرانو:
  Oh ! toi ! tu vas grogner !,اوه انت! انت هتصرخ!
LE BRET:,الكلب:
"  Enfin, tu conviendras",أخيراً، إنت بتوافق
"  Qu'assassiner toujours la chance passagère,",كَيْ يَقْتُلَا كُلَّ حَظٍّ مُتَقَلِّبٍ
  Devient exagéré.,بتتعبير من حد.
CYRANO:,كايرانو:
"  Hé bien oui, j'exagère !",ايه ده، انا اتطلع!
LE BRET (triomphant):,الـ (غالب)
  Ah !,آه!
CYRANO:,كايرانو:
