Scène 2.VIII.,দৃশ্য ২.৮।
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","চিৰানো, ব্ৰেট, কনিষ্ঠসকল, যিসকলে ডান আৰু বাওঁফালে বহিছে"
et auxquels on sert à boire et à manger.,আৰু সিহঁতক পানীয় আৰু খোৱা বস্তু দিয়া হয়।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"চিৰাণো (যিসকলো বাহিৰলৈ ওলাই যায় আৰু তেওঁক নমস্কাৰ কৰিবলৈ সাহস নকৰে, তেওঁলোকক গগনীয়া আভাসেৰে অভিবাদন জনাই):"
  Messieurs. . .Messieurs. . .Messieurs. . .,মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়সকল মহাশয়বানবানবানসকল মহাশয়সকল মহাশয়সকল মহাশয়
"LE BRET (désolé, redescendant, les bras au ciel):","(কথাটো মনত পেলাই) (কথাটো মনত পেলাই) হাতখন আকাশলৈ তুলি চাই,"
  Ah ! dans quels jolis draps.,আহ! কি সুন্দৰ কাপোৰত!
CYRANO:,চিৰাণোঃ
  Oh ! toi ! tu vas grogner !,"হেৰা, তুমি কঁপিবা!"
LE BRET:,ব্ৰেটঃ
"  Enfin, tu conviendras","অৱশেষত, তুমি ঠিক কৰিবা"
"  Qu'assassiner toujours la chance passagère,","যেতিয়াই তুমি ক্ষণিকৰ বাবে সৌভাগ্য বধ কৰিবা,"
  Devient exagéré.,অতিৰিক্ত হৈ আছে।
CYRANO:,চিৰাণোঃ
"  Hé bien oui, j'exagère !",মই অতিৰিক্তভাৱে কৈছোঁ!
LE BRET (triomphant):,বিজয়ী বৰুৱাঃ
  Ah !,আহা!
CYRANO:,চিৰাণোঃ
"  Mais pour le principe, et pour l'exemple aussi,","কিন্তু মূলনীতিৰ বাবে, আৰু উদাহৰণৰ বাবেও,"
  Je trouve qu'il est bon d'exagérer ainsi.,মই ভাবোঁ যে এনেদৰে অতিৰিক্তভাৱে কৰা ভাল।
LE BRET:,ব্ৰেটঃ
"  Si tu laissais un peu ton âme mousquetaire,","তুমি যদি তোমাৰ আত্মাৰ অলপ নিচিনা হৈ থাকিলা,"
  La fortune et la gloire. . .,ধন আৰু গৌৰৱ. . .
CYRANO:,চিৰাণোঃ
  Et que faudrait-il faire ?,আৰু কি কৰিব লাগে?
"  Chercher un protecteur puissant, prendre un patron,","শক্তিশালী ৰক্ষক বিচাৰি, এজন অধ্যক্ষ বিচাৰি,"
  Et comme un lierre obscur qui circonvient un tronc,আৰু এটা গাখীৰৰ চাৰিওফালে থকা অন্ধকাৰৰ দৰে
"  Et s'en fait un tuteur en lui léchant l'écorce,",আৰু তাৰ ছাল লুইতৰ দৰে গছবোৰক পিন্ধি তাৰ পৰিচৰ্যা কৰে।
  Grimper par ruse au lieu de s'élever par force ?,"শক্তিশালী হ'বলৈ নহয়, কিন্তু প্ৰতাৰণাৰে উঠি যাব?"
"  Non, merci. Dédier, comme tous il le font,","নাই, ধন্যবাদ, উৎসৰ্গা, সকলোকে কৰা দৰেই,"
  Des vers aux financiers ? se changer en bouffon,কি কি? কি কি? কি? কি?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","মই দেখিম যে, এজন মন্ত্ৰীয়ে মোৰ মুখত যিটো কথা কৈছে,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",কিহৰ বাবে? কিহৰ বাবে?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","নাই, ধন্যবাদ, প্ৰতিদিনে ৰাতিপুৱা খাওক, এটা পখিলা?"
  Avoir un ventre usé par la marche ? une peau,"হাঁহিৰ বাবে ভৰিৰ বিষ হোৱা, ছাল হোৱা"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","কোনে দ্ৰুততম হ'ব, হাঁহিৰ ঠাইত?"
  Exécuter des tours de souplesse dorsale ?. . .,পিঠিৰ নমনীয়তা ৰান কৰা? . . .
"  Non, merci. D'une main flatter la chèvre au cou","নাই, ধন্যবাদ, একহাত গৰুৰ গাত চুমা"
"  Cependant que, de l'autre, on arrose le chou,",কিন্তু আনটো অংশত ক'লা পানী দিয়ক।
"  Et, donneur de séné par désir de rhubarbe,","আৰু সিহঁতে ছাল-চুলিৰ বাবে বুকুখন সানি-সানি,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",তেওঁৰ ধূপটো সদায় কোনোবা এটা দাড়িৰ ভিতৰত ৰখা?
"  Non, merci ! Se pousser de giron en giron,","নহয়, ধন্যবাদ, এটা-এটা কৰি ঘূৰি ফুৰা,"
"  Devenir un petit grand homme dans un rond,","এটা বৃত্তত সৰু ডাঙৰ মানুহ হ'বলৈ,"
"  Et naviguer, avec des madrigaux pour rames,","আৰু ৰামৰ বাবে থকা মদৃগাসকলৰ সৈতে জাহাজ চলাচল কৰা,"
  Et dans ses voiles des soupirs de vieilles dames ?,আৰু তেওঁৰ পৰ্দাত বৃদ্ধা মহিলাৰ কান্দোন?
"  Non, merci ! Chez le bon éditeur de Sercy","নহয়, ধন্যবাদ, সাৰ্চিৰ সঠিক সম্পাদকৰ ওচৰলৈ।"
"  Faire éditer ses vers en payant ? Non, merci !",তাৰ পাচন সম্পাদনা কৰিবলৈ টকা দিওঁ?
  S'aller faire nommer pape par les conciles,পোপ হিচাপে নিৰ্বাচিত হ'বলৈ গৈ
  Que dans des cabarets tiennent des imbéciles ?,কেবিনেটত বোকা মানুহ থাকে নেকি?
"  Non, merci ! Travailler à se construire un nom","নহয়, ধন্যবাদ, নিজৰ নাম গঢ়িবলৈ কাম কৰা।"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",এটা শব্দৰ পৰিৱৰ্তে আন এটা শব্দৰ পৰিৱৰ্তে?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"ধন্যবাদ, কেৱল পকী পাৰতহে প্ৰতিভা বিচাৰি পাব?"
"  Être terrorisé par de vagues gazettes,","বাতৰি কাকতবোৰৰ দ্বাৰা ভয়ানক হ'ব,"
"  Et se dire sans cesse: Oh, pourvu que je sois","আৰু ক'বলৈ ধৰিলে, ""অ' মই যদি"
  Dans les petits papiers du Mercure François ?. . .,মাৰ্চ ফ্ৰেন্সাইডৰ সৰু কাগজত? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","নহয়, ধন্যবাদ! গণনা কৰা, ভয় কৰা, ম্লান হোৱা,"
"  Aimer mieux faire une visite qu'un poème,",কবিতাতকৈ ভ্ৰমণ ভালপোৱা ভালপোৱা।
"  Rédiger des placets, se faire présenter ?","পত্রিকা লিখিব, নিজকে প্ৰদৰ্শন কৰিব?"
