Scène 2.VIII.,La escena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, los menores, que se sentaron a la derecha y a la izquierda"
et auxquels on sert à boire et à manger.,Y que se sirven pa comer y beber.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saludando con un aire de gogañón a los que salen ensin atrever a saludar):
  Messieurs. . .Messieurs. . .Messieurs. . .,"El so nome ye ""Carl"" y el so nome ye ""Carl""."
"LE BRET (désolé, redescendant, les bras au ciel):","El BRET (sorry, descending, brazos al cielu):"
  Ah ! dans quels jolis draps.,Ah! ¡En qué bonos paños!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tú, vas a grutar!"
LE BRET:,El BRET:
"  Enfin, tu conviendras","Finalmente, vas a conviértelo."
"  Qu'assassiner toujours la chance passagère,","Que cada vez asesinen la suerte pasajera,"
  Devient exagéré.,Esto ye un exageru.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nun, sí, yo exagero."
LE BRET (triomphant):,El BRET (triunfante):
  Ah !,¡Ah! ¡Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Pero pa principiu, y pa exemplu tamién,"
  Je trouve qu'il est bon d'exagérer ainsi.,Creo que ye bien exagerar así.
LE BRET:,El BRET:
"  Si tu laissais un peu ton âme mousquetaire,","Si dexara un pocu la so alma mosqueta,"
  La fortune et la gloire. . .,La riqueza y la gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,¿Y qué se tendría que facer?
"  Chercher un protecteur puissant, prendre un patron,","Buscar un protector poderosu, tomar un xefe,"
  Et comme un lierre obscur qui circonvient un tronc,Como un llurdiu escuru que rodea un troncu
"  Et s'en fait un tuteur en lui léchant l'écorce,","El so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el so padre, el padre, el so padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre, el padre"
