Scène 2.VIII.,दृश्य 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ब्रेट, किडनीज, जे दाईं ओर अउर बाईं ओर बइठ गए"
et auxquels on sert à boire et à manger.,अउर उ पचे ओनका खाइ पीअइ बरे तइयार करत हीं।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (जो बाहर निकले बिना सलाम करे)
  Messieurs. . .Messieurs. . .Messieurs. . .,"महोदय, चरचा अउर प्रणाम."
"LE BRET (désolé, redescendant, les bras au ciel):","उ पचे जवाब दिहेन, ""पर्भू ईसू प बिसवास करा।"
  Ah ! dans quels jolis draps.,"अरे,अइसन सुंदर चित्र देखाय दे रहल बा!"
CYRANO:,साइरोन:
  Oh ! toi ! tu vas grogner !,अरे ! तू ! तू रोवत अहा !
LE BRET:,"उ सबइ लोग कहत हीं,"
"  Enfin, tu conviendras",अंत मँ तू पचन्क सहारा देइ चाही।
"  Qu'assassiner toujours la chance passagère,",अउर जउन कछू उ कहत ह उहइ एक अहइ।
  Devient exagéré.,इ एक बहोत बुरी बात अहइ।
CYRANO:,साइरोन:
"  Hé bien oui, j'exagère !","हाँ, हाँ, मइँ तउ बहुत जियादा लज्जित होत हउँ।"
LE BRET (triomphant):,"उ पचे कहत अहइँ, ""इ उहइ अहइ जउन जीत हासिल करत ह।"
  Ah !,अहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहहह
CYRANO:,साइरोन:
"  Mais pour le principe, et pour l'exemple aussi,","लेकिन विचारणीयता का सिद्धांत, उदाहरण का भी,"
  Je trouve qu'il est bon d'exagérer ainsi.,मइँ इ निर्णय पइ पहोंचा अहउँ कि इ सबइ बातन ओन मनइयन बरे जियादा नीक अहइँ जउन मरि चुके अहइँ बजाय ओनके बरे जउन अबहिं तलक जिअत अहइँ।
LE BRET:,"उ सबइ लोग कहत हीं,"
"  Si tu laissais un peu ton âme mousquetaire,",अगर तू आपन हिरदय क एक लम्बा छोड़ेस ह तउ
  La fortune et la gloire. . .,धन अउर महिमा . . .
CYRANO:,साइरोन:
  Et que faudrait-il faire ?,अउर का करावइ चाही?
"  Chercher un protecteur puissant, prendre un patron,",तू आपन सुरच्छा क मजबूत आधार पइ देखब्या अउर तोहार मालिक क रूप मँ देखब्या।
  Et comme un lierre obscur qui circonvient un tronc,उ सबइ झुराइ गएन जइसे एक झुराइ क झुराइ जाइ
"  Et s'en fait un tuteur en lui léchant l'écorce,",उ ओका आपन क रखवारा बनइ अउर ओकर चर्मपत्र लच्छ कइ देइ ।
  Grimper par ruse au lieu de s'élever par force ?,"उ सबइ लोग जउन तोहका पच्छ लेत हीं, उ पचे तोहका पच्छ लेत हीं।"
"  Non, merci. Dédier, comme tous il le font,","नाहीं, धन्यवाद. समर्पण, सब लोगन करत हीं,"
  Des vers aux financiers ? se changer en bouffon,"फ्लेवर से वित्तीय संस्था तक, बन रहा है बंडल"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",मइँ इ लखइ क आसा करत हउँ कि अइसा कछू भी नाहीं होइ जेका कउनो मनई अइसा नबी कहे रहा।
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",का तू पचे एक अइसी जाति क मनई अहा जउन बिनास करइ क मुस्कुराइ रही?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","नाहीं, धन्यवाद. का तू एक झुरिया क साथे रोजाना खाना खाई?"
  Avoir un ventre usé par la marche ? une peau,एक पेट पैदल चलिके खराब होइ जात है? एक त्वचा
"  Qui plus vite, à l'endroit des genoux, devient sale ?",उ सबइ कउन मनई अहइँ जउन जल्दी ही घुटनन पइ निहुरिके अघाइ जइहीं?
  Exécuter des tours de souplesse dorsale ?. . .,का तू पचे आपन पीठ क लजाइ सकत ह? . . .
"  Non, merci. D'une main flatter la chèvre au cou","नाहीं, धन्यवाद. एक हाथ से बकरी क गर्दन मँ मिलावा"
"  Cependant que, de l'autre, on arrose le chou,",मुला जब उ पचे दूसर देवतन क लगे जाइँ तउ उ पचे उ देवतन क पानी क पानी पिएन।
"  Et, donneur de séné par désir de rhubarbe,",अउर उ पचे दाँत पीसत हीं
"  Avoir son encensoir, toujours, dans quelque barbe ?",का तू ओकर दाग बारिके दाढ़ी मँ रखत ह?
"  Non, merci ! Se pousser de giron en giron,","नाहीं, धन्यवाद. एक से एक लिफ्ट मा बढाई मारैं"
"  Devenir un petit grand homme dans un rond,",एक लम्बा समय तक एक चौड़ाई पर एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक एक चौड़ाई तक
"  Et naviguer, avec des madrigaux pour rames,","अउर जलधार पर चलावत ह,"
  Et dans ses voiles des soupirs de vieilles dames ?,अउर ओकर ओढ़ना मँ बूढ़ी औरत क सोक अहइ?
"  Non, merci ! Chez le bon éditeur de Sercy","नाहीं, धन्यवाद. Sercy का सही संपादक से"
"  Faire éditer ses vers en payant ? Non, merci !",का तू आपन लरिकन क भुगतान कइके संपादित कइ सकत ह?
  S'aller faire nommer pape par les conciles,पप का नामकरण खातिर महाधिवेशन
  Que dans des cabarets tiennent des imbéciles ?,कि काबरेट्स मा बेवकूफ लोग रहत हैं?
"  Non, merci ! Travailler à se construire un nom","नाहीं, धन्यवाद. खुद का एक अच्छा नाम कमाए खातिर काम करत रहा"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",एक ध्वनि ध्वनि ध्वनि के बजाय एक ध्वनि का निर्माण करना शुरू कर दिया?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,धन्यवाद! का तू केवल गली से ही प्रतिभा का पता लगा सकत ह?
"  Être terrorisé par de vagues gazettes,","उ पचे इ कहत हीं, ""इ सबइ लोग जउन इ कहत हीं, 'आपन जिन्नगी बचावइ बरे एक ठु सहर बना अहइ।"
"  Et se dire sans cesse: Oh, pourvu que je sois","अउर आपन मन मँ सोचत भवा कहइ लाग, 'मइँ का करुँ, मोरे लगे फसिल क रखइ बरे ठउर तउ अहइ नाहीं"
