Scène 2.VIII.,2.VIII uñtasïwi.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, sullka wawanaka, jupanakasti kupi, ch'iqäxaruw qunt'asipxäna"
et auxquels on sert à boire et à manger.,"manq'añanaksa, umanaksa luqtapxi."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ukhamsa janis jupar aruntkir mistunkasin aruntki ukanakar aruntiri):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata, tata,"
"LE BRET (désolé, redescendant, les bras au ciel):","¡Jach'a chuymamp art'asisa, ¡jach'a chuymamp art'asisa!"
  Ah ! dans quels jolis draps.,¡Kunja suma isinakas ukankaski!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,¡Jumax k'umipxätawa!
LE BRET:,¡Jach'a T'ant'a!
"  Enfin, tu conviendras",Jichhax walikïsktawa.
"  Qu'assassiner toujours la chance passagère,","Kunjämatix mä urux mä juk'a pachatakjamäkaspa ukhama,"
  Devient exagéré.,Kunjamäsipkitix uk amuyapxam.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","¡Ukhamächi ukasti, nayax juk'amp sum amuyt'ayä!"
LE BRET (triomphant):,¡Jach'a T'ant'a!
  Ah !,¡Jach'a chuymampiw uñjasi!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ukampis yatichäwinaka, uñacht'äwinaka,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ukham wal amuyta.
LE BRET:,¡Jach'a T'ant'a!
"  Si tu laissais un peu ton âme mousquetaire,","Jumax mä juk'a janchinïkasmaxa,"
  La fortune et la gloire. . .,"Qamir kankañampi, jach'a kankañampi."
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,¿Kunarak luraspasti?
