Scène 2.VIII.,صحنه ۲-۸.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","""سيرانو""، ""لبرت""، ""جوتلر"""
et auxquels on sert à boire et à manger.,اونلار ائچئب-ائچئب، اونلارا خئدمت ادئرلر.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"""سئرانو"" (قازانليک له اونو سلاملايانلارا سالام ورئر):"
  Messieurs. . .Messieurs. . .Messieurs. . .,آقايلار آقايلار آقايلار آقايلار
"LE BRET (désolé, redescendant, les bras au ciel):","""بِرَت"" (دَيَنَمَن، اَللرئني گؤيه قالديريب):"
  Ah ! dans quels jolis draps.,اوه، نه گؤزل کتالاردا!
CYRANO:,سیرانو:
  Oh ! toi ! tu vas grogner !,اوه، سن، سن نئچه گئجه سن!
LE BRET:,""" اوشاغين """
"  Enfin, tu conviendras",آخيردا، سن ده بله اولارسان
"  Qu'assassiner toujours la chance passagère,",هر زامان فئکرله اوغورلو بئر آدام اؤلدورمک،
  Devient exagéré.,چوخ دا چوخدور.
CYRANO:,سیرانو:
"  Hé bien oui, j'exagère !",او، بله، حددن آرتيق گدئرم!
LE BRET (triomphant):,""" برت "" (گالوار):"
  Ah !,اوه!
CYRANO:,سیرانو:
"  Mais pour le principe, et pour l'exemple aussi,",آمّا اصلده، هم ده مثله ده،
  Je trouve qu'il est bon d'exagérer ainsi.,من ده بونا گؤره ده، چوخ دا چوخلو سؤز سؤز سؤزدن خوشلانيرام.
LE BRET:,""" اوشاغين """
"  Si tu laissais un peu ton âme mousquetaire,",اگر بئر آز اؤز جانيني اَزدهسن،
  La fortune et la gloire. . .,ثروت و عئزّت . . .
CYRANO:,سیرانو:
  Et que faudrait-il faire ?,نه اِدَر؟
"  Chercher un protecteur puissant, prendre un patron,",قووّتلي بئر محافظ آختارماق، بئر آدام آلماق،
  Et comme un lierre obscur qui circonvient un tronc,قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليقدا، قارانليق
"  Et s'en fait un tuteur en lui léchant l'écorce,",او، اونون دَرئسئني ياليب، اونو قورويار.
  Grimper par ruse au lieu de s'élever par force ?,گوجله يوخاريدان، چاليشماقلا يوخاريدان چيخماق؟
"  Non, merci. Dédier, comme tous il le font,",نه، ممنون، وقف، هر کس کئمي،
  Des vers aux financiers ? se changer en bouffon,قاريشدان ماليغا؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",و گؤزله يئب، بئر خادئمئن دوداقلاري ائله،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",نه قدر شرور اولمايان بئر گولوش دوغماق؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، ممنون، هر گون قارچيقلا ناهار يئيه جهيئک؟
  Avoir un ventre usé par la marche ? une peau,گِدنده قورباغالاريم سويوق؟
