Scène 2.VIII.,2.VIII səhnə.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, sağ və sol tərəfdə oturan kiçiklər"
et auxquels on sert à boire et à manger.,"Onlar üçün yemək, içmək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yemək, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər, yeməklər və yeməklər, yeməklər, yeməklər, yeməklər, yemək"
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CİRANO (özünü salamlamağa cəsarət etmədən çıxanları qocalıqla salamlayır):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənablar, cənab"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (təsadüf, aşağı, əl göyə):"
  Ah ! dans quels jolis draps.,Nə gözəl paltarlarda.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Sən də qışqırırsan!
LE BRET:,- Qəbir:
"  Enfin, tu conviendras","Nəhayət, sən də razı olacaqsan."
"  Qu'assassiner toujours la chance passagère,","Həmişə bir az şansı öldürməkdən,"
  Devient exagéré.,"Bu, çoxdur."
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Bəli, mən çox həddən artıq deyim."
LE BRET (triomphant):,QƏBƏR (qalib):
  Ah !,- Ha!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ancaq prinsipi və nümunə üçün də,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Məncə, bu cür həddindən artıq etmək yaxşıdır."
LE BRET:,- Qəbir:
"  Si tu laissais un peu ton âme mousquetaire,","Əgər bir az da öz ruhunuzu bir az da tərk etsən,"
  La fortune et la gloire. . .,Zənginlik və şan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Bəs nə etmək lazımdır?
"  Chercher un protecteur puissant, prendre un patron,","Güclü bir himayəçi axtarmaq, bir patron seçmək,"
  Et comme un lierre obscur qui circonvient un tronc,Qoy bir qovşağı bürüyən qaranlıq bir qovşaq kimi
"  Et s'en fait un tuteur en lui léchant l'écorce,","O, onun qəlbini yudub, onu qoruyub saxlayır."
  Grimper par ruse au lieu de s'élever par force ?,Güclü şəkildə qalxmaq əvəzinə hiylə ilə qalxmaq?
"  Non, merci. Dédier, comme tous il le font,","Yox, təşəkkür edirəm."
  Des vers aux financiers ? se changer en bouffon,"Dərdlərdən maliyyəçilərə, axmaqlara çevrilməyə."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Bir nazirin sözləri ilə görməyə ümid edən,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nə isə, pis olmayan bir gülüş doğurmaq?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Hər gün bir dənə çörək yeyərsən?
  Avoir un ventre usé par la marche ? une peau,Gəzəklə ayaqlaşmaq üçün mədə tükənmək
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kim daha tez, dizləri əvəz edərək çirklənir?"
  Exécuter des tours de souplesse dorsale ?. . .,Dövrəmə dövrü? . . .
"  Non, merci. D'une main flatter la chèvre au cou","- Yox, sağ olun, bir əllə keçinin boynuna yumşaqlıqla yanaş."
"  Cependant que, de l'autre, on arrose le chou,","Lakin digərindən qəhvəyi suvarsaq,"
