Scène 2.VIII.,2.VIII күренеш.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Брет, йәштәргә, уңға һәм һулға ултырған"
et auxquels on sert à boire et à manger.,Улар ашай һәм эсә.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"СИРАН (ул, сығып киткәндәрҙе сәләмләп, ҡысҡырып ебәрмәйенсә, шаяртып сәләмләгән):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфәнделәр, әфән"
"LE BRET (désolé, redescendant, les bras au ciel):","КӨПҮҮ (ҡайғырып, ҡулдары күккә):"
  Ah ! dans quels jolis draps.,Ниндәй матур япмаҡтарҙа.
CYRANO:,СИРАНО:
  Oh ! toi ! tu vas grogner !,"Эй һин, һин ҡысҡыраһың!"
LE BRET:,БЕРЕТ:
"  Enfin, tu conviendras","Ниһайәт, һин риза булырһың"
"  Qu'assassiner toujours la chance passagère,","Һәр саҡ ваҡытлы бәхеткә һуҡҡандан һуң,"
  Devient exagéré.,Үтәй.
CYRANO:,СИРАНО:
"  Hé bien oui, j'exagère !","Эйе, мин сиктән тыш күп һөйләйем!"
LE BRET (triomphant):,БЕРЕТ (уңыш яулаусы):
  Ah !,Аһ!
CYRANO:,СИРАНО:
"  Mais pour le principe, et pour l'exemple aussi,","Әммә принцип өсөн дә, өлгө өсөн дә,"
  Je trouve qu'il est bon d'exagérer ainsi.,Мин бындай арттырыуҙы яҡшы тип иҫәпләйем.
LE BRET:,БЕРЕТ:
"  Si tu laissais un peu ton âme mousquetaire,","Әгәр ҙә һин бер аҙ күңелһеҙ булһаң,"
  La fortune et la gloire. . .,Байлыҡ һәм дан . . .
CYRANO:,СИРАНО:
  Et que faudrait-il faire ?,Һәм нимә эшләргә кәрәк?
"  Chercher un protecteur puissant, prendre un patron,","Көслө яҡлаусы эҙләү, хужаны һайлау,"
  Et comme un lierre obscur qui circonvient un tronc,Төмәнгә ҡапланған ҡара ҡайын кеүек
