Scène 2.VIII.,O ye ɲɛda 2.VIII ye.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, denmisɛn minnu sigilen bɛ kinin fɛ ani numan fɛ"
et auxquels on sert à boire et à manger.,U bɛ dumuni kɛ ka minni kɛ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (a bɛ mɔgɔ minnu bɔ kɛnɛma k'a sɔrɔ a ma sɔn ka u fo, a bɛ olu fo ni foli ye ni kuma duman ye):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jamanadenw, jaman"
"LE BRET (désolé, redescendant, les bras au ciel):","KƐNƐ (ka makari, ka jigin, a bolow bɛ sanfɛ):"
  Ah ! dans quels jolis draps.,A! O fini cɛɲumanba bɛ min kɔnɔ.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"E kɔni, i bɛ kunkanbiliya kɛ!"
LE BRET:,O bɛ na ni a ye.
"  Enfin, tu conviendras",Aw bɛ se ka a kɛ sisan
"  Qu'assassiner toujours la chance passagère,","Ka mɔgɔ faga waati dɔ la,"
  Devient exagéré.,A bɛ kɛ ko jugu ye.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",O bɛ kɛ.
LE BRET (triomphant):,BƐN (min bɛ se sɔrɔ):
  Ah !,A yé !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Nka, a ka kan ka kɛ cogo min na, o cogo kelen na, ɲɛyirali fana fɛ,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ne b'a miiri ko a ka ɲi ka tɛmɛ o kan.
LE BRET:,O bɛ na ni a ye.
"  Si tu laissais un peu ton âme mousquetaire,","Ni i tun bɛ sɔn ka i yɛrɛ tanga ninakili degu ma,"
  La fortune et la gloire. . .,Naforo ni tɔgɔba . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,"O la, an ka kan ka mun kɛ?"
"  Chercher un protecteur puissant, prendre un patron,","Ka mɔgɔ barikaman ɲini, ka kuntigi ɲini,"
  Et comme un lierre obscur qui circonvient un tronc,I ko finfinfin bɛ jirisun dɔ lamini cogo min na
"  Et s'en fait un tuteur en lui léchant l'écorce,","A bɛ a kɛ a kɔrɔsibaga ye, k'a fari lamɛ."
  Grimper par ruse au lieu de s'élever par force ?,Ka yɛlɛ ni fɛɛrɛ ye ka sɔrɔ ka yɛlɛ ni fanga ye?
"  Non, merci. Dédier, comme tous il le font,","A tɛ, n bɛ barika da i ye."
  Des vers aux financiers ? se changer en bouffon,K'a ta tumuw la ka taa wari sɔrɔlaw la ka yɛlɛma ka kɛ warijɛlaw ye
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ne jigi bɛ nin ko la, k'a ye, ka o fɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ, ka o sɔrɔ ka o sɔrɔ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka o kɛ, ka kɛ, ka o kɛ, ka kɛ, ka kɛ, ka kɛ, ka kɛ, ka kɛ, ka kɛ, ka kɛ, ka kɛ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ka yɛlɛmisɛn dɔ sɔrɔ, o tɛ ko jugu ye."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",A bɛ dumuni kɛ ni jiriden ye don o don wa?
