Scène 2.VIII.,Adegan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, para anak alit, sane malinggih ring tengen miwah kiwa"
et auxquels on sert à boire et à manger.,Ipun pacang kaajengang tur kaajengang.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ngiring ngaturang pangayu bagia ring anake sane medal tan purun ngaturang pangayu bagia):
  Messieurs. . .Messieurs. . .Messieurs. . .,Inggih ida dane para semeton.
"LE BRET (désolé, redescendant, les bras au ciel):","(Salih, tedun, tangan ring langite):"
  Ah ! dans quels jolis draps.,Ambate becik pisan pajalannyane.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, cening lakar ngambek!"
LE BRET:,TANYA:
"  Enfin, tu conviendras",Pamuputne cening lakar nyak
"  Qu'assassiner toujours la chance passagère,",Santukan wantah akidik ipun ngamademang anak sane tan madue jinah.
  Devient exagéré.,Sampun janten sampun ngalahang.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nah, tiang ngambekang."
LE BRET (triomphant):,TANYA (sané menang):
  Ah !,Ah! Tiang sampun ngidih tulung.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Nanging, indik pidabdab miwah imba,"
  Je trouve qu'il est bon d'exagérer ainsi.,Tiang marasa becik yening tiang ngae paindikan sane kalintang abot.
LE BRET:,TANYA:
"  Si tu laissais un peu ton âme mousquetaire,","Yening ragane kayun ngutang pepineh ragane,"
  La fortune et la gloire. . .,Ida Sang Hyang Widi Wasa sampun mapaica kasugihan miwah kaluihan ring ipun.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Napi sane patut kalaksanayang?
"  Chercher un protecteur puissant, prendre un patron,","Ngiringja semeton ngrereh anak sane pacang dados panjak semetone, tur semeton pacang polih anak sane dados pamimpin semetone."
  Et comme un lierre obscur qui circonvient un tronc,Tan bina sakadi layah sane peteng dedet ring sisin tongosne.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ipun raris ngumbah bantenge punika, tur ipun raris ngumbah bantenge punika."
  Grimper par ruse au lieu de s'élever par force ?,Napi malih tiang pacang nglinggihin gunung antuk kawirosan?
"  Non, merci. Dédier, comme tous il le font,","Nénten, suksma."
  Des vers aux financiers ? se changer en bouffon,Saking belit ka keuangan?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Tiang ngajap-ajap jaga manggihin, antuk pangandika saking satunggiling pangageng bangsa Yahudine,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Napi malih ngelingang anak sane nenten iwang?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih, napi malih,"
