Scène 2.VIII.,Сцэна 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Кірано, Брэт, маладыя, якія селі справа і злева"
et auxquels on sert à boire et à manger.,"і ім служаць, каб яны елі і пілі."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"КІРАН (правітаючы з гугугандарным паветрам тых, хто выходзіць без адвагі прывітаць яго):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары, спадары,"
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (пашкадаваў, вяртаючыся, рукі ў неба):"
  Ah ! dans quels jolis draps.,Ах! у якія прыгожыя палаткі.
CYRANO:,СІРАНА:
  Oh ! toi ! tu vas grogner !,"О, ты! ты будзеш грыкаць!"
LE BRET:,Брэцкі:
"  Enfin, tu conviendras","Нарэшце, вы будзеце дастаткова"
"  Qu'assassiner toujours la chance passagère,","Што забіваць заўсёды мітынгавы поспех,"
  Devient exagéré.,Гэта становіцца перабольшваннем.
CYRANO:,СІРАНА:
"  Hé bien oui, j'exagère !","Ну, так, я перабольшваю!"
LE BRET (triomphant):,БРЕТ (пераможца):
  Ah !,Ах!
CYRANO:,СІРАНА:
"  Mais pour le principe, et pour l'exemple aussi,","Але для прынцыпу, і для прыкладу таксама,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Я думаю, што гэта добра, каб перабольшваць так."
LE BRET:,Брэцкі:
"  Si tu laissais un peu ton âme mousquetaire,","Калі б вы пакінулі свой мускутэтны душы трохі,"
  La fortune et la gloire. . .,Багацьце і слава. . .
CYRANO:,СІРАНА:
  Et que faudrait-il faire ?,І што трэба рабіць?
"  Chercher un protecteur puissant, prendre un patron,","Шукаць магутнага абаронцы, узяўшы начальніка,"
  Et comme un lierre obscur qui circonvient un tronc,"І як цёмная літра, якая аб'ядноўвае стволу"
"  Et s'en fait un tuteur en lui léchant l'écorce,","І робіць яго пакаёўнікам, лізаючы яго кары,"
  Grimper par ruse au lieu de s'élever par force ?,"Падымацца падманным, а не сілай?"
"  Non, merci. Dédier, comme tous il le font,","Не, дзякуй."
  Des vers aux financiers ? se changer en bouffon,Ад чарвякоў да фінансавых? ператварыцца ў хітрасць
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","У пустых надзеях бачыць, на вусны міністра,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Нараджаць усмешка, нарэшце, хто не змрочны?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Не, дзякуй."
  Avoir un ventre usé par la marche ? une peau,Быць з зносам жывот на хаду?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Хто хутчэй за каленаў быццам брудны?
  Exécuter des tours de souplesse dorsale ?. . .,Ці выконваць кругі спінцавой гнуткасці? ...
"  Non, merci. D'une main flatter la chèvre au cou","Не, дзякуй. З адной рукой пакласці казу ў шыю"
"  Cependant que, de l'autre, on arrose le chou,","Аднак, калі з другога, мы паліваем капусту,"
"  Et, donneur de séné par désir de rhubarbe,","І, даючы сцяну з жаданняў губкі,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ці заўсёды ў нейкай барады?
"  Non, merci ! Se pousser de giron en giron,","Не, дзякуй! Перасякаючыся з паваротам на павароце,"
"  Devenir un petit grand homme dans un rond,","Стаць маленькім вялікім чалавекам у крузе,"
"  Et naviguer, avec des madrigaux pour rames,","І плыць, з мадрагамі для караблёў,"
  Et dans ses voiles des soupirs de vieilles dames ?,А ў яго ветражах ўздыхі старых дам?
"  Non, merci ! Chez le bon éditeur de Sercy","Не, дзякуй! У правільнага выдаўца Серцы."
"  Faire éditer ses vers en payant ? Non, merci !","- Заплаціць, каб яго вермы былі рэдагаваны?"
  S'aller faire nommer pape par les conciles,Перайсці да вылучэння папы з канцылятаў
  Que dans des cabarets tiennent des imbéciles ?,Што ў кабінетах трымаюць дурні?
"  Non, merci ! Travailler à se construire un nom","Не, дзякуй, працую над тым, каб стварыць сабе імя."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На адзін саўнёт, а не рабіць іншыя?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ці не ўдасканальвае гэта толькі ў мазках?
"  Être terrorisé par de vagues gazettes,","Быць у страху ад хвалі газет,"
"  Et se dire sans cesse: Oh, pourvu que je sois","І заўсёды казаць сабе: ""О, калі б я быў"
  Dans les petits papiers du Mercure François ?. . .,У маленькіх паперы Меркуры Францішак? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Не, дзякуй! Раліквідаваць, баяцца, быць бледным,"
"  Aimer mieux faire une visite qu'un poème,","Любіць лепш наведваць, чым верш,"
"  Rédiger des placets, se faire présenter ?","Напісаць паведамленні, пазнаёміцца з імі?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Не, дзякуй! Не, дзякуй! Не, дзякуй! Але... спяваць,"
"  Rêver, rire, passer, être seul, être libre,","Сон, смех, праходжанне, быць адзінокім, быць свабодным,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","З'явіцца вочы, якія глядзяць добра, голас, які дрыжа,"
"  Mettre, quand il vous plaît, son feutre de travers,","Пакласці, калі вы хочаце, яго пачуццё па-за,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","За так, за не, змагацца, - або зрабіць чарвяк!"
"  Travailler sans souci de gloire ou de fortune,","Працаваць без клопату пра славу ці багацце,"
"  A tel voyage, auquel on pense, dans la lune !","Да такой падарожжы, пра якую мы думаем, у месяц!"
"  N'écrire jamais rien qui de soi ne sortît,","Ніколі не пішыце нічога, што не выходзіць з сябе,"
"  Et modeste d'ailleurs, se dire: mon petit,","І, акрамя таго, сціплы, кажучы сабе: ""Маленькі,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ці дастаецца з кветкаў, садавіны, нават лісця,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Калі ў сваім садзе вы збіраеце іх!
"  Puis, s'il advient d'un peu triompher, par hasard,","Затым, калі ён прыходзіць да трохі перамогі, выпадкова,"
"  Ne pas être obligé d'en rien rendre à César,","каб не быць абавязаны падаваць цэзара,"
"  Vis-à-vis de soi-même en garder le mérite,","У адносінах да сябе захаваць яго заслугі,"
"  Bref, dédaignant d'être le lierre parasite,","У рэшце рэшт, пагарджаючы, што я паразітная лірэ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Нават калі мы не дуб або ліса,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Не ўзыходзіць вельмі высока, можа быць, але сам!"
LE BRET:,Брэцкі:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Адзіна, але не супраць усіх! Як д'ябал"
  As-tu donc contracté la manie effroyable,Дык ты атрымаў жудасную манія
"  De te faire toujours, partout, des ennemis ?","Што рабіць сабе заўсёды, усюды ворагаў?"
CYRANO:,СІРАНА:
"  A force de vous voir vous faire des amis,","Назіраючы вас, каб зрабіць сяброў,"
"  Et rire à ces amis dont vous avez des foules,","І смяяцца з тых сяброў, якія ў вас ёсць натоўп,"
  D'une bouche empruntée au derrière des poules !,"З вуснамі, якія пазычаюцца за куры!"
"  J'aime raréfier sur mes pas les saluts,","Я люблю, каб на маіх ногах рэдка прывітанне,"
  Et m'écrie avec joie: un ennemi de plus !,І крычыць мне з радасцю: яшчэ вораг!
LE BRET:,Брэцкі:
  Quelle aberration !,Што за абразія!
CYRANO:,СІРАНА:
"  Eh bien, oui, c'est mon vice.","Ну, так, гэта мой віс."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Я люблю, калі мяне ненавідзяць."
"  Mon cher, si tu savais comme l'on marche mieux","Дзіця, калі б ты ведаў, як лепш хадзіць"
  Sous la pistolétade excitante des yeux !,Пад узбуджаным пісталетным стане вачэй!
"  Comme, sur les pourpoints, font d'amusantes taches","Як, на паказчыках, робяць весела плямы"
  Le fiel des envieux et la bave des lâches !,Злучэнне зайздросных і злучэнне баязлівых!
"  --Vous, la molle amitié dont vous vous entourez,","-Вы, мяккая сяброўства, якое вы акружае,"
"  Ressemble à ces grands cols d'Italie, ajourés","Падобна на гэтыя вялікія ўніз Італіі, адкладзеныя"
"  Et flottants, dans lesquels votre cou s'effémine:","І плаваюць, у якіх ваша шыя палохаецца:"
"  On y est plus à l'aise. . .et de moins haute mine,","Мы больш камфортна. ... і менш высокі,"
"  Car le front n'ayant pas de maintien ni de loi,","Бо лоб не мае прынцыпу і закон,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Ён аддаецца, каб схіляцца ў любым кірунку."
"  La Haine, chaque jour, me tuyaute et m'apprête",Наўрад ці я буду адчуваць нянавісць.
  La fraise dont l'empois force à lever la tête;,"Марашу, чыя яд прымушае падняць галаву;"
  Chaque ennemi de plus est un nouveau godron,Кожны іншы вораг - новы дрэва
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Які дадае мне смутак і дадае мне празор,"
"  Car, pareille en tous points à la fraise espagnole,","Бо, як ва ўсіх адносінах, іспанскі фруза,"
