Scène 2.VIII.,Icikuulwa 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, abaice abaile ku kulyo na ku kuso"
et auxquels on sert à boire et à manger.,Elyo na bantu bonse balabapeela ifya kulya no kunwa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (alelumbanya abantu abafuma ukwabula ukumupaasha):
  Messieurs. . .Messieurs. . .Messieurs. . .,Mwe mfumu... mwe mfumu... mwe mfumu...
"LE BRET (désolé, redescendant, les bras au ciel):","BUTU (Uwaleloosha, aleya panshi, amaboko yakwe yalemoneka):"
  Ah ! dans quels jolis draps.,Ala ififimbulwa fyali ifisuma nga nshi!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh! iwe! iwe ukasosa!
LE BRET:,BUTU:
"  Enfin, tu conviendras","Na lyo line, kuti mwacita bwino"
"  Qu'assassiner toujours la chance passagère,","Ukupaya lyonse ishuko lya mpindi,"
  Devient exagéré.,Ala ukucite'fi.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ee, nalicusha sana!"
LE BRET (triomphant):,BUKATA (Uwacimfya):
  Ah !,Ah! Bushe ni shani?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Lelo pa kutendeka, e lyo na pa kusambilisha,"
  Je trouve qu'il est bon d'exagérer ainsi.,Nalimona ukuti caliba fye bwino ukulalisha ifya kulya.
LE BRET:,BUTU:
"  Si tu laissais un peu ton âme mousquetaire,","Nga mwaleka umweo wenu uuleikala fye bwino,"
  La fortune et la gloire. . .,Ifyuma ne Nkumbu . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Finshi tufwile ukucita?
"  Chercher un protecteur puissant, prendre un patron,","Ukufwaya uwa kubacingilila, ukusala umukalamba,"
  Et comme un lierre obscur qui circonvient un tronc,Nga ca kuti impongolo ya mu mushili yalikalika
"  Et s'en fait un tuteur en lui léchant l'écorce,",Elyo apanga umulumendo no kumucusha.
  Grimper par ruse au lieu de s'élever par force ?,Bushe kuti mwacita shani pa kuti mulepanga pa nshi?
"  Non, merci. Dédier, comme tous il le font,","Te kuti tuleshibe, ndatasha."
  Des vers aux financiers ? se changer en bouffon,Ukufuma ku mpanga ukuya ku ba ndalama?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu citetekelo ca kuti Lesa ali no kutendeka ukubomfya imfumu,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Bushe kuti cawama ukufwalako umwenso uwaba uwabipisha?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Bushe cila bushiku kuti mwalalya icisabo ca nsimba?
  Avoir un ventre usé par la marche ? une peau,Ukwenda no mubili wauma
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ni bani abafuma bwangu mu fiko?
  Exécuter des tours de souplesse dorsale ?. . .,Bushe kuti mwabomba ifya kucita pa kuti muleba ne nsansa? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nshilatasha, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, mukwai, muk"
"  Cependant que, de l'autre, on arrose le chou,","Lelo, nga ca kuti umuntu atemwa ukuseepa amenshi,"
"  Et, donneur de séné par désir de rhubarbe,","Kabili uufwaya ukufwala ubululu,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Bushe lyonse alikwata icikowa ca lubuto mu mukoshi?
"  Non, merci ! Se pousser de giron en giron,","Awe, ndatasha, ukulatambaula fye panono panono,"
"  Devenir un petit grand homme dans un rond,","Ukuba umulumendo mu muputule,"
"  Et naviguer, avec des madrigaux pour rames,","Nga baleenda pa bwato, baleenda na mu mafunde ya pali bemba."
  Et dans ses voiles des soupirs de vieilles dames ?,Bushe mu nkupo yakwe mwaliba ukulila kwa banakashi?
"  Non, merci ! Chez le bon éditeur de Sercy","Awe, ndatasha, ku kasesema wa bwino uwaba muli Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",Bushe kuti mwafwaya ukulemba ifyebo fyabo pa kuti muleshibomfya?
  S'aller faire nommer pape par les conciles,Ukufwaya Ukwitwa ukuti Papa pa Cilye
  Que dans des cabarets tiennent des imbéciles ?,Bushe mu cabarets mwaliba abawelewele?
"  Non, merci ! Travailler à se construire un nom",Ukubombela pa kwishiba ishina
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Bushe kuti mwabomfya icikonko ku kulanshanya na bambi?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Bushe kuti mwaishiba fye ifya kucita bwino mu mabala?
"  Être terrorisé par de vagues gazettes,","Ukutiina ifipope fya mpapulo,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kabili lyonse uletontonkanya ukuti, 'Oh, nga ndi muntu wa musango yu,"
  Dans les petits papiers du Mercure François ?. . .,Mu mabula ya mu Baibolo ayafumine kuli Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Te kuti tulesakamana, tatukwete umwenso, tatukwete amano, tatukwete amano."
"  Aimer mieux faire une visite qu'un poème,","Ukufwaya ukutandala ukucila ukutamba ilyashi lya lwimbo,"
"  Rédiger des placets, se faire présenter ?","Bushe kuti mwalemba ifikope, nelyo ukuisokolola?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Awe, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, natasha, nat"
"  Rêver, rire, passer, être seul, être libre,","Ukulalota, ukuseka, ukupita, ukuba weka, ukuba umuntungwa,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Amenso yenu yalamona bwino, ishiwi lyenu lilatutuma."
"  Mettre, quand il vous plaît, son feutre de travers,","Nga mulefwaya, mulefwaya ukulamona kwati tamwaishiba bwino."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Nga ca kuti ufwaya ukwasuka, ninshi ulefwaya ukulwa, nangu ukukaana!"
"  Travailler sans souci de gloire ou de fortune,","Ukubomba ukwabula ukufwaya icilumba nangu indalama,"
"  A tel voyage, auquel on pense, dans la lune !",Ulwendo ulukalamba ulwaya ku mweshi!
