Scène 2.VIII.,দৃশ্য ২.৮।
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","সাইরানো, লে ব্রেট, ক্যাডেটরা, যারা ডান এবং বাম দিকে বসল"
et auxquels on sert à boire et à manger.,আর তাদের জন্য পানীয় ও খাবার পরিবেশন করা হয়।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,সাইরানো (যারা তাকে সালাম জানাতে সাহস করে না তাদের গগনগন করে সালাম জানাচ্ছেন):
  Messieurs. . .Messieurs. . .Messieurs. . .,"স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার, স্যার,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (দুঃখিত, নিচে, হাত আকাশে):"
  Ah ! dans quels jolis draps.,কি সুন্দর কাপড়।
CYRANO:,সাইরানো:
  Oh ! toi ! tu vas grogner !,"ওহ, তুমি, তুমি কি নাক মারবে?"
LE BRET:,বিড়াল:
"  Enfin, tu conviendras","অবশেষে, তুমি ঠিকঠাক হবে"
"  Qu'assassiner toujours la chance passagère,","যে সবসময় ক্ষণিক ভাগ্য হত্যা,"
  Devient exagéré.,এটা অনেক বেশি।
CYRANO:,সাইরানো:
"  Hé bien oui, j'exagère !",আমি তো অনেক বেশি কথা বলছি।
LE BRET (triomphant):,বিরাট (বিজয়ী):
  Ah !,আহ!
CYRANO:,সাইরানো:
"  Mais pour le principe, et pour l'exemple aussi,","কিন্তু মূলত, এবং উদাহরণ হিসাবে,"
  Je trouve qu'il est bon d'exagérer ainsi.,"আমি মনে করি, এভাবেই বাড়াবাড়ি করা ভালো।"
LE BRET:,বিড়াল:
"  Si tu laissais un peu ton âme mousquetaire,","যদি তুমি তোমার আত্মাকে একটু ছেড়ে দাও,"
  La fortune et la gloire. . .,ধন ও গৌরব. . .
CYRANO:,সাইরানো:
  Et que faudrait-il faire ?,আর কি করা উচিত?
"  Chercher un protecteur puissant, prendre un patron,","শক্তিশালী একজন সুরক্ষার খোঁজ, একজন বসকে গ্রহণ,"
  Et comme un lierre obscur qui circonvient un tronc,আর তার মত একটি গাছের ঘরের চারপাশে অন্ধকার ঝিল্লি
"  Et s'en fait un tuteur en lui léchant l'écorce,",আর সে তার গালটি লোমশ করে তার রক্ষক হয়ে যায় ।
  Grimper par ruse au lieu de s'élever par force ?,জোর করে না আরোহণের পরিবর্তে চক্রান্ত করে আরোহণ করা?
"  Non, merci. Dédier, comme tous il le font,","না, ধন্যবাদ, সবাই যেমন করে,"
  Des vers aux financiers ? se changer en bouffon,'কুরগি থেকে আর্থিক কর্মী'
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","একজন মন্ত্রীকে দেখে আমি আশা করি,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","আর কি, একটা হাসি জন্ম দিতে, যেটা খারাপ না?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","না, ধন্যবাদ, প্রতিদিন ডাইনিং কি ফাস্টফুড?"
  Avoir un ventre usé par la marche ? une peau,"হাঁটতে হাঁটতে পেট ভেঙে যাওয়া, ত্বক ভেঙে যাওয়া"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","কে দ্রুততম, হাঁটু থেকে, নোংরা হয়ে যায়?"
  Exécuter des tours de souplesse dorsale ?. . .,ব্যাক-ফ্ল্যাশিবিলিটি টার্ম চালানো? . . .
"  Non, merci. D'une main flatter la chèvre au cou","না, ধন্যবাদ, এক হাতে ছাগলটিকে গলায় ধুয়ে ফেলুন"
"  Cependant que, de l'autre, on arrose le chou,","কিন্তু অন্যের কাছ থেকে আমরা ক্যালপ পানি দিই,"
"  Et, donneur de séné par désir de rhubarbe,",আর যে তার প ্ রচুর ্ তির কারণে বীর ্ য দেয় ।
"  Avoir son encensoir, toujours, dans quelque barbe ?",তার চুলের চুলের মধ্যে কি সবসময়ই তার চুলের চুলের মধ্যে থাকে?
"  Non, merci ! Se pousser de giron en giron,","না, ধন্যবাদ, একের পর এক বাড়াবাড়ি করা।"
"  Devenir un petit grand homme dans un rond,","এক বৃত্তে একটি ছোট বড় মানুষ হয়ে,"
"  Et naviguer, avec des madrigaux pour rames,","আর নৌকা চলাচল করতে হবে রেলের জন্য মদ্রিগান দিয়ে,"
  Et dans ses voiles des soupirs de vieilles dames ?,আর তার পাতাগুলোতে বৃদ্ধাদের কান্না?
"  Non, merci ! Chez le bon éditeur de Sercy","না, ধন্যবাদ, সেরসির ঠিকঠাক সম্পাদকের কাছে।"
"  Faire éditer ses vers en payant ? Non, merci !",- টাকা দিয়ে তার কৃমি সম্পাদনা করতে?
  S'aller faire nommer pape par les conciles,পোপ হিসেবে নির্বাচিত হতে
  Que dans des cabarets tiennent des imbéciles ?,যেসব ক্যাবারেটগুলোতে বোকা মানুষ থাকে?
"  Non, merci ! Travailler à se construire un nom","না, ধন্যবাদ, নিজের জন্য একটা নাম তৈরির চেষ্টা করছি।"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",- একটা শব্দের পরিবর্তে অন্যগুলো?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"ধন্যবাদ, কিন্তু কি শুধু মৃদুদের মধ্যেই প্রতিভা পাওয়া যায়?"
"  Être terrorisé par de vagues gazettes,","সংবাদপত্রের তরঙ্গ দ্বারা আতঙ্কিত হওয়া,"
"  Et se dire sans cesse: Oh, pourvu que je sois","আর ক্রমাগত মনে মনে ভাবতে থাকে, ""ওহ, যদি আমি"
  Dans les petits papiers du Mercure François ?. . .,মার্কুরাস ফ্রান্সিসের ছোট কাগজপত্রগুলোতে? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","না, ধন্যবাদ, গণনা করা, ভয় পাওয়া, মন্দ হওয়া,"
"  Aimer mieux faire une visite qu'un poème,","কবিতা থেকে বেশি দর্শন পছন্দ করা,"
"  Rédiger des placets, se faire présenter ?",- তুমি কি আমাকে কিছু লিখতে বলছো?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","না, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ, ধন্যবাদ"
"  Rêver, rire, passer, être seul, être libre,","স্বপ্ন দেখ, হাসি, চলে যাওয়া, একা থাকা, মুক্ত হওয়া,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","চোখ ভালোভাবে দেখতে, কণ্ঠ ভালোভাবে কাঁপতে,"
"  Mettre, quand il vous plaît, son feutre de travers,","যখনই আপনি চান, তার অনুভূতি ভুল করা,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","হ্যাঁ, না, না, লড়াই, - অথবা একটি কৃমি করা!"
"  Travailler sans souci de gloire ou de fortune,",গৌরব বা সম্পদ নিয়ে চিন্তা না করে কাজ করা
"  A tel voyage, auquel on pense, dans la lune !","চাঁদে যাওয়ার মতো এক যাত্রা, যা আমরা মনে করি!"
"  N'écrire jamais rien qui de soi ne sortît,","নিজের থেকে না আসা কোন কিছু লিখবেন না,"
