Scène 2.VIII.,दृश्य २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ले ब्रेट, किशोर लोग, जे दहिना आ बामा बइठल रहलें"
et auxquels on sert à boire et à manger.,उ पचे ओन लोगन क खाइ पीइहीं अउर उ पचे ओन लोगन क पिअइ क पिअइ क करिहीं।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (जो लोग बाहर निकलत बाड़े उनका के बिना उनका के सलाम करे के हिम्मत ना करे के उज्जर हावा से सलाम करत):
  Messieurs. . .Messieurs. . .Messieurs. . .,"सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जनन, सज्जन"
"LE BRET (désolé, redescendant, les bras au ciel):",उ पचे आपन हाथन स धरती क ऊपर उठावत रहेन।
  Ah ! dans quels jolis draps.,"ओह, कइसन सुंदर कपड़ा ।"
CYRANO:,साइरोन:
  Oh ! toi ! tu vas grogner !,"अरे, तू त गूँगावे लगऽ !"
LE BRET:,एगो बकरी
"  Enfin, tu conviendras","आखिर में, आप सब के सब कुछ ठीक हो जाएगा।"
"  Qu'assassiner toujours la chance passagère,","कि हमेसा ही आपन भाग्य क मारत रहे,"
  Devient exagéré.,एहसे त बहुत कुछ हो गइल बा.
CYRANO:,साइरोन:
"  Hé bien oui, j'exagère !","खैर, हाँ, हम त बहुत हद तक गइल बानी!"
LE BRET (triomphant):,जीत हासिल करे वाला:
  Ah !,ओह !
CYRANO:,साइरोन:
"  Mais pour le principe, et pour l'exemple aussi,","लेकिन सिद्धांत के खातिर, उदाहरण के खातिर भी,"
  Je trouve qu'il est bon d'exagérer ainsi.,हमरा लागत बा कि एह तरह से अतिरेक कइल अच्छा बा.
LE BRET:,एगो बकरी
"  Si tu laissais un peu ton âme mousquetaire,",अगर तू आपन हिरदय क कछू अउर बातन क बरे तइयार रहब्या तउ
  La fortune et la gloire. . .,धन अउर महिमा . . .
CYRANO:,साइरोन:
  Et que faudrait-il faire ?,त का करे के बा ?
"  Chercher un protecteur puissant, prendre un patron,","कउनो सक्तिसाली रच्छाकर्ता क खोज करब, कउनो मालिक क चुनब,"
  Et comme un lierre obscur qui circonvient un tronc,जइसे अँधियारा अँधियारा क लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत लपेटत
"  Et s'en fait un tuteur en lui léchant l'écorce,",उ आपन क एक ठु चरवाहा क रूप मँ लइ लेत ह अउर ओकर खाल लसावत ह
  Grimper par ruse au lieu de s'élever par force ?,बल से चढ़े के बजाय चालाक चढ़े के?
"  Non, merci. Dédier, comme tous il le font,","ना, धन्यवाद. सब लोग करे के तरह,"
  Des vers aux financiers ? se changer en bouffon,"कीड़ा से वित्तिय लोग तक, बन के बेवकूफ"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",उ पचे आपन आसा क पूरा करइ क जतन करत रहेन।
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","हँसी के जनम देवे के, आखिर, कौनों बुराई ना होखे?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ना, धन्यवाद, दररोज एगो बटोर के खाये के?"
  Avoir un ventre usé par la marche ? une peau,चल के पेट खराब होखेला?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","कौन सबसे जल्दी, घुटन के बदले, गंदा हो जाता है?"
  Exécuter des tours de souplesse dorsale ?. . .,पीठ के लचीलापन के परिक्रमा कइल जाय? . . .
"  Non, merci. D'une main flatter la chèvre au cou","ना, धन्यवाद, एगो हाथ से बकरी के गरदन में मिलावे के"
"  Cependant que, de l'autre, on arrose le chou,",मुला दूसर क अंगूर क बेलन क सिरावइ द्या।
"  Et, donneur de séné par désir de rhubarbe,",उ पचे आपन मूँड़े क दाँत क तरह स पीसत हीं
"  Avoir son encensoir, toujours, dans quelque barbe ?",का उ आपन धूपदान के हमेशा कवनो दाढ़ी में रखले रही?
"  Non, merci ! Se pousser de giron en giron,","ना, धन्यवाद, एक-एक करके बढ़ रहल बानी,"
"  Devenir un petit grand homme dans un rond,","एगो गोल में एगो छोट बड़ आदमी बनब,"
"  Et naviguer, avec des madrigaux pour rames,",उ पचे समुद्दर क किनारे आपन नाउ क नाउ क प्रयोग करिहीं
  Et dans ses voiles des soupirs de vieilles dames ?,अउर ओकर ओढ़ना मँ बूढ़ औरत क सोक क तरह?
"  Non, merci ! Chez le bon éditeur de Sercy","ना, धन्यवाद, सरसी के सही संपादक से"
"  Faire éditer ses vers en payant ? Non, merci !",आपन लफ़्ज़ के संपादित करे खातिर भुगतान करे खातिर?
