Scène 2.VIII.,ڤينڠ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سايرانو، بريت، ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤارا ڤ
et auxquels on sert à boire et à manger.,دان مڠاجركن اورڠ-اورڠ يڠ بركنا ?? ن.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سايرانو (مڠمبيل ڤڠاجرن يڠ برلاكو تيدق ممڤوڽاءيڽ):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيدين سيدين سيدين سيدين
"LE BRET (désolé, redescendant, les bras au ciel):",(تاهون، كدوا، كدوا، كدوا)
  Ah ! dans quels jolis draps.,اوه، اين چرتاي كوچك.
CYRANO:,سايرانو:
  Oh ! toi ! tu vas grogner !,اوه، تو، تو ميخواي گريه کني!
LE BRET:,ڤڠاجرن:
"  Enfin, tu conviendras",اخيرا، تو بايد اين كار رو انجام بدي
"  Qu'assassiner toujours la chance passagère,",اونتوق مڠمبيلكن كامي سهيڠڬ كامي
  Devient exagéré.,اين ها زياد مبالغ دري اين كار است.
CYRANO:,سايرانو:
"  Hé bien oui, j'exagère !",اوه، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين ها، اين
LE BRET (triomphant):,ڤڠاجين (تيمور):
  Ah !,اوه!
CYRANO:,سايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",نامون اونتوق ڤرينسيڤ، دان اونتوق ڤرينسيڤ،
  Je trouve qu'il est bon d'exagérer ainsi.,ساي برهارڤ اداله ڤرلو ممڤوڽاءي كران ايت.
LE BRET:,ڤڠاجرن:
"  Si tu laissais un peu ton âme mousquetaire,","""توق سسواتو روحن اكن ممڤوپا ?? ي،"
  La fortune et la gloire. . .,ڤاسوقن دان ڤڠاجين. . . .
CYRANO:,سايرانو:
