Scène 2.VIII.,Tampilan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, anak-anak muda, nang duduk di kanan wan kiri"
et auxquels on sert à boire et à manger.,(Dan) dihidangkanlah makanan dan minuman.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ma-salu-salu dengan udara gagah-gagah nang kaluar kada berani menyapa inya):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan-tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan tuan
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (sedih, turun, lengan ke langit):"
  Ah ! dans quels jolis draps.,wah! di apa kain indahnya.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, kau! kau akan bacakak!"
LE BRET:,PANYAH:
"  Enfin, tu conviendras","Akhirnya, kau akan jua"
"  Qu'assassiner toujours la chance passagère,","Bahwa mambunuh tuah samantaro,"
  Devient exagéré.,Sudah jadi berlebihan.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nah, iya, aku labih mamadahakan!"
LE BRET (triomphant):,BET (nang manuntungakan):
  Ah !,"Ah, tuh kan!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Tapi gasan prinsip, wan gasan contoh jua,"
  Je trouve qu'il est bon d'exagérer ainsi.,Aku rasa baiknya maninggakan kaya itu.
LE BRET:,PANYAH:
"  Si tu laissais un peu ton âme mousquetaire,","Amun ikam pina baisian sedikit jiwa muskiet,"
  La fortune et la gloire. . .,Harta dan kamulyaan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Lalu apa nang harus dilakukannya?
"  Chercher un protecteur puissant, prendre un patron,","mancari pangaluaran nang kuat, maminta pangulu,"
  Et comme un lierre obscur qui circonvient un tronc,"""Dan kaya lilin gelap nang mengelilingi batang"""
"  Et s'en fait un tuteur en lui léchant l'écorce,","Sudah tu inyo ma ambiak surang urang nan manjago inyo, sarato manyambuiknyo."
  Grimper par ruse au lieu de s'élever par force ?,Menjun nang gawian kada kawa diulah?
"  Non, merci. Dédier, comme tous il le font,","Kada, tarima kasih."
  Des vers aux financiers ? se changer en bouffon,Dari cacing ka pemasar? jadi buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dalam harapan malu gasan malihat, di bibir seorang menteri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Mambariti, apa nang kada salalu salalu?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Kada, tarima kasih."
  Avoir un ventre usé par la marche ? une peau,Mampu basuka di dalam perut lawan jalan?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Siapa nang paling cepat, di parak lutut, jadi kotor?"
  Exécuter des tours de souplesse dorsale ?. . .,Majalanakan manarusakan punggung? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Kada, tarima kasih."
