Scène 2.VIII.,སྐོར་ཐེངས་གཉིས་པ། བརྒྱད་པ།
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, the younger ones ལེགས་བསྒྱུར་བྱས་པ།"
et auxquels on sert à boire et à manger.,དེ་ཚོ་ལ་ཁ་ཟས་དང་འཐུང་རྒྱུ་སོགས་སྤྲད་དོ།
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,སི་རི་ནོ (ཁོང་ནས་ཕེབས་བསུ་མ་ཐག་ཏུ་ཡོང་མཁན་རྣམས་ལ་སྐད་ཤུགས་ཆེན་པོ་འདོན་ནས་འཚམས་འདྲི་ཞུས།)
  Messieurs. . .Messieurs. . .Messieurs. . .,སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས། སྐུ་ཞབས་ལགས།
"LE BRET (désolé, redescendant, les bras au ciel):",བེ་རི་ (སེམས་སྐྱོ་ཞིང་མར་བབས་པ། ལག་པ་མཐོ་རིས་):
  Ah ! dans quels jolis draps.,ཨ་ཧ། ཁ་རས་མཛེས་པོ་ཇི་འདྲ་འདུག
CYRANO:,ཛི་རན་:
  Oh ! toi ! tu vas grogner !,ཁྱོད་ནི་སྐད་ཅོར་བརྒྱབ་བཞིན་འདུག
LE BRET:,རྒྱང་ཚད།
"  Enfin, tu conviendras",ཤོག་ཅིག་ལ་ཐུག་པར་བྱའོ།
