Scène 2.VIII.,Scenarija 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mlađi, koji su se sjedili desno i lijevo"
et auxquels on sert à boire et à manger.,i da im se pije i jede.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (s goguenardnim pozdravom one koji izlaze bez da se usuđuju da ga pozdrave):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gosp"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (srećan, spuštanje, ruke u nebo):"
  Ah ! dans quels jolis draps.,U lijepim odelima.
CYRANO:,-Krenula je.
  Oh ! toi ! tu vas grogner !,"Oh, ti, ti ćeš smrčati!"
LE BRET:,-Koliko je?
"  Enfin, tu conviendras","Konačno, ti ćeš biti u redu."
"  Qu'assassiner toujours la chance passagère,","Da uvijek ubiješ prolazu sreće,"
  Devient exagéré.,"-Ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
CYRANO:,-Krenula je.
"  Hé bien oui, j'exagère !","Pa, da, pretjeram."
LE BRET (triomphant):,BRET (trijumfant):
  Ah !,"-O, da, da."
CYRANO:,-Krenula je.
"  Mais pour le principe, et pour l'exemple aussi,","Ali, za princip, i za primjer,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mislim da je dobro ovako pretjerati.
LE BRET:,-Koliko je?
"  Si tu laissais un peu ton âme mousquetaire,","Ako bi malo ostavio svoju musketarsku dušu,"
  La fortune et la gloire. . .,Bogat i slava. . . .
CYRANO:,-Krenula je.
  Et que faudrait-il faire ?,Šta bi trebalo da se uradi?
"  Chercher un protecteur puissant, prendre un patron,","Tražiti moćnog zaštitnika, uzeti šefa,"
  Et comme un lierre obscur qui circonvient un tronc,I kao tamna lija koja okružuje trun
"  Et s'en fait un tuteur en lui léchant l'écorce,","I napravi se za njega čuvar, ližeći ga kožu,"
  Grimper par ruse au lieu de s'élever par force ?,"Da se uzmeš na planinu, umjesto da se uzmeš na silu?"
"  Non, merci. Dédier, comme tous il le font,","Ne, hvala."
  Des vers aux financiers ? se changer en bouffon,"Od crva do finansija, da se pretvore u bufona."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","U plemenoj nadi da će vidjeti, na ustima ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","I da se rodi osmijeh, koji nije sinusni?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, hvala, jel' da jedeš svaki dan sa žaba?"
  Avoir un ventre usé par la marche ? une peau,Da se stomak opušti od putovanja?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ko je brže, umjesto koljena, da postane prljav?"
  Exécuter des tours de souplesse dorsale ?. . .,Da li se radi o kretanju leđa? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, hvala, samo jednom rukom, pomalo, kozu na vrat."
"  Cependant que, de l'autre, on arrose le chou,","Ali, ako na drugom, vodimo kabuli,"
"  Et, donneur de séné par désir de rhubarbe,","i koji se zažudi da se škrta,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Da ima svoju kadricu u nekoj bradi?
"  Non, merci ! Se pousser de giron en giron,","Ne, hvala, samo se uzdiže."
"  Devenir un petit grand homme dans un rond,","Postao je veliki mali čovjek u krug,"
"  Et naviguer, avec des madrigaux pour rames,","I brodovanje, sa drgamama za rame,"
  Et dans ses voiles des soupirs de vieilles dames ?,A u njegovim vitrima su starci?
"  Non, merci ! Chez le bon éditeur de Sercy","-Ne, hvala, kod pravog izdavača Sercyja."
"  Faire éditer ses vers en payant ? Non, merci !",Da je upraveš za plaćanje?
  S'aller faire nommer pape par les conciles,Da se nađe u papu
  Que dans des cabarets tiennent des imbéciles ?,Da u kabari imaju budale?
"  Non, merci ! Travailler à se construire un nom",Radite na tome da napravite ime.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na jedan sonnet, umjesto da ga napravimo?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Da li se može naći talent samo u župama?
"  Être terrorisé par de vagues gazettes,","Da se plaši valjanim novinama,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I stalno se pitam: ""Oh, samo da sam"
  Dans les petits papiers du Mercure François ?. . .,U papirima Merkura Franjo?
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, hvala, računati, biti uplašena, biti blesava,"
"  Aimer mieux faire une visite qu'un poème,",Volio bih više posjetu nego pesmu.
"  Rédiger des placets, se faire présenter ?","Napisati plakate, predstaviti se?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala,"
"  Rêver, rire, passer, être seul, être libre,","Sanjati, smijati, prolaziti, biti sam, biti slobodan,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Da imaju dobro vidljive oči, vibrirajuće glasove,"
"  Mettre, quand il vous plaît, son feutre de travers,","Da stavi, kad hoćeš, svoje osjecaj krivo,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za da, za ne, boriti se, ili napraviti crv!"
"  Travailler sans souci de gloire ou de fortune,","Radite bez briga za slavu ili bogatstvo,"
"  A tel voyage, auquel on pense, dans la lune !","Na putovanje na mjesec, na koje se može misliti."
"  N'écrire jamais rien qui de soi ne sortît,","Nikada ne pišite ništa što ne dolazi od sebe,"
"  Et modeste d'ailleurs, se dire: mon petit,","I skromna, takođe, da se kaže: ""Moj mali,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Da li je zadovoljan cvetom, voćem, čak i listovima,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ako je u tvom vrtu da ih uzmeš!
"  Puis, s'il advient d'un peu triompher, par hasard,","I ako se dogodi da je malo uspješno,"
"  Ne pas être obligé d'en rien rendre à César,",da ne budem dužan da platim Cezara.
"  Vis-à-vis de soi-même en garder le mérite,","U odnosu na sebe, zadržati svoju vrijednost,"
"  Bref, dédaignant d'être le lierre parasite,","Ukratko, odbacujući da sam parazitna lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Čak i ako nismo oglje ili drvo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ne može se popeti visoko, ali sama."
LE BRET:,-Koliko je?
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Samo, ali ne i protiv svih."
  As-tu donc contracté la manie effroyable,"Pa, zar si se upala u strašnu maniju?"
"  De te faire toujours, partout, des ennemis ?",Da se stalno pretvaraš u neprijatelje?
CYRANO:,-Krenula je.
"  A force de vous voir vous faire des amis,","Zbog toga što vas vidim kako se družite,"
"  Et rire à ces amis dont vous avez des foules,","I smijati se tim prijateljima koje imate u mnoštvu,"
  D'une bouche empruntée au derrière des poules !,-S usta koje su se odvezale od kokoša!
"  J'aime raréfier sur mes pas les saluts,","Volim da se pozdravim na svojim stopama,"
  Et m'écrie avec joie: un ennemi de plus !,I glasi mi sa veseljem: još jedan neprijatelj!
LE BRET:,-Koliko je?
  Quelle aberration !,Kakva je to aberacija!
CYRANO:,-Krenula je.
"  Eh bien, oui, c'est mon vice.","Pa, da, to je moja navika."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Volim da se odselim, volim da me mrze."
"  Mon cher, si tu savais comme l'on marche mieux","Draga moja, da znaš kako bolje hodati"
  Sous la pistolétade excitante des yeux !,Pod uzbudljivim pogledom!
"  Comme, sur les pourpoints, font d'amusantes taches","Kao što, na poenta, rade zabavne mrlje"
  Le fiel des envieux et la bave des lâches !,Željko ljubomornih i ćelavska želava!
"  --Vous, la molle amitié dont vous vous entourez,","-Ti, slatka prijateljica koju okružuješ,"
"  Ressemble à ces grands cols d'Italie, ajourés","Izgleda kao ta velika italijanska koša, odložena"
"  Et flottants, dans lesquels votre cou s'effémine:","I plutajući, u kojima se vrat ostavlja."
"  On y est plus à l'aise. . .et de moins haute mine,",-Bolje je biti u komfortu.
"  Car le front n'ayant pas de maintien ni de loi,","Jer čelo nema pravde i zakona,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ne želi da se okreće u sve smere.
"  La Haine, chaque jour, me tuyaute et m'apprête","Svakog dana, mržnja me je upala i spremila."
  La fraise dont l'empois force à lever la tête;,"Žutaca, čija je otrov uticala na podizanje glave;"
  Chaque ennemi de plus est un nouveau godron,Svaki novi neprijatelj je novi kreten.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","I doda mi nevolju i razžare,"
"  Car, pareille en tous points à la fraise espagnole,","Jer, kao što je u svakoj stvari španska fraza,"
"  La Haine est un carcan, mais c'est une auréole !","Mržnja je šljuka, ali je aurola!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (posle tišine, prolazeći ruku ispod svoje):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Neka se ponosni i gorki, ali, nisko"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Samo mi reci da te ne voli!
CYRANO (vivement):,CYRANO (živje):
  Tais-toi !,-Tiho je!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Od nekog vremena, Christian je ušao, meša se sa mlađima; oni su"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Ne govore mu, on je na kraju sjedio sam na jednom"
