Scène 2.VIII.,Ade' 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ana'-ana' maloloé, iya tudangngé ri seddé ataunna sibawa ri seddé abéyo"
et auxquels on sert à boire et à manger.,Nanré sibawa ménung mennang ripakéi untu' mennang.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (makkaluppai sibawa sadda malluwa'-luwa' lao ri tau iya massué sibawa dé'é namasse lao ri aléna):
  Messieurs. . .Messieurs. . .Messieurs. . .,Saudara-saudara. Saudara-saudara. Saudara-saudara.
"LE BRET (désolé, redescendant, les bras au ciel):",(Mémeng tassinnau senna'i mennang sibawa limanna ri langié.)
  Ah ! dans quels jolis draps.,Oh! iyai lappo'na iyai!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, iko! Muwammengngere'i matu!"
LE BRET:,PANGERAN:
"  Enfin, tu conviendras","Narapini wettunna, mupoji matu"
"  Qu'assassiner toujours la chance passagère,",Naullèi mattengngang mpunoi sining tau iya dè'è namatinulu.
  Devient exagéré.,Mainge'i iyaro.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nah iya, iyya'é pura-pura makurang."
LE BRET (triomphant):,(PANGERAN) (Mappakalaungengngi)
  Ah !,Oh iya!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Iyakiya nasaba parènta-parèntana, sibawa nasaba conto-conto'na,"
  Je trouve qu'il est bon d'exagérer ainsi.,Manessani makessingngi untu' makkalebbi pada-padaéro.
LE BRET:,PANGERAN:
"  Si tu laissais un peu ton âme mousquetaire,","Rékko muwébburengngi lao ri aléna iyaro roh-é,"
  La fortune et la gloire. . .,Harusu'i mennang mancaji sugi sibawa maraja.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Na aga harusu ripogau'?
"  Chercher un protecteur puissant, prendre un patron,","Mappammulai wettuéro, maéloka sappai séddi pamimping iya baranié méwaiwi tauwé."
  Et comme un lierre obscur qui circonvient un tronc,Pada-pada aju iya mallise'é mattulilingiwi aju ajué.
"  Et s'en fait un tuteur en lui léchant l'écorce,",Nainappa iyaro olokolo'é naébbu séddi pakkampi sibawa nacculé-culéi aju-kajungngé.
  Grimper par ruse au lieu de s'élever par force ?,Naiyya naoto'i sibawa awatangeng?
"  Non, merci. Dédier, comme tous il le font,","Dé', mattarima kasi."
  Des vers aux financiers ? se changer en bouffon,pole maccule lao ri tau keuangan? mancaji buffalo
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ri laleng amménasang iya matunaé untu' mitai, ri laleng ada-ada polé ri séddié pattumani,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Naiyya tau iya dé'é namadosa, iyanaritu tau iya mappunnaiyé seppungeng."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Dé', mattarima kasi."
  Avoir un ventre usé par la marche ? une peau,"Naiyaro lalengnge maccolo'i, naullèi mancaji pellana"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Nigana lebbi malomo mancaji najisi'é naiya sining ajéna?
  Exécuter des tours de souplesse dorsale ?. . .,Maccappa'i ri laleng abbagé-bagé'na cella'na? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Dé', mattarima kasi."
"  Cependant que, de l'autre, on arrose le chou,","Iyakiya rékko ri laleng séddié lao ri laingngé, riyabbéyangngi gandongngé,"
"  Et, donneur de séné par désir de rhubarbe,","Naiyaro sining tau iya makkumanié atinna, naéwa towi mennang."
