Scène 2.VIII.,Сцена 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Брет, младежите, които седнаха надясно и наляво"
et auxquels on sert à boire et à manger.,"И да им се сервират, да им се пие и да им се хранят."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"КИРАНО (приветства с гогонен въздух онези, които излизат без да се осмелят да го поздравят):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, господа, госпо"
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (съжаляване, спускане, ръце към небето):"
  Ah ! dans quels jolis draps.,"О, в какви хубави чаршафи."
CYRANO:,"- Не, не, не, не."
  Oh ! toi ! tu vas grogner !,"О, ти, ще си хъркаш!"
LE BRET:,"- Не, не, не."
"  Enfin, tu conviendras","Най-накрая, ще се съгласиш."
"  Qu'assassiner toujours la chance passagère,","Да убиваш късмет, който е минал."
  Devient exagéré.,Това е преувеличено.
CYRANO:,"- Не, не, не, не."
"  Hé bien oui, j'exagère !","- Да, прекалявам."
LE BRET (triomphant):,ТРЕЙМФАЛНА:
  Ah !,"- Да, така е."
CYRANO:,"- Не, не, не, не."
"  Mais pour le principe, et pour l'exemple aussi,","Но както за принципа, така и за примера,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Мисля, че е добре да преувеличаваме."
LE BRET:,"- Не, не, не."
"  Si tu laissais un peu ton âme mousquetaire,","Ако оставиш малко силите си,"
  La fortune et la gloire. . .,Богатство и слава. . . .
CYRANO:,"- Не, не, не, не."
  Et que faudrait-il faire ?,И какво трябва да се направи?
"  Chercher un protecteur puissant, prendre un patron,","Да търсиш мощен защитник, да си вземеш шеф,"
  Et comme un lierre obscur qui circonvient un tronc,"Като тъмно линко, което обгражда ствола"
"  Et s'en fait un tuteur en lui léchant l'écorce,","И се превръща в пазител, като лизва кората му,"
  Grimper par ruse au lieu de s'élever par force ?,"Да се качиш под ръка на някой, вместо да се качиш с сила?"
"  Non, merci. Dédier, comme tous il le font,","Не, благодаря, да се отдадете, както всички."
  Des vers aux financiers ? se changer en bouffon,"От червеи до финансови, да се превърнат в гнуси."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","В унизителна надежда да видя, на устата на един министър,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Да се роди усмивка, която не е зловеща?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Не, благодаря, но да обядваме с жаба всеки ден?"
  Avoir un ventre usé par la marche ? une peau,"Да си износнеш корема, докато ходиш?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кой по-бързо, вместо коленете, става мръсен?"
  Exécuter des tours de souplesse dorsale ?. . .,Да се движат на гърба си? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Не, благодаря, с една ръка, ласкайки козата в врата."
"  Cependant que, de l'autre, on arrose le chou,","Но ако на другия се нареди да се нареди капуста,"
"  Et, donneur de séné par désir de rhubarbe,",И дават гърдите си от желание за бръсна.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там и да си държиш там.
"  Non, merci ! Se pousser de giron en giron,","Не, благодаря, но да се движим от едно на друго."
"  Devenir un petit grand homme dans un rond,","Да станеш малък голям човек в кръг,"
"  Et naviguer, avec des madrigaux pour rames,","И да плават с мадриди за камари,"
  Et dans ses voiles des soupirs de vieilles dames ?,А в неговите вел са взриви на стари жени?
"  Non, merci ! Chez le bon éditeur de Sercy","Не, благодаря, на правилната редакция на Серси."
"  Faire éditer ses vers en payant ? Non, merci !","Да си редактирам червеите, като плащам?"
  S'aller faire nommer pape par les conciles,Да се избере за папа от съборите
  Que dans des cabarets tiennent des imbéciles ?,Че в казармите има глупаци?
"  Non, merci ! Travailler à se construire un nom",Да се трудим да си изградим име.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На един звук, вместо да правим други?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Да откриеш талант само в мазетата?
