Scène 2.VIII.,Escenari 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, els cadets, que s'han asselat a la dreta i a l'esquerra"
et auxquels on sert à boire et à manger.,i els serveixen a menjar i beure.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludant amb un aire de goguenard a aquells que surten sense atreure-se a saludar-lo):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Senyores, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors, senyors,"
"LE BRET (désolé, redescendant, les bras au ciel):","EL BRET (sorol, baixant, braços al cel):"
  Ah ! dans quels jolis draps.,Ah! en quines lletres bones.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tu! Estaràs gruntant!"
LE BRET:,El BRET:
"  Enfin, tu conviendras","Finalment, et convèn"
"  Qu'assassiner toujours la chance passagère,","Que sempre assassinar la sort passada,"
  Devient exagéré.,Es va exagerar.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Bé, sí, estic exagerant!"
LE BRET (triomphant):,EL BRET (triomfant):
  Ah !,"Ah, això és tot."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Però pel principi, i per l'exemple també,"
  Je trouve qu'il est bon d'exagérer ainsi.,Crec que és bo exagerar així.
LE BRET:,El BRET:
"  Si tu laissais un peu ton âme mousquetaire,","Si deixessis una mica de l'ànima mosqueta,"
  La fortune et la gloire. . .,La riquesa i la glòria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,I què hauria de fer?
"  Chercher un protecteur puissant, prendre un patron,","Buscar un protector fort, prendre un patron,"
  Et comme un lierre obscur qui circonvient un tronc,I com una llina fosca que envolta un tronc
"  Et s'en fait un tuteur en lui léchant l'écorce,","I es fa un tutora, llevant la pell,"
  Grimper par ruse au lieu de s'élever par force ?,Escalar amb truc en lloc de pujar amb força?
"  Non, merci. Dédier, comme tous il le font,","No, gràcies."
  Des vers aux financiers ? se changer en bouffon,De vermes a finances?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Amb la humil esperança de veure, amb les llaves d'un ministre,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Naixer un somriure, per descomptat, que no sigui sinistre?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, gràcies. ¿Demancar cada dia amb un crabat?"
  Avoir un ventre usé par la marche ? une peau,Tener un ventre usat pel camí?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Qui més ràpid, en lloc de les genolls, es torna suja?"
  Exécuter des tours de souplesse dorsale ?. . .,Fes gires de flexibilitat d'esquena? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, gràcies. Amb una mà flagejar la cabra al coll"
"  Cependant que, de l'autre, on arrose le chou,","Però si, de l'altre, ens regalem el gabot,"
"  Et, donneur de séné par désir de rhubarbe,","I que fa que el seu mare sigui un rhubarb,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Tener el seu incens sempre en alguna barba?
"  Non, merci ! Se pousser de giron en giron,","No, gràcies, es pot impulsar d'un cop a l'altre."
"  Devenir un petit grand homme dans un rond,","Tornar-se un gran home petit en un rod,"
"  Et naviguer, avec des madrigaux pour rames,","I navegar amb madrigals per a remes,"
  Et dans ses voiles des soupirs de vieilles dames ?,I en les seves veloes els sopres de veïnes?
"  Non, merci ! Chez le bon éditeur de Sercy","No, gràcies, al bon editor de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Que els seus vermes s'editin a pagar?
  S'aller faire nommer pape par les conciles,Ser nomenat papa pels consells
