Scène 2.VIII.,Esena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Si Cyrano, si Bret, ang mga batan-on nga naglingkod sa tuo ug wala"
et auxquels on sert à boire et à manger.,Ug sila gihatagan ug pagkaon ug ilimnon.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nag-awhag sa mga tawo nga wala mag-abli sa pag-awhag kaniya):
  Messieurs. . .Messieurs. . .Messieurs. . .,Mga ginoo... mga ginoo... mga ginoo...
"LE BRET (désolé, redescendant, les bras au ciel):","Ang BRET (pag-ampo, pag-usab, mga bukton ngadto sa langit):"
  Ah ! dans quels jolis draps.,Sa mga matahom nga lino.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ikaw! Ikaw mag-ugugnoy!"
LE BRET:,Ang Tinuod nga Pag-alagad:
"  Enfin, tu conviendras","Sa kataposan, ikaw mag-ayo"
"  Qu'assassiner toujours la chance passagère,","Nga kanunayng magpatay sa temporaryo nga kalisdanan,"
  Devient exagéré.,Nagkadaghan kaayo.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Oo, ako nag-exaggerate!"
LE BRET (triomphant):,Ang BROET (panghimulos):
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Apan alang sa prinsipyo, ug alang sa panig-ingnan usab,"
  Je trouve qu'il est bon d'exagérer ainsi.,Sa akong hunahuna maayo nga mag-obra sa ingon.
LE BRET:,Ang Tinuod nga Pag-alagad:
"  Si tu laissais un peu ton âme mousquetaire,","Kon imong pabilin ang imong musketing kalag,"
  La fortune et la gloire. . .,Ang bahandi ug kadungganan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ug unsay angayng buhaton?
"  Chercher un protecteur puissant, prendre un patron,","Pagpangita ug gamhanan nga protektor, pag-angkon ug boss,"
  Et comme un lierre obscur qui circonvient un tronc,Ug sama sa usa ka mapintas nga lirio nga naglibut sa usa ka bukton
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ug siya maghimo niini nga usa ka tigbantay sa iyang kaugalingon, nga nagalimod sa iyang panit;"
  Grimper par ruse au lieu de s'élever par force ?,Pagpang-aghat sa mga tawo nga dili mag-aghat?
"  Non, merci. Dédier, comme tous il le font,","Dili, salamat. Pag-dedicate, sama sa tanan nga mga tawo,"
  Des vers aux financiers ? se changer en bouffon,Gikan sa mga maghugaw ngadto sa mga pinansyal?
