Scène 2.VIII.,Scéna 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mladší, kteří se usadili vpravo a vlevo"
et auxquels on sert à boire et à manger.,"a jsou jim slouženy, aby jedli a pili."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (zdravující s chvály ty, kteří se nevyváží pozdravit):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové, pánové,"
"LE BRET (désolé, redescendant, les bras au ciel):","PŘÍMĚD (smutný, sestup, ruce do nebe):"
  Ah ! dans quels jolis draps.,V těch krásných plátních.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ty, budeš štmkat!"
LE BRET:,- Věci.
"  Enfin, tu conviendras",Konečně se vám to hodí.
"  Qu'assassiner toujours la chance passagère,","Že vždycky zabíjíte přechodné štěstí,"
  Devient exagéré.,Je to přehnané.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","No, jo, to je přehnané."
LE BRET (triomphant):,VYVÍRÁNÍ:
  Ah !,- To je pravda.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ale pro princip, a také pro příklad,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Myslím, že je dobré takhle přehánět."
LE BRET:,- Věci.
"  Si tu laissais un peu ton âme mousquetaire,","Kdybych ti trochu nechal svou mouchetní duši,"
  La fortune et la gloire. . .,Bohatství a sláva. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,A co by se mělo dělat?
"  Chercher un protecteur puissant, prendre un patron,","Hledat silného ochránce, najít si šéfa,"
  Et comme un lierre obscur qui circonvient un tronc,"A jako tmavá černá, která obklopuje trůn"
"  Et s'en fait un tuteur en lui léchant l'écorce,","A stává se jeho opatrovníkem, liže jeho kůži,"
  Grimper par ruse au lieu de s'élever par force ?,"Klepnout podstřihem místo toho, aby se vylepšil násilím?"
"  Non, merci. Dédier, comme tous il le font,","Ne, děkuji, ale věnovat se, jako všichni ostatní,"
  Des vers aux financiers ? se changer en bouffon,"Od červů do finančních, se proměňují v blbce."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","V ponížné naději, že uvidí, na rtech ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","A co když se narodí úsměv, který není zlý?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, díky, ale snídani každý den s žabou?"
  Avoir un ventre usé par la marche ? une peau,- Že se střeva opotřebovala v chůzi?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kdo se stává nejrychleji špinavým než kolena?
  Exécuter des tours de souplesse dorsale ?. . .,Vytáčet se na záda? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, díky, jednou rukou, pomalu na krku."
"  Cependant que, de l'autre, on arrose le chou,","Ale když se na druhém dá napájet kapes,"
"  Et, donneur de séné par désir de rhubarbe,","A přináší prsou, aby se žárla,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Pořád mít svůj kadidlo v nějaké bradě?
"  Non, merci ! Se pousser de giron en giron,","Ne, díky, ale to se rozvíjí."
"  Devenir un petit grand homme dans un rond,","Stát se malým velkým mužem v kruhu,"
"  Et naviguer, avec des madrigaux pour rames,","A plavbu, s lodními loděmi,"
  Et dans ses voiles des soupirs de vieilles dames ?,A v jeho žebříčku jsou staré dámy?
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, díky, u toho správného vydavatele Sercyho."
"  Faire éditer ses vers en payant ? Non, merci !","- Ne, díky."
  S'aller faire nommer pape par les conciles,Přijít na papežské koncile
  Que dans des cabarets tiennent des imbéciles ?,Že v kabátách mají hlupáky?
"  Non, merci ! Travailler à se construire un nom","Ne, díky, pracuj na tom, abys si vytvořil jméno."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na jednu z písní, místo toho, aby se dělal další?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- A ty jsi talent jen v hřebeních?
"  Être terrorisé par de vagues gazettes,","Být vyděšen vlnnými novinami,"
"  Et se dire sans cesse: Oh, pourvu que je sois","A pořád si říkám: ""Ach, pokud jsem"
  Dans les petits papiers du Mercure François ?. . .,V malých papírech Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, díky, počítat, mít strach, být bláznivý,"
"  Aimer mieux faire une visite qu'un poème,",Raději navštívit než básní.
"  Rédiger des placets, se faire présenter ?","Napírat si nějaké listy, se předvést?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, díky, díky, díky, díky, ale... zpívám,"
"  Rêver, rire, passer, être seul, être libre,","Sníme, smíme, přecházíme, jsme sami, jsme svobodní,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","S ohledem, který vidí dobře, hlas, který se třese,"
"  Mettre, quand il vous plaît, son feutre de travers,","Když se vám to líbí, můžete si to nechat přehnat."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za ano, za ne, bojovat, nebo dělat červa!"
"  Travailler sans souci de gloire ou de fortune,","Nechte se zaměstnat bez vznešenosti nebo bohatství,"
"  A tel voyage, auquel on pense, dans la lune !","Na takovou cestu, na kterou si myslíme, do měsíce!"
"  N'écrire jamais rien qui de soi ne sortît,","Nikdy nedělej nic, co nevyjde z tebe."
"  Et modeste d'ailleurs, se dire: mon petit,","A skromný, že si říká: ""Můj malý,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ať už se těší květinami, ovocem, i listy,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Když je budeš sbírat ve svém zahradě, tak to je tvoje."
"  Puis, s'il advient d'un peu triompher, par hasard,","Pak, když se mu podaří trochu zvítězit, náhodou,"
"  Ne pas être obligé d'en rien rendre à César,","Neodkážeš se tedy, že bys měl něco dát císaři."
"  Vis-à-vis de soi-même en garder le mérite,",Pro sebe si to zaslouží.
"  Bref, dédaignant d'être le lierre parasite,","Zkrátka, odmítám být parasitní lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","I když nejsme olenková nebo černá,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Možná ne moc vysoko, ale sám!"
LE BRET:,- Věci.
