Scène 2.VIII.,دیمەنی دووەم هەشتەم
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سیڕانۆ، لێ برێت، گەنجەکان، کە لە ڕاست و چەپەوە دانیشتن
et auxquels on sert à boire et à manger.,ئه وانه ش که ده خوارن و ده خوارن و ده خوارن
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سیڕانۆ (بە دەنگی گووگانی سڵاو لە ئەوانەی دەردەچن و ناتوانین سڵاو لێ بکەین):
  Messieurs. . .Messieurs. . .Messieurs. . .,بەڕێزان بەڕێزان بەڕێزان بەڕێزان
"LE BRET (désolé, redescendant, les bras au ciel):",(بەدڵدەوەستی، بە بازنەکانی بۆ ئاسمان):
  Ah ! dans quels jolis draps.,ئه ی، ئه و پارچه جوانانه ی له ناو ده ستدا
CYRANO:,سیڕانۆ:
  Oh ! toi ! tu vas grogner !,تۆ، تۆ دێیت لە گڕبڕان!
LE BRET:,- خاك:
"  Enfin, tu conviendras",لە کۆتاییدا، تۆ لەگەڵت دەبێت
"  Qu'assassiner toujours la chance passagère,",تا هەمیشە بەختەوەری تێپەڕی بکوژێت
  Devient exagéré.,زۆر زۆرە.
CYRANO:,سیڕانۆ:
"  Hé bien oui, j'exagère !",بەڵێ، زۆرم تێدەپەڕێت!
LE BRET (triomphant):,"(ڕەوانەکراوە لە ""ڕەوانەکەر""ەوە)"
  Ah !,ئەی!
CYRANO:,سیڕانۆ:
"  Mais pour le principe, et pour l'exemple aussi,",بەڵام لە بنەماییدا، هەروەها لە نمونەدا،
  Je trouve qu'il est bon d'exagérer ainsi.,پێم وایە زۆر کردنەوەی ئەم جۆرە باشە.
LE BRET:,- خاك:
"  Si tu laissais un peu ton âme mousquetaire,",ئەگەر هێشتتەوە ڕۆحت بە جگەرە،
  La fortune et la gloire. . .,دەوڵەمەندبوون و شکۆ . . .
CYRANO:,سیڕانۆ:
  Et que faudrait-il faire ?,چی بکرێت؟
"  Chercher un protecteur puissant, prendre un patron,",بەدوای پارێزەرێکی بەهێزدا بگەڕێم، خاوەن کارێک بدەم،
  Et comme un lierre obscur qui circonvient un tronc,وه ک ئه و که سه ی که له سه ر دارێکی تاریکدا ده که وێته ده ره وه ی که سه که ی
"  Et s'en fait un tuteur en lui léchant l'écorce,",ئه و ده ستبه جێ ده کات و ده ستبه جێ ده کات و ده ستبه جێ ده کات.
  Grimper par ruse au lieu de s'élever par force ?,چوونە سەرەوە بە فێڵ لەبری ئەوەی بە هێز بەرز ببێتەوە؟
"  Non, merci. Dédier, comme tous il le font,",نه خێر، سوپاس، وه ک هه مووان،
  Des vers aux financiers ? se changer en bouffon,لە مێروولکانەوە بۆ دارایی؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",بە هیوای بێبەری بۆ بینینی، بە لێوی وەزیری
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",بۆ ئەوەی بزنی دروستبکات، کە لە ڕاستیدا، بێ تاوان نییە؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نا، سوپاس، ڕۆژانە نانخواردنی شەکۆ؟
  Avoir un ventre usé par la marche ? une peau,کە گەدە لە ڕێگای ڕۆیشتندا تێکدەچێت؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",کێ لە جێگای زانوەکان خێراتر گڵاو دەبێت؟
  Exécuter des tours de souplesse dorsale ?. . .,ئایا وەرزشکردنی وەرزەکانی وەرزشی پشتی؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه خێر، به سوپاس، به یه ك ده ست له ده ری بزه كه دا
"  Cependant que, de l'autre, on arrose le chou,",بەڵام لە لایەکی ترەوە، کەڵکەکە ئاو دەدرێ،
"  Et, donneur de séné par désir de rhubarbe,",ئه و که سه ش ده یله شێت به ئاره زووی شه ڕ و ڕه ش و ڕه ش
"  Avoir son encensoir, toujours, dans quelque barbe ?",ئایا هەمیشە بۆنەکەی لە ناو دەمارێکدا بێت؟
"  Non, merci ! Se pousser de giron en giron,",نەخێر، سوپاس، لە یەکەوە بە یەکەوە،
"  Devenir un petit grand homme dans un rond,",ببیتە پیاوێکی گەورە و بچووک لە بازنەیەکدا
"  Et naviguer, avec des madrigaux pour rames,",و بە دەریاچۆیەكدا، بە زەمینەیەكی لێشاو،
  Et dans ses voiles des soupirs de vieilles dames ?,لە پەردەكانی ئەو كچە پیرەژانە چی دەكەین؟
