Scène 2.VIII.,2.VIII sahne.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, gençler, sağ ve solğa oturğanlar"
et auxquels on sert à boire et à manger.,Ve olarğa aş ve içecekler berile.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (sözüyleşip çıqqanlarnı selâmlay):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar, baylar,"
"LE BRET (désolé, redescendant, les bras au ciel):","KİÇİ (ağır, tüşken, qolları göğe):"
  Ah ! dans quels jolis draps.,Ah! ne güzel kâğıtlar içinde.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,"Sen, sen qırqıp çıqqanıñnı tüşün!"
LE BRET:,Kök:
"  Enfin, tu conviendras","Niayet, sen yahşı olacaqsıñ"
"  Qu'assassiner toujours la chance passagère,","Er vaqıt keçken şansnı öldürmek,"
  Devient exagéré.,Bu abartılıqqa oğrağan.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","- Men de, ğaliba, çoqtan aytam."
LE BRET (triomphant):,Qazan:
  Ah !,Ah! Ah!
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Amma printsip ve misal içün de,"
  Je trouve qu'il est bon d'exagérer ainsi.,Böyle ilerilemege yahşı olğanını tüşünem.
LE BRET:,Kök:
"  Si tu laissais un peu ton âme mousquetaire,","Canıñnı biraz da olsa,"
  La fortune et la gloire. . .,Mal-mülk ve şan-şeref. . . .
CYRANO:,CIRANO:
  Et que faudrait-il faire ?,Ne yapmaq kerek edi?
"  Chercher un protecteur puissant, prendre un patron,","Güçlü qoruyıcığa qoltutmaq, patron almaq,"
  Et comme un lierre obscur qui circonvient un tronc,"Quruyğan bir quruyğa oşay,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ve onı qoruyıcı etip, onıñ çığarğanını yırtıp,"
