Scène 2.VIII.,Canolfan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, y bachgeniaid, a eisteddodd ar y dde a'r chwith"
et auxquels on sert à boire et à manger.,a'u gwasanaethu i fwyta a yfed.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yn cyfarch â'r rhai sy'n mynd allan heb orfod cyfarch):
  Messieurs. . .Messieurs. . .Messieurs. . .,Gentlemen ... gentlemen ... gentlemen ... gentlemen ...
"LE BRET (désolé, redescendant, les bras au ciel):","Y BRET (dwy, yn dod i lawr, â'r ddwylo i'r nef):"
  Ah ! dans quels jolis draps.,Y mae'r gwely mor hardd.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ti, ti'n mynd i groesawu!"
LE BRET:,Y GRAW:
"  Enfin, tu conviendras","Yn olaf, byddwch yn cytuno"
"  Qu'assassiner toujours la chance passagère,","Yn lladd i'r ffasiwn dros dro bob amser,"
  Devient exagéré.,Mae'n mynd yn rhy rhy rhyfedd.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Wel, mae hynny'n rhy rhy rhyfedd!"
LE BRET (triomphant):,Y GABR (Ganedwy):
  Ah !,Mae'n dda iawn.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ond ar gyfer y egwyddor, ac ar gyfer y enghraifft hefyd,"
  Je trouve qu'il est bon d'exagérer ainsi.,Rwy'n credu bod hynny'n dda i'w hybu.
LE BRET:,Y GRAW:
"  Si tu laissais un peu ton âme mousquetaire,","Os bydded ti'n gadael i'r ysbryd yn y mosgeti ychydig,"
  La fortune et la gloire. . .,Mae cyfoeth a gogoniant. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,A beth ddylid ei wneud?
"  Chercher un protecteur puissant, prendre un patron,","Ymchwilio am amddiffyniad cryf, cymryd bos,"
  Et comme un lierre obscur qui circonvient un tronc,Fel y mae'r llir yn y dufn sy'n amgylchynu trwm
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ac mae'n gwneud ei hun yn gofalu amdano, gan lil ei chardd."
  Grimper par ruse au lieu de s'élever par force ?,Gwylio'n greidd yn hytrach na'i godi'n galed?
"  Non, merci. Dédier, comme tous il le font,","Nid, diolch."
  Des vers aux financiers ? se changer en bouffon,Gwrthodwyd y ffincwyr i fod yn ffug
