Scène 2.VIII.,Scenen 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, de yngre, der sad til højre og venstre"
et auxquels on sert à boire et à manger.,og som bliver serveret til at spise og drikke.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (hvor han med en goguenær stemme hilste på dem der gik uden at våge at hilse på ham):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine herrer, mine her"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sorg, nedover, arme til himlen):"
  Ah ! dans quels jolis draps.,"Åh, hvor er det fine tøj."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Du skal nok grynke.
LE BRET:,- Det er ikke det.
"  Enfin, tu conviendras",Endelig er du i orden.
"  Qu'assassiner toujours la chance passagère,","At dræbe altid forbigående held,"
  Devient exagéré.,Det bliver for meget.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Ja, jeg overdriver."
LE BRET (triomphant):,BRET (tromsmand):
  Ah !,"Åh, det er det."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men for princippet, og for eksempel også,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Jeg synes, det er godt at overdrive sådan."
LE BRET:,- Det er ikke det.
"  Si tu laissais un peu ton âme mousquetaire,","Hvis du bare ville lade din musketiske sjæl være lidt,"
  La fortune et la gloire. . .,Rigdom og ære. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Hvad skulle man gøre?
"  Chercher un protecteur puissant, prendre un patron,","At finde en stærk beskytter, at tage en chef,"
  Et comme un lierre obscur qui circonvient un tronc,"Som en mørk lys, der omgiver en træl"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Og han gør sig til en vogter, som sletter hans hud,"
  Grimper par ruse au lieu de s'élever par force ?,At klade med røg i stedet for at stige med magt?
"  Non, merci. Dédier, comme tous il le font,","- Nej, tak, men som alle andre,"
  Des vers aux financiers ? se changer en bouffon,"Fra orme til finansfolk, til at blive en idiot."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","I den skæve håb at se, på en ministers læber,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","At få et smil, som ikke er grimt?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",- Må jeg spise frø hver dag?
  Avoir un ventre usé par la marche ? une peau,At have en belly slidt af at gå?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Hvem bliver hurtigst beskidt i knæerne?
  Exécuter des tours de souplesse dorsale ?. . .,At køre rygflexibelturver? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nej, tak, men med en hånd smigter jeg en ged i halsen."
"  Cependant que, de l'autre, on arrose le chou,","Men hvis man på den anden side vander kaffen,"
"  Et, donneur de séné par désir de rhubarbe,","og som giver sine næse i lyst til at have barber,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",At have sin røgelse i et eller andet skæg?
"  Non, merci ! Se pousser de giron en giron,","- Nej, tak, det er ikke så godt."
"  Devenir un petit grand homme dans un rond,","At blive en lille stor mand i en runde,"
"  Et naviguer, avec des madrigaux pour rames,","og sejle med madrigaler til rammene,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Og i hans sæder, der er gamle damers sukker?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nej, tak, hos den rigtige sercy-redaktør."
"  Faire éditer ses vers en payant ? Non, merci !",- Skal han få sine ord til at blive redigeret?
  S'aller faire nommer pape par les conciles,At blive udnævnt til pave ved konciller
  Que dans des cabarets tiennent des imbéciles ?,At der er idioter i kabiner?
"  Non, merci ! Travailler à se construire un nom",Arbejd på at skabe et navn.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- På en sonnet, i stedet for at lave andre?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Kun på hvalp kan man finde talent?
"  Être terrorisé par de vagues gazettes,","At blive skræmt af bølgende aviser,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Og altid tænker: ""Åh, hvis jeg er"
  Dans les petits papiers du Mercure François ?. . .,I de små papirer fra Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","- At regne, være bange, være blæve."
"  Aimer mieux faire une visite qu'un poème,",At elske at besøge bedre end at læse et digt.
"  Rédiger des placets, se faire présenter ?","At skrive plakater, at blive introduceret?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nej, tak, tak, tak, men..."
"  Rêver, rire, passer, être seul, être libre,","Drømme, grine, gå forbi, være alene, være fri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","At have et øje, der ser godt, en stemme, der ryster,"
"  Mettre, quand il vous plaît, son feutre de travers,","Når du vil, kan du sætte din følelse af at være i vejen,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","For et ja, for et nej, slås, - eller gøre en orm!"
"  Travailler sans souci de gloire ou de fortune,",Arbejd uden at være optaget af ære eller rigdom
"  A tel voyage, auquel on pense, dans la lune !","En rejse, man tænker på, til månen."
"  N'écrire jamais rien qui de soi ne sortît,","Man skal aldrig skrive noget, der ikke kommer af sig selv."
"  Et modeste d'ailleurs, se dire: mon petit,","Og beskedent, at sige: ""Min lille,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Eller tilfreds med blomster, frugter, selv blade,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Hvis du har det i din egen have!
"  Puis, s'il advient d'un peu triompher, par hasard,","Så hvis han ved et lille stykke tid triumferer,"
"  Ne pas être obligé d'en rien rendre à César,","at jeg ikke må betale noget til kejseren,"
"  Vis-à-vis de soi-même en garder le mérite,","For at bevare sin egen fortjeneste,"
"  Bref, dédaignant d'être le lierre parasite,","Kort sagt, foragter jeg at være den parasitiske lyre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Selv om vi ikke er æk eller tømmer,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ikke så højt, måske, men alene!"
LE BRET:,- Det er ikke det.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Det kan være alene, men ikke mod alle."
  As-tu donc contracté la manie effroyable,Så har du fået den skræmmende mani?
"  De te faire toujours, partout, des ennemis ?",At gøre fjender overalt?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Jeg kan ikke se jer blive venner.
"  Et rire à ces amis dont vous avez des foules,","Og grine af de venner, som du har masser af,"
  D'une bouche empruntée au derrière des poules !,Med en mund lånt bag kyllene!
"  J'aime raréfier sur mes pas les saluts,","Jeg elsker at sige hilsen på mine fødder,"
  Et m'écrie avec joie: un ennemi de plus !,Og råb mig med glæde: En fjende mere!
LE BRET:,- Det er ikke det.
  Quelle aberration !,Sikke en aberration.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","- Ja, det er min vice."
