Scène 2.VIII.,Schauplatz 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, die Jüngeren, die sich rechts und links setzten"
et auxquels on sert à boire et à manger.,und ihnen zu essen und zu trinken gegeben wird.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (mit einer scharfen Luft begrüßt diejenigen, die nicht wagen, ihn zu begrüßen):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren, meine Herren!"
"LE BRET (désolé, redescendant, les bras au ciel):","Der BRET (sorry, zurück, Arme in den Himmel):"
  Ah ! dans quels jolis draps.,Was für ein schönes Bett.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Du wirst grünen.
LE BRET:,Der Brett:
"  Enfin, tu conviendras",Endlich wirst du es tun.
"  Qu'assassiner toujours la chance passagère,","Dass man immer das Vergängliche ermordet,"
  Devient exagéré.,Das ist übertrieben.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ich übertreib's.
LE BRET (triomphant):,Der Sieger:
  Ah !,- Was ist das?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Aber für den Grundsatz, und für das Beispiel auch,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Ich finde es gut, so zu übertreiben."
LE BRET:,Der Brett:
"  Si tu laissais un peu ton âme mousquetaire,","Wenn du ein wenig deine Musket-Seele lassen würdest,"
  La fortune et la gloire. . .,Reichtum und Ruhm. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Und was sollte man tun?
"  Chercher un protecteur puissant, prendre un patron,","Ein starker Beschützer suchen, einen Vorgesetzten nehmen,"
  Et comme un lierre obscur qui circonvient un tronc,"Wie ein dunkles Schleim, das einen Stamm umschließt"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Und er macht sich ein Hüter, indem er seine Haut lickt,"
  Grimper par ruse au lieu de s'élever par force ?,"Ein Trick, anstatt sich zu erhebt?"
