Scène 2.VIII.,Thiet ke 2VIII
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mïth kor, cï nyuc lɔŋ cuëc ku lɔŋ cam"
et auxquels on sert à boire et à manger.,Ku keek aa ye gäm miëth ku dek.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ye muɔ̈ɔ̈th kɔc bɔ̈ aɣeer ke cïn riɔ̈ɔ̈c bïk muɔ̈ɔ̈th):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bänydiɛ̈, Bänydiɛ̈, Bänydiɛ̈, Bänydiɛ̈"
"LE BRET (désolé, redescendant, les bras au ciel):",Ku keek aake cï röt jɔt nhial ku yekë röt jɔt.
  Ah ! dans quels jolis draps.,Ye kek alɛ̈th path cït käkkä.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh ! Yïn abï dɛ̈ɛ̈p !
LE BRET:,Aye raan cɔl:
"  Enfin, tu conviendras",Ku ëmën yïn abï rot lëu.
"  Qu'assassiner toujours la chance passagère,","Ku ë yic, yïn abï tɛ̈m awuɔ̈c ë path."
  Devient exagéré.,Ku kënë acï rot looi apɛi.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Aye, aye, aye, aye, aye, aye."
LE BRET (triomphant):,Ku keek aa jam tɛ̈ cï kek ye kuɔ̈ɔ̈t thïn.
  Ah !,Ah ! Ah ! Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ku rin ë wɛ̈t kënë, ku rin ë wɛ̈t kënë aya,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ɣɛn acï bɛ̈n gam lɔn bï yen këpath looi tɛ̈n tɛ̈n ye kek luui thïn.
LE BRET:,Aye raan cɔl:
"  Si tu laissais un peu ton âme mousquetaire,","Na päl yï puɔ̈l yïpuɔ̈u bï ciɛ̈n këpuɔth bï looi,"
  La fortune et la gloire. . .,Ku yökkë riɛldït apɛi ku riɛldït apɛi. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ku yeŋö bï looi?
"  Chercher un protecteur puissant, prendre un patron,","Ku wïc raan bï kɔc kony, ku wïc raan bï ke kony."
  Et comme un lierre obscur qui circonvient un tronc,"Ku cïmën ye tiim la kuur thiäŋ yic,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ku jɔl raan ye kony bï ye kony, ku jɔl ye tɛ̈m awuɔ̈c."
  Grimper par ruse au lieu de s'élever par force ?,Ye rot looi këdë bï yïn rot jal wiɛɛt nhial?
"  Non, merci. Dédier, comme tous il le font,","Acie tɛ̈de, yïn alui, cïmën ye kɔc kɔ̈k luui thïn,"
  Des vers aux financiers ? se changer en bouffon,Wäär cï kek röt waar bïk ya kɔc cï wëëu waar bïk ya kɔc cï käkken rɛc
