Scène 2.VIII.,O ye kooba ye.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, kanbelew ni sunguruw, minw sigira kinibolo fɛ ani numanbolo fɛ"
et auxquels on sert à boire et à manger.,"O kɔ, o ka o ta domuni kɛ, ka o ta ji min."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (min be mɔgɔ minw kunbɛnna, a be olu fo ni kaanba ye):"
  Messieurs. . .Messieurs. . .Messieurs. . .,Aw ka ne wele ka na ne fɛ.
"LE BRET (désolé, redescendant, les bras au ciel):","A ka mɔgɔɲumanw ye ne ye, ne ka mɔgɔɲumanw ye."
  Ah ! dans quels jolis draps.,O ye fani cɛɲumanba ye dɛ!
CYRANO:,Sirano:
  Oh ! toi ! tu vas grogner !,"E kɔni, i bena ŋuna!"
LE BRET:,O kɔrɔ ko:
"  Enfin, tu conviendras","A laban, i bena sɔn"
"  Qu'assassiner toujours la chance passagère,","O tuma na, mɔgɔ si tɛ se ka mɔgɔ si faga."
  Devient exagéré.,O be kɛ kojugu ye.
CYRANO:,Sirano:
"  Hé bien oui, j'exagère !",O kɔrɔ ko n' be tɛmɛ a daan kan.
LE BRET (triomphant):,"O ye ""Fanga"" ye."
  Ah !,O ye tiɲɛ ye.
CYRANO:,Sirano:
"  Mais pour le principe, et pour l'exemple aussi,","Nka, a ka ɲi ka kɛ cogo min na, o kɔrɔ ye ko:"
  Je trouve qu'il est bon d'exagérer ainsi.,N' b'a miiri ko a ka ɲi ka tɛmɛ o kan.
LE BRET:,O kɔrɔ ko:
"  Si tu laissais un peu ton âme mousquetaire,","Ni i tun ka i nin to a kelen na,"
  La fortune et la gloire. . .,Nafolotigiya ni tɔgɔba . . .
CYRANO:,Sirano:
  Et que faudrait-il faire ?,"O kama, an ka ɲi ka mun lo kɛ?"
"  Chercher un protecteur puissant, prendre un patron,","I bɛ mɔgɔ barakaman dɔ ɲini, ka mɔgɔ dɔ ta ka o kɛ i ta kuntigi ye,"
  Et comme un lierre obscur qui circonvient un tronc,I ko jese finman min bɛ jese dɔ lamini
"  Et s'en fait un tuteur en lui léchant l'écorce,","A bɛ o kɛ a kɔrɔsibaga ye, ka o ta gbolo nɛmu."
  Grimper par ruse au lieu de s'élever par force ?,I be yɛlɛ ni fɛɛrɛ ye ka yɛlɛ ni fanga ye wa?
"  Non, merci. Dédier, comme tous il le font,","Ayi, n'i b'a fɛ k'i yɛrɛ di Ala ma, i n'a fɔ mɔgɔ tɔw."
  Des vers aux financiers ? se changer en bouffon,K'a ta mɔgɔkolonw ma ka taga wari lalɔbagaw ma ka kɛ mɔgɔkolonw ye
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ne jigi tun b'a kan ko ne bɛna a ye, ka kaɲa ni jamana ɲamɔgɔ dɔ ta kuma ye,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","O kɔrɔ ko ka yɛlɛmisɛn dɔ sɔrɔ, o min tɛ mɔgɔjugu ye."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",N'a sɔrɔ i be dumuni kɛ ni torosun ye loon o loon.
  Avoir un ventre usé par la marche ? une peau,Ka to ka to ka tagama ka to ka fari fari faga
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Mɔgɔ min be nɔgɔ joona, a be nɔgɔ a kun na."
  Exécuter des tours de souplesse dorsale ?. . .,Yala i be se ka nɛgɛsow lɔ ka ɲɛ wa? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ayi, ne b'i fo, i bolo kelen le ye di i ka bakɔrɔnin ma"
"  Cependant que, de l'autre, on arrose le chou,","Nka ni mɔgɔ dɔ ka bɔnbɔnan dɔ bɔn,"
"  Et, donneur de séné par désir de rhubarbe,",A bɛ sin di a ma ni a b'a fɛ ka bonbosi kɛ.
"  Avoir son encensoir, toujours, dans quelque barbe ?",A ka wusulan tun be don a kuun na tuma bɛɛ wa?
"  Non, merci ! Se pousser de giron en giron,",N'a sɔrɔ a tun be se ka kɛ ko a be to ka taga a yɛrɛ kɔrɔ.
"  Devenir un petit grand homme dans un rond,","Ka kɛ mɔgɔbaba ye i ko mɔgɔba,"
