Scène 2.VIII.,འབྱུང་རིམ་༢༨
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, ཆུང་ཀུ་ཚུ་ ཁོང་རང་གཡས་དང་གཡོན་ལུ་སྡོད་"
et auxquels on sert à boire et à manger.,དེ་ལས་ཁོང་གིས་གསོལཝ་དང་འཐུང་ཆུ་དེ་ཚུ་བྱིན་ནུག
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,སི་རི་ནཱོ་གིས་ (ཁོ་མ་བྱོན་པར་ ཕྱི་ཁར་ཐོན་འགྱོ་མི་ཚུ་ལུ་ གདོང་ལེན་སྦོམ་སྦེ་བཏོན་ཏེ་ སྐུ་གཟུགས་བཟང་པོ་ཟེར་སླབ་ནི་)
  Messieurs. . .Messieurs. . .Messieurs. . .,མི་དབང་མཆོག་ལགས་ མི་དབང་མཆོག་ལགས་ ནཱ་ལུ་གཟིགས་ལགས་
"LE BRET (désolé, redescendant, les bras au ciel):",གདོང་ཁེབས་འདི་གུ་ཕྱག་བཙུགས་ཏེ་ ཡར་གནམ་ཁ་ལུ་མར་འབབ་འགྱོ་སྟེ་
  Ah ! dans quels jolis draps.,ཨ་ཧ! འདི་བཟུམ་གྱི་རས་ལེགས་ཤོམ་ཅིག་ཨིན་
CYRANO:,ཀི་ར་ནོ:
  Oh ! toi ! tu vas grogner !,ཨ་ཁའི་ ཁྱོད་འདི་སྐད་ཅོར་བརྐྱབ་ནི་འདུག་
LE BRET:,རྒྱུགས་སྐུད་:
"  Enfin, tu conviendras",མཐའན་མཇུག་ལུ་ ཁྱོད་ཀྱིས་འབད་ཚུགས་ནི་
"  Qu'assassiner toujours la chance passagère,",ཨ་རྟག་རང་རང་ བརྟག་དཔྱད་འབད་བའི་སྐབས་ དགའ་ཚོར་གྱི་དོན་ལུ་ བརྩོན་ཤུགས་བསྐྱེད་ནི་དེ་ ལེགས་ཤོམ་ཅིག་ཨིན་མས།
  Devient exagéré.,འདི་ཡང་ མཚམས་ཚོད་མ་ཤེསཔ་ཅིག་ཨིན།
CYRANO:,ཀི་ར་ནོ:
"  Hé bien oui, j'exagère !",དེ་སྦེ་ཨིན་པ་ཅིན་ ང་ཐད་རི་བ་རི་རང་ ང་དྲག་ཤོས་ཅིག་ཨིན།
LE BRET (triomphant):,ཨེགསི་ (རྒྱལ་ཁ་ཐོབ་མི་):
  Ah !,ཨ་ཧ!
CYRANO:,ཀི་ར་ནོ:
"  Mais pour le principe, et pour l'exemple aussi,",དེ་འབདཝ་ད་ གཞི་རྟེན་དང་ དཔེ་སྟོན་གྱི་ཐད་ལུ་འབད་བ་ཅིན་
  Je trouve qu'il est bon d'exagérer ainsi.,འདི་བཟུམ་གྱི་ཚད་ལས་འགལ་ནི་དེ་ལེགས་ཤོམ་ཅིག་ཨིན་ཟེར་ ང་གིས་མནོ་བསམ་གཏངམ་ཨིན།
LE BRET:,རྒྱུགས་སྐུད་:
"  Si tu laissais un peu ton âme mousquetaire,",ད་ཁྱེད་ཀྱིས་རང་གི་སེམས་ཉིད་འདི་ ཉམས་ཆུང་སྦེ་བཞག་པ་ཅིན་
  La fortune et la gloire. . .,མི་ཕྱུགཔ་དང་སྙན་གྲགས་ཅན་ . . .
CYRANO:,ཀི་ར་ནོ:
  Et que faudrait-il faire ?,འདི་ག་དེ་སྦེ་འབད་ནི་སྨོ་
"  Chercher un protecteur puissant, prendre un patron,",མི་སྟོབས་ཅན་ཅིག་འཚོལ་ནི་ འགོ་དཔོན་ཅིག་འཚོལ་ནི་
  Et comme un lierre obscur qui circonvient un tronc,ཤིང་གི་རྩ་བ་ལུ་སྦ་བཞག་མི་ཐལཝ་བཟུམ་སྦེ་
"  Et s'en fait un tuteur en lui léchant l'écorce,",དེ་ལས་ཁོ་གིས་ཤིང་གི་འདབ་མ་དེ་ ལྕངམ་གིས་བཟོཝ་ཨིན།
  Grimper par ruse au lieu de s'élever par force ?,ཁྱོད་ཀྱིས་ རུ་སྟོབས་ཀྱི་ཐོག་ལས་ ཡར་མ་འཕུར་བའི་ཚབ་ལུ་ རུ་སྟོབས་ཀྱི་ཐོག་ལས་ ཡར་འཛེགས་ནི་དེ་ག་ཅི་ཨིན་ན་?
"  Non, merci. Dédier, comme tous il le font,",སྦྱིན་བདག་འདི་ ཁོང་ག་ར་བཟུམ་སྦེ་ཨིན་
  Des vers aux financiers ? se changer en bouffon,དངུལ་རྩིས་བློན་པོ་ལུ་ གཟུགས་ཀྱི་རྨ་ཆགས་ལས་ གཟུགས་ཀྱི་རྨ་ཆགས་ལུ་འགྱུར་
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",བློན་ཆེན་གྱིས་གསུངས་དོཝ་བཟུམ་སྦེ་ ང་ཡང་ མི་ཚེ་འདི་ནང་ལུ་བལྟ་ནི་གི་རེ་བ་བསྐྱེད་དེ་
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ཁྱོད་ཀྱིས་ བལྟ་བ་ཅིན་ ནམ་ཡང་མ་མཐོང་མི་ བལྟ་བ་ཅིན་ ནམ་ཡང་མ་མཐོང་མི་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བལྟ་བ་ཅིན་ བ
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",མེན་ ཐུགས་རྗེ་ཆེ་བས་ ཁྱོད་ཀྱིས་ཉིནམ་རེ་འཆར་ གཟའ་ཕག་ཟ་ནི་དེ་ ག་དེ་སྦེ་འབད་ནི་སྨོ་
  Avoir un ventre usé par la marche ? une peau,གཟུགས་ཀྱི་གཟུགས་དེ་ལམ་འགྱོ་སྟེ་ ན་ཟུག་འགྱོ་ནི་
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ཤུལ་ལས་ ག་མགྱོགས་པར་འོང་ནི་སྨོ་ ཤུལ་ལས་ ག་མགྱོགས་མགྱོགས་པར་འོང་ནི་སྨོ་ ཤུལ་ལས་ ག་མགྱོགས་མགྱོགས་པར་འོང་ནི་སྨོ་
  Exécuter des tours de souplesse dorsale ?. . .,རྒྱབ་སྐྱོར་གྱི་འཁོར་ལོ་བཏོན་ནི་གི་ལཱ་ཚུ་ འབད་ནི་ཨིན་ན་
"  Non, merci. D'une main flatter la chèvre au cou",བྱིན་མ་བཏུབ་པས་ ཁྱོད་ཀྱི་ལག་པ་གཅིག་གིས་ར་ལུ་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་བཀལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་གིས་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་ལགཔ་གཅིག་
"  Cependant que, de l'autre, on arrose le chou,",དེ་འབདཝ་ད་ གཅིག་གིས་གཅིག་ལུ་ ཆུ་གཡུར་གྱི་སྣུམ་ཚུ་བླུག་སྟེ་
"  Et, donneur de séné par désir de rhubarbe,",དེ་ལས་ཁོ་གིས་ཨམ་སྲུ་འདི་ཚུ་ལུ་ ཧམ་འབུ་ནི་གི་འདོད་པ་བསྐྱེད་དེ་ མོ་གི་གཟུགས་ལུ་ཆགས་བཅུག་ནུག
"  Avoir son encensoir, toujours, dans quelque barbe ?",ད་རུང་ཡང་ མོ་གི་སྤོས་ཕོར་འདི་ ཨ་རྟག་རང་ར་ སྐྲ་ནང་བཞག་ཡོདཔ་ཨིན་ན་ཟེར་ སླབ་ནི་ཡོད་མེན་ན།
"  Non, merci ! Se pousser de giron en giron,",འདྲོག་ལམ་འདི་ འདྲོག་ལམ་འདི་ རིམ་པ་སྦེ་འགྱོ་ནི་
"  Devenir un petit grand homme dans un rond,",མི་སྦོམ་ཆུང་ཅིག་སྦེ་ འགྱུར་བ་འདི་ མཐའ་འཁོར་གཅིག་ནང་
"  Et naviguer, avec des madrigaux pour rames,",གྲུ་གཟིངས་ནང་འགྱོ་མི་གྲུ་དེ་ཚུ་ནང་ གྲུ་གཟིངས་ཀྱི་ཆུའི་གཟིངས་ཀོ་མ་ཚུ་ཡོད་མི་ཚུ་ཡང་ཡོད་
  Et dans ses voiles des soupirs de vieilles dames ?,དེ་ལས་ ཁོ་གི་གདོང་ཁེབས་ནང་ ཨམ་སྲུ་རྒས་ཤོས་ཚུ་གི་སྔུ་སྐད་ཡང་ཡོདཔ་ཨིན་ན་
