Scène 2.VIII.,Σκηνή 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Σιράνο, Λε Μπρετ, τα νεογνά, που καθίστηκαν δεξιά και αριστερά"
et auxquels on sert à boire et à manger.,Και σερβίρονται για να τρώνε και να πίνουν.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ΚΥΡΑΝΟ (αγαπούσε με γοργόφιλους λόγους όσους βγαίνουν χωρίς να τολμήσουν να τον χαιρετήσουν):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι, κύριοι"
"LE BRET (désolé, redescendant, les bras au ciel):","Ο ΒΡΕΤ (καθλιωμένος, κατεβαίνει, τα χέρια στον ουρανό):"
  Ah ! dans quels jolis draps.,Τι όμορφα σεντόνια.
CYRANO:,ΚΥΡΑΝΟ:
  Oh ! toi ! tu vas grogner !,Θα γκρινιάσεις!
LE BRET:,Ο Βρετανός:
"  Enfin, tu conviendras","Τελικά, θα συμφωνήσεις."
"  Qu'assassiner toujours la chance passagère,","Ότι πάντα να σκοτώνεις την περαστική τύχη,"
  Devient exagéré.,- Απεχαιρετικά.
CYRANO:,ΚΥΡΑΝΟ:
"  Hé bien oui, j'exagère !","Ναι, υπερβάλλω."
LE BRET (triomphant):,Ο ΠΑΡΟΣΟΣ:
  Ah !,- Αχ! - Τι;
CYRANO:,ΚΥΡΑΝΟ:
"  Mais pour le principe, et pour l'exemple aussi,","Αλλά για την αρχή, και για το παράδειγμα επίσης,"
  Je trouve qu'il est bon d'exagérer ainsi.,Νομίζω ότι είναι καλό να υπερβάλλεις έτσι.
LE BRET:,Ο Βρετανός:
"  Si tu laissais un peu ton âme mousquetaire,","Αν άφησες λίγο την ψυχή σου να είναι μούσκετ,"
  La fortune et la gloire. . .,Ο πλούτος και η δόξα. . . .
CYRANO:,ΚΥΡΑΝΟ:
  Et que faudrait-il faire ?,Και τι θα έπρεπε να γίνει;
"  Chercher un protecteur puissant, prendre un patron,","Να βρείτε έναν ισχυρό προστατευτή, να πάρετε έναν αφεντικό,"
  Et comme un lierre obscur qui circonvient un tronc,Και σαν ένα σκοτεινό λυκό που περιβάλλει ένα κορμό
"  Et s'en fait un tuteur en lui léchant l'écorce,","Και το κάνει φρουρό, γλείφοντας το δέρμα του,"
  Grimper par ruse au lieu de s'élever par force ?,Να σκαρφαλώσεις με κόλπο αντί να σκαρφαλώσεις με δύναμη;
"  Non, merci. Dédier, comme tous il le font,","Όχι, ευχαριστώ."
  Des vers aux financiers ? se changer en bouffon,"Από τα σκουλήκια σε τους χρηματοπιστωτικούς, να μετατραπούν σε χάλια."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Με την βρομιά να δω, στα χείλη ενός υπουργού,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Να γεννηθεί ένα χαμόγελο, τέλος πάντων, που δεν είναι αθώο;"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Όχι, ευχαριστώ, αλλά μεσημεριανό με ένα σκατό κάθε μέρα;"
  Avoir un ventre usé par la marche ? une peau,Να έχεις μια κοιλιά που να φθείρεται με το περπάτημα;
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ποιος πιο γρήγορα, από το γόνατό του, γίνεται βρώμικος;"
  Exécuter des tours de souplesse dorsale ?. . .,Να εκτελέσετε στροφές ευελιξίας στην πλάτη; . . .
"  Non, merci. D'une main flatter la chèvre au cou","Όχι, ευχαριστώ, με ένα χέρι κολακεύει το κατσίκα στο λαιμό"
"  Cependant que, de l'autre, on arrose le chou,","Αν όμως, από το άλλο, χυθεί το καλαμπόκι,"
"  Et, donneur de séné par désir de rhubarbe,","Και που δίνει μαστούρα με την επιθυμία του χαστού,"
