Scène 2.VIII.,Scene two-eighth.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, the younger ones, who sat down on the right and left"
et auxquels on sert à boire et à manger.,And they're served to drink and eat.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (greeting with a goguinard air those who go out without daring to say hello):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Gentlemen, gentlemen, gentlemen, gentlemen, and all of you."
"LE BRET (désolé, redescendant, les bras au ciel):","The Breat (sorry, descending, arms up to heaven):"
  Ah ! dans quels jolis draps.,"Oh, what lovely sheets."
CYRANO:,CYRANO: What is it ?
  Oh ! toi ! tu vas grogner !,"Oh , you , you 're gonna grow up !"
LE BRET:,The BREET:
"  Enfin, tu conviendras",You'll finally be fine.
"  Qu'assassiner toujours la chance passagère,","That you always kill the passing luck,"
  Devient exagéré.,It's getting over the top.
CYRANO:,CYRANO: What is it ?
"  Hé bien oui, j'exagère !","Well, yes, I'm exaggerating!"
LE BRET (triomphant):,The WINNER:
  Ah !,"Oh , my God !"
CYRANO:,CYRANO: What is it ?
"  Mais pour le principe, et pour l'exemple aussi,","But for the principle, and for the example too,"
  Je trouve qu'il est bon d'exagérer ainsi.,I think it's good to exaggerate like that.
LE BRET:,The BREET:
"  Si tu laissais un peu ton âme mousquetaire,","If you'd just let your musket soul go a little bit,"
  La fortune et la gloire. . .,Wealth and glory. . . .
CYRANO:,CYRANO: What is it ?
  Et que faudrait-il faire ?,And what would you do ?
"  Chercher un protecteur puissant, prendre un patron,","Looking for a strong protector, taking a boss,"
  Et comme un lierre obscur qui circonvient un tronc,And like a dark lily that surrounds a trunk
"  Et s'en fait un tuteur en lui léchant l'écorce,","And he makes himself a guardian, licking its bark,"
  Grimper par ruse au lieu de s'élever par force ?,You want to climb by trickery instead of by force?
"  Non, merci. Dédier, comme tous il le font,","Dedicating, like everyone else does,"
  Des vers aux financiers ? se changer en bouffon,From worms to financials to being a buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In the vile hope of seeing, on the lips of a minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","To give birth to a smile, after all, which is not sinister?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, thank you, lunch every day with a toad?"
  Avoir un ventre usé par la marche ? une peau,Have a stomach worn by walking ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Who gets dirtier than the knees?
  Exécuter des tours de souplesse dorsale ?. . .,Do you perform back-flexing tours? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, thank you, one hand flattering the goat to the neck"
"  Cependant que, de l'autre, on arrose le chou,","But if you water the other side of the cabbage,"
"  Et, donneur de séné par désir de rhubarbe,","And who gives a breast for the sake of a beard,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Have his incense always in some beard?
"  Non, merci ! Se pousser de giron en giron,","No, thanks, just pushing it back and forth."
"  Devenir un petit grand homme dans un rond,","Become a big little man in a circle,"
"  Et naviguer, avec des madrigaux pour rames,","And sail with the rigs of the rails,"
  Et dans ses voiles des soupirs de vieilles dames ?,And in his veils the sighs of old ladies?
"  Non, merci ! Chez le bon éditeur de Sercy","No, thanks, to the right Sercy publisher."
"  Faire éditer ses vers en payant ? Non, merci !",- You want to get her to edit her verses for a fee?
  S'aller faire nommer pape par les conciles,Going to be Pope by the Councils
  Que dans des cabarets tiennent des imbéciles ?,"What, you think cabarets have fools?"
"  Non, merci ! Travailler à se construire un nom","No, thank you, working on making a name for yourself."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",On a sonnet instead of making other ones?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,You're only finding talent in the mazes?
"  Être terrorisé par de vagues gazettes,","Being terrorized by the wave of newspapers,"
"  Et se dire sans cesse: Oh, pourvu que je sois","And I keep saying, ""Oh, if I were"
  Dans les petits papiers du Mercure François ?. . .,In the little papers of Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, thank you, calculate, be afraid, be blunt,"
"  Aimer mieux faire une visite qu'un poème,",I'd rather have a visit than a poem.
"  Rédiger des placets, se faire présenter ?","Write plaques, get introduced?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, thank you, thank you, thank you, but sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing, sing,"
"  Rêver, rire, passer, être seul, être libre,","Dreaming, laughing, passing by, being alone, being free,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Have an eye that sees well, a voice that vibrates,"
"  Mettre, quand il vous plaît, son feutre de travers,","Put, whenever you like, her feeling of wrong,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","For a yes, for a no, fight, or make a worm!"
"  Travailler sans souci de gloire ou de fortune,","Work without a desire for fame or fortune,"
"  A tel voyage, auquel on pense, dans la lune !","To such a trip, to the moon, as you think!"
"  N'écrire jamais rien qui de soi ne sortît,","Never write anything that doesn't come out of you,"
"  Et modeste d'ailleurs, se dire: mon petit,","And modestly, you say to yourself, ""My little one,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Be content with flowers, fruits, even leaves,"
  Si c'est dans ton jardin à toi que tu les cueilles !,If you're picking them in your own garden!
"  Puis, s'il advient d'un peu triompher, par hasard,","Then, if he succeeds a little, by chance,"
"  Ne pas être obligé d'en rien rendre à César,","""I am not obligated to pay anything to Caesar."
"  Vis-à-vis de soi-même en garder le mérite,","To keep the merit of it to yourself,"
"  Bref, dédaignant d'être le lierre parasite,","In short, disdainful of being the parasite lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Even when we're not the oak tree or the oak tree,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Not too high, maybe, but alone!"
LE BRET:,The BREET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","I'm not alone, but I'm not against everyone."
  As-tu donc contracté la manie effroyable,So you've got the terrible mania
"  De te faire toujours, partout, des ennemis ?",To make enemies of yourself everywhere?
CYRANO:,CYRANO: What is it ?
"  A force de vous voir vous faire des amis,","Seeing you make friends,"
"  Et rire à ces amis dont vous avez des foules,","And laugh at those friends you have in crowds,"
  D'une bouche empruntée au derrière des poules !,With a mouth borrowed from the back of the chickens!
"  J'aime raréfier sur mes pas les saluts,",I like to make a little noise on my feet.
  Et m'écrie avec joie: un ennemi de plus !,And cry out to me with joy: Another enemy!
LE BRET:,The BREET:
  Quelle aberration !,What an aberration !
CYRANO:,CYRANO: What is it ?
"  Eh bien, oui, c'est mon vice.","Well, yes, that's my vice."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,I like to be hated.
"  Mon cher, si tu savais comme l'on marche mieux","My dear, if you knew how to walk better"
  Sous la pistolétade excitante des yeux !,Under the exciting gun state of his eyes!
"  Comme, sur les pourpoints, font d'amusantes taches","Like, on the points, they make fun spots."
