Scène 2.VIII.,Sceno 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, la junaj, kiuj sidis dekstre kaj maldekstre"
et auxquels on sert à boire et à manger.,Kaj oni servas ilin por trinki kaj manĝi.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (salutonante kun goguenara aero tiujn, kiuj eliras sen kuraĝi saluti lin):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinjoroj, gesinj"
"LE BRET (désolé, redescendant, les bras au ciel):","La breto (malgaja, malsupren, brakoj al la ĉielo):"
  Ah ! dans quels jolis draps.,Ho! en kiaj belaj teksaĵoj.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,"Ho, vi! Vi grunsos!"
LE BRET:,La bruto:
"  Enfin, tu conviendras",Fine vi estos en ordo
"  Qu'assassiner toujours la chance passagère,","Ke ĉiam mortigu la pasantan bonŝancon,"
  Devient exagéré.,Tio estas troigita.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","Nu, jes, mi troigas!"
LE BRET (triomphant):,La venkinto:
  Ah !,"Ho, ĉu?"
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Sed por la principo, kaj ankaŭ por la ekzemplo,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Mi opinias, ke estas bone tiel troigi."
LE BRET:,La bruto:
"  Si tu laissais un peu ton âme mousquetaire,","Se vi lasus vian animon iomete musketi,"
  La fortune et la gloire. . .,Riĉaĵo kaj gloro. . . .
CYRANO:,CIRANO:
