Scène 2.VIII.,Vaatlus 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, nooremad, kes istuvad paremal ja vasakul"
et auxquels on sert à boire et à manger.,Ja neid teenitakse sööma ja jooma.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (tõstab ülestõusmatult ülestõusma neid, kes ei julge teda tervitada):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härrased, härras"
"LE BRET (désolé, redescendant, les bras au ciel):","KÄI (vabandus, tagasi, käed taevas):"
  Ah ! dans quels jolis draps.,Millised ilusad laivad.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Sa hakkad kurkuma!
LE BRET:,- See on tõeline.
"  Enfin, tu conviendras",Lõpuks on sul hea.
"  Qu'assassiner toujours la chance passagère,","Et alati tappa mööduvat õnne,"
  Devient exagéré.,See on liiga suur.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Jah, ma liigutan."
LE BRET (triomphant):,KÕRA (võitleja):
  Ah !,"- Jah, see on nii."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kuid põhimõtteks ja näidiseks,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Ma arvan, et on hea liialdada nii."
LE BRET:,- See on tõeline.
"  Si tu laissais un peu ton âme mousquetaire,","Kui sa saaksid oma musketis vaimu natuke jätta,"
  La fortune et la gloire. . .,Õnne ja rikkus. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ja mida teha?
"  Chercher un protecteur puissant, prendre un patron,","Otsida võimulikku kaitsjat, võtta isand,"
  Et comme un lierre obscur qui circonvient un tronc,"Nagu pimedane liir, mis ümbritses röövi"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ja ta teeb selle eest hoolitsema, neelab selle kalju,"
  Grimper par ruse au lieu de s'élever par force ?,"Kas mäe tõmmine on võltsus, mitte jõupingutused?"
"  Non, merci. Dédier, comme tous il le font,","Ei, tänan, et pühendada, nagu kõik teevad,"
  Des vers aux financiers ? se changer en bouffon,Kas vanemad on ka rahavahestused?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Loodetavasti nähes, ministrite huuletel,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kas sa saad naeratada, kes pole paha?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Kas sa tahad iga päev lõunasöögi teha?
  Avoir un ventre usé par la marche ? une peau,Kas kõndimisega kõht on ära kulunud?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kes põlve asemel kõige kiiremini rippub?
  Exécuter des tours de souplesse dorsale ?. . .,Kas ta suudab käia seljastikku? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ei, tänan, vaid ühe käega, et küünata kitsast kaelale."
"  Cependant que, de l'autre, on arrose le chou,","Kui aga teisest kastakse kaali,"
"  Et, donneur de séné par désir de rhubarbe,","Ja ta annab rhubarbi soovist rinnad,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kas tal on oma põõs ikka kahel?
"  Non, merci ! Se pousser de giron en giron,","Ei, tänan, tõmbame ringi."
"  Devenir un petit grand homme dans un rond,","Sa oled väike suur mees, kes on ringi peal."
"  Et naviguer, avec des madrigaux pour rames,","Ja purjetada, rammide madrogeid,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ja tema veedil on vanade naiste hooletused?
"  Non, merci ! Chez le bon éditeur de Sercy","Ei, tänan, Sercy's õiges raamatutöötajal."
"  Faire éditer ses vers en payant ? Non, merci !","Kas maksma, et tema verme välja kirjutatakse?"
  S'aller faire nommer pape par les conciles,Papeaks nimetada koosolekutel
  Que dans des cabarets tiennent des imbéciles ?,"Kas sa ei tea, et sa oled mingi idioot?"
"  Non, merci ! Travailler à se construire un nom","Ei, tänan, töötan oma nime ehitamiseks."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ühe sonneeli asemel, et teha teisi?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Kas talendi leiate ainult küünaste juures?
"  Être terrorisé par de vagues gazettes,","Olles terroriseeritud ajalehtede poolt,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ja ma mõtlen pidevalt: ""Oh, kui ma olen"
  Dans les petits papiers du Mercure François ?. . .,"""Merkur Francisuse väikestele paberidele""?"
"  Non, merci ! Calculer, avoir peur, être blême,","Arve, hirm, pettus,"
"  Aimer mieux faire une visite qu'un poème,",Kas ma armastan rohkem külastust kui luuletust?
"  Rédiger des placets, se faire présenter ?","Kas kirjutada plaatid, ennast tutvustada?"
