Scène 2.VIII.,2.8. eszena.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, gazteak, eskuinera eta ezkerrera eseri zirenak"
et auxquels on sert à boire et à manger.,"Eta zerbitzatzen dituzte, jan eta edaten."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (gogoen airez agurtzen ditu agurtzeko ausartzen ez direnak):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Jaunok, jaunok, jaunok, jaunok,"
"LE BRET (désolé, redescendant, les bras au ciel):","BROT (Sentitzen dut, jaisten, besoak zerura):"
  Ah ! dans quels jolis draps.,-Oso jantzi polita.
CYRANO:,- Zer gertatzen da?
  Oh ! toi ! tu vas grogner !,"-O, zu, garrasi egingo duzu."
LE BRET:,-Hau da.
"  Enfin, tu conviendras","Azkenean, ongi etorriko zaizu."
"  Qu'assassiner toujours la chance passagère,",Beti zorionekoak hiltzea.
  Devient exagéré.,Gehiegizkoa da.
CYRANO:,- Zer gertatzen da?
"  Hé bien oui, j'exagère !","Bai, hori gehiegi da."
LE BRET (triomphant):,"""Zuk irabazi""."
  Ah !,"-Ez, ez dut uste."
CYRANO:,- Zer gertatzen da?
"  Mais pour le principe, et pour l'exemple aussi,","Baina printzipioagatik, eta adibideagatik ere bai,"
  Je trouve qu'il est bon d'exagérer ainsi.,Uste dut ona dela horrela gehiegizkoa izatea.
LE BRET:,-Hau da.
"  Si tu laissais un peu ton âme mousquetaire,",Zure arima musukatua utziko bazenu...
  La fortune et la gloire. . .,Aberastasuna eta ospea.
CYRANO:,- Zer gertatzen da?
  Et que faudrait-il faire ?,Eta zer egin behar da?
"  Chercher un protecteur puissant, prendre un patron,","Babesle boteretsu baten bila, nagusi bat hartzeko."
  Et comme un lierre obscur qui circonvient un tronc,"Eta arantza ilun bat bezala, tronua inguratzen duena."
"  Et s'en fait un tuteur en lui léchant l'écorce,","Eta bere zaintzaile bihurtu zen, eta bere azalaren azalak miazkatzen zituen."
  Grimper par ruse au lieu de s'élever par force ?,Trukean igo behar duzu indarrez igo beharrean?
"  Non, merci. Dédier, comme tous il le font,","Ez, eskerrik asko."
  Des vers aux financiers ? se changer en bouffon,Zizareak eta finantza-agenteak...
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Eta espero txarrarekin, ministro baten ahotik,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Irribarre bat sortzea, zoritxarrekoa ez dena?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ez, eskerrik asko, baina bazkaltzeko, egunero, izkira bat?"
  Avoir un ventre usé par la marche ? une peau,Urdaila galtzea ibiltzen zarenean?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Nor da belaunetan baino azkarrago zikintzen dena?
  Exécuter des tours de souplesse dorsale ?. . .,Bizkarreko erraztasunaren biraketa?
"  Non, merci. D'une main flatter la chèvre au cou","Ez, eskerrik asko, esku batekin, ahuntz bat lepoan."
"  Cependant que, de l'autre, on arrose le chou,","Baina bestearen gainean, kafea ureztatzen badugu,"
"  Et, donneur de séné par désir de rhubarbe,","Eta bularra ematen dionari, ilea zurrupatzen dionari,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Beti bere intsentsu-ontzia bizar batean edukitzea?
"  Non, merci ! Se pousser de giron en giron,","Ez, eskerrik asko."
"  Devenir un petit grand homme dans un rond,","Gizon handi bat bihurtu nintzen, txikitan."
"  Et naviguer, avec des madrigaux pour rames,","Eta itsasontziak, itsasontzien ontziak,"
  Et dans ses voiles des soupirs de vieilles dames ?,Eta bere belaunetan emakume zaharren negarrak?
"  Non, merci ! Chez le bon éditeur de Sercy","Ez, eskerrik asko, Sercyko editore onenean."
"  Faire éditer ses vers en payant ? Non, merci !",Ordaindu eta editatu egin behar al dituzu?
  S'aller faire nommer pape par les conciles,Aita Santu izendatu nahi dute.
  Que dans des cabarets tiennent des imbéciles ?,Zer esan nahi duzu?
"  Non, merci ! Travailler à se construire un nom","Ez, eskerrik asko, izen bat eraikitzen saiatzen ari naiz."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Soinu bat, beste batzuk egin ordez?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Talentua belarretan bakarrik aurkitzen da?
"  Être terrorisé par de vagues gazettes,",Egunkariek izutzen naute.
"  Et se dire sans cesse: Oh, pourvu que je sois",Eta etengabe pentsatzen dut:
  Dans les petits papiers du Mercure François ?. . .,Francis Mercurioren paper txikitan?
"  Non, merci ! Calculer, avoir peur, être blême,","Ez, eskerrik asko, kalkulatu, beldurtu, urduri egon."
"  Aimer mieux faire une visite qu'un poème,",Poema bat baino bisita bat egitea hobea da.
"  Rédiger des placets, se faire présenter ?",-Ez. -Ez. -Ez. -Ez.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ez, eskerrik asko, baina kantari,"
"  Rêver, rire, passer, être seul, être libre,","Amets egitea, barre egitea, pasatzea, bakarrik egotea, askatasuna,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Begia ondo ikustea, ahotsa dardarka ikustea,"
"  Mettre, quand il vous plaît, son feutre de travers,","Nahi duzunean, bere sentimendua okerrera eraman,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Baietz esateko edo ezetz esateko, borrokatu edo zizare bat egin!"
"  Travailler sans souci de gloire ou de fortune,","Lan egin, ez ospe edo dirurik bilatu."
"  A tel voyage, auquel on pense, dans la lune !",Ilargira bidaiatzea gogoratzen duzu?
"  N'écrire jamais rien qui de soi ne sortît,",Ez idatzi inoiz zeure buruari buruz ezer.
"  Et modeste d'ailleurs, se dire: mon petit,","Eta bestela, apalki, esan zuen:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",Loreekin edo fruituekin edo hostoekin edo...
