Scène 2.VIII.,Kpɔɖeŋu 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, ɖevi siwo nɔ anyi ɖe ɖusime kple miame"
et auxquels on sert à boire et à manger.,"Eye woɖua nu, eye woɖua nu."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (eɖe gbe na ame siwo do go evɔ womeɖi gbɔ nɛ o):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, eye Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, Aƒetɔwo, eye Aƒetɔwo, Aƒetɔwo, Aƒetɔwo,"
"LE BRET (désolé, redescendant, les bras au ciel):","KPAA (fa konyi, ɖiɖim, asiwo le dziƒo):"
  Ah ! dans quels jolis draps.,"A, avɔ nyui kae nye esi!"
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Àtsi dzodzodzoe!
LE BRET:,NYA SI WÒÐE:
"  Enfin, tu conviendras","Mlɔeba la, àlɔ̃ ɖe edzi"
"  Qu'assassiner toujours la chance passagère,","Ne èle dzɔgbevɔ̃e ƒe ŋɔdzinuwo wum la,"
  Devient exagéré.,Ewɔ nu siwo katã hiã la.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Gake mele nya gblɔm nenema kura o.
LE BRET (triomphant):,KUKPƆXƆ:
  Ah !,Ah! Ðe wòdzɔ dzi nam ŋutɔ?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Gake le gɔmeɖose kple kpɔɖeŋu gome la,"
  Je trouve qu'il est bon d'exagérer ainsi.,Edzɔ dzi nam ŋutɔ be míade nu si míedi be míawɔ la me nenema.
LE BRET:,NYA SI WÒÐE:
"  Si tu laissais un peu ton âme mousquetaire,","Ne ɖe nèɖe asi le wò luʋɔ ŋu vie ko la,"
  La fortune et la gloire. . .,Kesinɔnuwo Kple Ŋutikɔkɔe . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Nu kae wòle be míawɔ?
"  Chercher un protecteur puissant, prendre un patron,","Míedi be míaxɔ mía tɔ dzi kpɔla sesẽ aɖe, míadi míaƒe amegã,"
  Et comme un lierre obscur qui circonvient un tronc,Eye wòazɔ abe dzokeke si ƒo xlã atilɔ aɖe ene
"  Et s'en fait un tuteur en lui léchant l'écorce,",Eye wòna eƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo ƒe lãwo
  Grimper par ruse au lieu de s'élever par force ?,Ðe wòhiã be nàtsɔ mɔ̃ si dzi nàto la aɖo ta teƒe be nàtsɔ ŋusẽ aɖo ta teƒea?
"  Non, merci. Dédier, comme tous il le font,","Menye ɖe wòhiã be nàtsɔ ɖokuiwò anae o, ke boŋ nàtsɔ ɖokuiwò anae."
  Des vers aux financiers ? se changer en bouffon,"Tso dzetugbewo me yi ganyawo gbɔ la, woatrɔ zu ame siwo tsi dzi vevie"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Le mɔkpɔkpɔ dahe be, ne míagblɔ mawunya na subɔvi aɖe la,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ne míagblɔe la, ɖe míedi be míana ame aɖe nanɔ alɔgbɔnu kpɔm?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ðe wòhiã be nàɖu gbe sia gbe nuɖuɖu si me tsi le?
  Avoir un ventre usé par la marche ? une peau,"Ne dɔ meɖi ƒo na wò la,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ame kae doa viviti wu le eƒe klowo teƒe?
  Exécuter des tours de souplesse dorsale ?. . .,Ðe wòate ŋu awɔ afɔɖeɖe siwo ana wòate ŋu anɔ te ɖe nu me nyuie la ŋua? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Mègaɖe asi le eŋu o, ke boŋ ètsɔ wò asi aƒo adegbe na gbɔ̃a."
"  Cependant que, de l'autre, on arrose le chou,","Gake ne ètsɔ eƒe tsi na ame bubu la,"
"  Et, donneur de séné par désir de rhubarbe,",Eye wòna nu siwo wòdi be yeana wòadze la ƒe fuwo le esi wòdi be yeakpɔe ta.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ðe wògblẽa dzudzɔdola la ɖe eƒe dzodzoea me ɣeawokatãɣi?
"  Non, merci ! Se pousser de giron en giron,",Míeɖea wo nɔewo ɖe megbe.
"  Devenir un petit grand homme dans un rond,","Ne ame aɖe va zu gã aɖe le go ɖeka me la,"
"  Et naviguer, avec des madrigaux pour rames,","Eye woazɔ mɔ le tɔdziʋu me kple tɔdziʋu siwo me tɔdziʋuwo le,"
  Et dans ses voiles des soupirs de vieilles dames ?,Eye nyɔnu tsitsiwo ƒe ɣlidodo le eƒe aʋalawo me hã?
"  Non, merci ! Chez le bon éditeur de Sercy","Menye ɖe wòe nyea o, ke boŋ ɖe wòe nyea Sercy ƒe agbalẽŋlɔla si dze."
"  Faire éditer ses vers en payant ? Non, merci !",Ðe wòhiã be nàxe fe atsɔ ada eƒe nuŋlɔɖiwo ɖe agbalẽa me?
  S'aller faire nommer pape par les conciles,Woana Dukɔwo Ƒe Takpekpea Naɖo Wo Papa
  Que dans des cabarets tiennent des imbéciles ?,Ðe ame siwo nye bometsilawo le xɔxɔnuwo me la nɔa anyi?
"  Non, merci ! Travailler à se construire un nom",Mele agbagba dzem be mawɔ ŋkɔ nyui aɖe na ɖokuinye.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ðe wòate ŋu awɔ wo dometɔ ɖeka tsɔ wu be wòagawɔ bubuwoa?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ðe wòhiã be nàkpɔ nu si nye ŋutete le afi ma le afi si wòbɔbɔa mɔ ɖo?
"  Être terrorisé par de vagues gazettes,","Nyadzɔdzɔgbalẽwo ƒe vɔvɔ̃ na ame,"
