Scène 2.VIII.,Scenari 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, yngstu, sum settust til høgru og til vinstru"
et auxquels on sert à boire et à manger.,og tey verða tiltikin at eta og drekka.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (heilsur við einum gróttum anda, sum kemur út uttan at tora at heilsa honum):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sorry, niður, armar til himmalin):"
  Ah ! dans quels jolis draps.,Í hvussu vakrar leikarnar.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Tú, tú skalt grøna!"
LE BRET:,"Heldur tú, at tað er so?"
"  Enfin, tu conviendras",Tú skalt tí eisini gera tað.
"  Qu'assassiner toujours la chance passagère,","at drepa alt tað, sum er løgið,"
  Devient exagéré.,Tað verður ov nógv.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Eg fari at siga tað ov nógv!
LE BRET (triomphant):,"""Tí at tað er ein stórur sigur, sum kemur at enda""."
  Ah !,Áh!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men fyri meginregluna, og fyri fyrimyndina eisini,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Eg haldi, at tað er gott at ov nógv."
LE BRET:,"Heldur tú, at tað er so?"
"  Si tu laissais un peu ton âme mousquetaire,","Um tú kundi givið tær eitt sindur av tínum muskitisku sál,"
  La fortune et la gloire. . .,Ríkdómur og æra. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Hvat skuldi vit gjørt?
"  Chercher un protecteur puissant, prendre un patron,","at leita sær ein sterkan verju, at taka sær ein høvdinga,"
  Et comme un lierre obscur qui circonvient un tronc,"og sum myrkur lyrur, sum umgir trøðuna"
"  Et s'en fait un tuteur en lui léchant l'écorce,","og ger seg til ein avvarðandi, sum sleppur á skinn hansara,"
  Grimper par ruse au lieu de s'élever par force ?,At klaga í staðin fyri at stiga upp?
