Scène 2.VIII.,Na ivakatagedegede 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, na gone, era dabe ena yasana i matau kei na yasana i mawi"
et auxquels on sert à boire et à manger.,ka ra sa dau gunuva ka kania.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (Vakavinavinaka ena yalo ni veivaini o koya e lako yani ni sega ni via kidavaki koya):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, kemuni na turaga, na turaga, kemuni na turaga, na turaga, kemuni na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga, na turaga"
"LE BRET (désolé, redescendant, les bras au ciel):","NA DRAU (Vosoti, lesu sobu, na ligana ki lomalagi):"
  Ah ! dans quels jolis draps.,E totoka dina na isulu ni vale.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"O iko, o na tagi!"
LE BRET:,Na Kaukaua:
"  Enfin, tu conviendras",Sa rauta mada
"  Qu'assassiner toujours la chance passagère,","Me vaka ni dau vakamatei na gauna ni marau,"
  Devient exagéré.,E vaka ga ni o sa rui sivia.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Io, au sa sivia na ka au tukuna."
LE BRET (triomphant):,NA BULA:
  Ah !,E sega ni dua na ka e dredre.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ia me baleta na ivakavuvuli, me vaka tale ga na kena ivakaraitaki,"
  Je trouve qu'il est bon d'exagérer ainsi.,Au nanuma ni vinaka meda vakaliuca na ka e yaco.
LE BRET:,Na Kaukaua:
"  Si tu laissais un peu ton âme mousquetaire,","Kevaka ko na biuta mada vakalailai na yalomu ni sa sega ni mudu,"
  La fortune et la gloire. . .,Na iYau kei na iCavacava . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Na cava me caka?
"  Chercher un protecteur puissant, prendre un patron,","Mo qara e dua na dau taqomaki kaukauwa, mo taura e dua na nomu iliuliu,"
  Et comme un lierre obscur qui circonvient un tronc,Me vaka na i sulu malumu sa vakavolivolita na i tutu ni kau
"  Et s'en fait un tuteur en lui léchant l'écorce,","Sa qai cakava e dua na kena i vakatawa, ka sa livia na kena i leu,"
  Grimper par ruse au lieu de s'élever par force ?,Na cava o nanuma ni na cakava na tamata ena gauna o na cabe kina?
"  Non, merci. Dédier, comme tous il le font,","E sega, vinaka, ia me vaka ga na ka era cakava na tamata,"
  Des vers aux financiers ? se changer en bouffon,Mai na iVakarau ni Vakavulewa me Yaga na iTaukei ni Taukei ni Taukei
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","E na yalo malumalumu ni nuitaka me'u raica, e na gusuna e dua na daunivakasala,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Na cava e rawa ni cakava na tamata me sega ni dauveivakaisini?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","E sega ni vinaka, ia e dau soli ga na kakana ni kakana?"
  Avoir un ventre usé par la marche ? une peau,Na yavaqu sa vaka na yavaqu sa vaka na tolona
