Scène 2.VIII.,Nǔɖeɖe 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mɛ e ɖo azɔ̌ wa wɛ lɛ́ɛ, bɔ yě jínjɔ́n ɖisíxwé, bó jínjɔ́n amyɔxwé"
et auxquels on sert à boire et à manger.,"È nɔ́ sɔ́ nǔ ɖu, bó nɔ́ sɔ́ sin dó alɔ mɛ nú yě."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (É nɔ dó gbe mɛ e nɔ tɔ́n bó ma nɔ́ dó gbe ɛ ǎ lɛ́ɛ kpo gbe e nɔ́ dó xomɛhunhun dó mɛ lɛ́ɛ kpo):
  Messieurs. . .Messieurs. . .Messieurs. . .,Mɛɖaxó lɛ́ɛ. Mɛɖaxó lɛ́ɛ.
"LE BRET (désolé, redescendant, les bras au ciel):","WÉ (L'sorceré, redescendant, alɔ ɖo jǐxwé):"
  Ah ! dans quels jolis draps.,É nyɔ́ kpɔ́n!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,A! A! A na nɔ́ ɖo xó ɖɔ wɛ!
LE BRET:,Wǒ kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn
"  Enfin, tu conviendras","Nǔ e na nyí mɔ̌ ɔ́, a na yí gbe"
"  Qu'assassiner toujours la chance passagère,",É nɔ́ nyí ɖɔ è nɔ́ hu mɛ e nɔ ɖó awǎjijɛ ɖ'ayǐ lɛ́ɛ bǐ.
  Devient exagéré.,É ɖò jijɔ wɛ.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ɛɛn, un nɔ́ ɖɔ xó zɛ jlɛ̌ jí."
LE BRET (triomphant):,WÉ (ɖó ɖu ɖ'é jí):
  Ah !,Ah! É ɖò mɔ̌ wɛ.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Lo ɔ́, nǔ e è nɔ ɖɔ dó nǔ e è nɔ wa ɔ́ wú ɔ́, nǔ e è nɔ ɖɔ dó nǔ e è nɔ wa ɔ́ wú ɔ́, nǔ e è nɔ ɖɔ dó nǔ e è nɔ wa ɔ́ wú ɔ́ wɛ nyí ɖɔ:"
  Je trouve qu'il est bon d'exagérer ainsi.,Un mɔ ɖɔ nǔ mɔ̌hunkɔtɔn lɛ́ɛ wɛ nyɔ́.
LE BRET:,Wǒ kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn kàn
"  Si tu laissais un peu ton âme mousquetaire,","Ényí a ka jó hwiɖée dó nú kú kpɛɖé ɔ́,"
  La fortune et la gloire. . .,Nǔkannuɖuɖu kpó susu kpó. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Nɛ̌ mǐ ka ɖó na wa gbɔn?
"  Chercher un protecteur puissant, prendre un patron,","É ná nyí gǎn ɖé wɛ é ná nɔ́ ná mɛ e nɔ kpé nukún dó wǔ tɔn lɛ́ɛ wú, bɔ é ná nyí gǎn tɔn."
  Et comme un lierre obscur qui circonvient un tronc,É cí avɔ e ɖo zozo ɔ́ mɛ é ɖɔhun
