Scène 2.VIII.,Fedde 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, ɓikkoy ɓalli, ɓe njooɗi haa nyaamo e haa nano"
et auxquels on sert à boire et à manger.,Ɓe ɗon nyaama ɓe ɗon njara.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (o ɗon jaɓɓa yimɓe ɓe njehi ɓe ngalaa jaɓugo mo):
  Messieurs. . .Messieurs. . .Messieurs. . .,Joomiraaɓe... joomiraaɓe... joomiraaɓe...
"LE BRET (désolé, redescendant, les bras au ciel):","L'OR (sorry, dow, juuɗe dow):"
  Ah ! dans quels jolis draps.,Aah! nder ɗereeji ɗi'i boo.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh! on! on ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon ɗon
LE BRET:,L'Oréal:
"  Enfin, tu conviendras",Aɗa haani
"  Qu'assassiner toujours la chance passagère,","Ko ɗum waɗi to ɓe ɗon wara, ɓe ɗon wara."
  Devient exagéré.,Ɗum ɓeydi ɓeydi.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Ee, mi ɗon ɓeyda."
LE BRET (triomphant):,LAMBAN (joofotooɗo):
  Ah !,Ah! Ha ha ha!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ammaa ngam daliila, e ngam misaalu boo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mi ɗon yi'a ɗum booɗɗum ngam mi ɓeydaaki ɗum.
LE BRET:,L'Oréal:
"  Si tu laissais un peu ton âme mousquetaire,","To a acci ɓernde maaɗa boo,"
  La fortune et la gloire. . .,Laamu e teddungal. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ko honno waɗata ?
"  Chercher un protecteur puissant, prendre un patron,","Ngam ɗaɓɓitaago goɗɗo mo woodi baawɗe, ngam ɗaɓɓitaago goɗɗo mo woodi baawɗe."
  Et comme un lierre obscur qui circonvient un tronc,E no ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde ɓernde
"  Et s'en fait un tuteur en lui léchant l'écorce,","O waɗi hoore maako mo ɗon hakkilana mo, o ɗon ɓanngina mo."
