Scène 2.VIII.,Adeemsa 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Siranoon, Le Bret, dargaggoonni mirga fi mirga taa'an"
et auxquels on sert à boire et à manger.,Isaan nyaatanii fi dhuganiifis ni kennamu.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANOO (warra gara manaatti ba'an nagaa gaafachuuf hin yaalleef sagalee gadhee kennuudhaan):
  Messieurs. . .Messieurs. . .Messieurs. . .,Gooftaaleen... Gooftaaleen... Gooftaaleen...
"LE BRET (désolé, redescendant, les bras au ciel):","(Gaaffii, gad deebi'aa, harka samiitti):"
  Ah ! dans quels jolis draps.,Mee akka uffata bareedaa kanaatti!
CYRANO:,Siranoon:
  Oh ! toi ! tu vas grogner !,"Aaddee, si'a tokkoof boo'i!"
LE BRET:,DHAGGAA:
"  Enfin, tu conviendras","Dhumarrattis, si gammachiisa"
"  Qu'assassiner toujours la chance passagère,","Yeroo hunda carraa darbuu ajjeesuu,"
  Devient exagéré.,Kana gochuun baay'ee nama gammachiisa.
CYRANO:,Siranoon:
"  Hé bien oui, j'exagère !","Eeyyee, baay'ee nan caalu!"
LE BRET (triomphant):,DHAGGAA (Dhaabbattuu):
  Ah !,Aaaah !
CYRANO:,Siranoon:
"  Mais pour le principe, et pour l'exemple aussi,","Haata'u malee, seera bu'uuraafi fakkeenyaafis,"
  Je trouve qu'il est bon d'exagérer ainsi.,Kana caalaa garmalee dubbachuun gaarii akka ta'e natti dhaga'ama.
LE BRET:,DHAGGAA:
"  Si tu laissais un peu ton âme mousquetaire,","Yoo ati lubbuu kee isa hin beekne tokkoof dhiistee,"
  La fortune et la gloire. . .,Qabeenyaafi ulfinni . . .
CYRANO:,Siranoon:
  Et que faudrait-il faire ?,"Kana malees, maal gochuu qabna?"
"  Chercher un protecteur puissant, prendre un patron,","Gargaaraa cimaa argachuu, hogganaa fudhachu,"
  Et comme un lierre obscur qui circonvient un tronc,Akkuma daabboo dukkanaa daabboo marsee
"  Et s'en fait un tuteur en lui léchant l'écorce,","Inni akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama isa eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf jecha, akka nama eeguuf isa qopheessu godheefi akka ta'e."
