Scène 2.VIII.,Scène 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, na h-iùil, a tha air an suidhe air an làimh dheis agus air an làimh chlì"
et auxquels on sert à boire et à manger.,agus a bhios iad air an fhrithealadh agus air an itheadh.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (a' cur fàilte le fuaim-èiginn air an fheadhainn a tha a' dol a-mach gun a bhith a' cur fàilte air):
  Messieurs. . .Messieurs. . .Messieurs. . .,A Thighearnaibh. A Thighearnaibh.
"LE BRET (désolé, redescendant, les bras au ciel):","BREAT (a 'mhullach, a' dol sìos, a 'bhraith gu nèamh):"
  Ah ! dans quels jolis draps.,A-mà! anns na leatairean brèagha.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, a-nis, bidh thu a ' grogadh!"
LE BRET:,A ' BREAT:
"  Enfin, tu conviendras","Mu dheireadh, bidh thu co-chòrdte"
"  Qu'assassiner toujours la chance passagère,","Gu bheil thu a 'call an t-suidheachadh a' toirt seachad,"
  Devient exagéré.,Tha e a 'fàs iom-fhillte.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Uill, tha mi a 'dèanamh iomarcachd!"
LE BRET (triomphant):,A ' BREAT (dealasach):
  Ah !,Ach!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ach airson a 'phrionnsapal, agus airson an eisimpleir cuideachd,"
  Je trouve qu'il est bon d'exagérer ainsi.,Tha mi a' smaoineachadh gu bheil e math a bhith a' troimh-chèile mar sin.
LE BRET:,A ' BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Ma dh'fhàg thu do anam a's moiseic beagan,"
  La fortune et la gloire. . .,Air leth agus air leth . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Agus dè a dh ' fheumas a dhèanamh?
"  Chercher un protecteur puissant, prendre un patron,","A 'coimhead airson neach-dìon cumhachdach, a' gabhail ceannard,"
  Et comme un lierre obscur qui circonvient un tronc,Mar chraobh dorcha a tha a' cearcadh air trùin
"  Et s'en fait un tuteur en lui léchant l'écorce,",Agus bidh e a' dèanamh neach-taic air a chraobh agus a' leigheadh a' chraobh.
  Grimper par ruse au lieu de s'élever par force ?,A 'cruinneachadh le treac an àite a bhith a' togail le feachd?
"  Non, merci. Dédier, comme tous il le font,","No, taing."
  Des vers aux financiers ? se changer en bouffon,Bho na creagan gu na h-airgead?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ann an dòchas ìomhaigh fhaicinn, air beul ministear,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","A 'toirt aoibhneas air gàire, mu dheireadh, nach eil sin dona?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",A bheil thu a 'toirt biadh a-steach do'n t-sgeul-làithe gach latha?
  Avoir un ventre usé par la marche ? une peau,A bhith a ' faighinn a ' bhroinn air a bhith a ' coiseachd?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Cò a tha nas luaithe, an àite na h-àirdean, a 'fàs salach?"
  Exécuter des tours de souplesse dorsale ?. . .,A 'dèanamh tursan leasaiche cùil? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Chan eil, taing. Le làimh aon a 'cluiche a' geata a 'cruinneachadh"
"  Cependant que, de l'autre, on arrose le chou,","Ach, an uair a tha an fear eile, bidh sinn a 'sgearradh an caol,"
"  Et, donneur de séné par désir de rhubarbe,","Agus a 'toirt a-mach seinn le bhith a' feitheamh ri rhubarb,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","A bhith a 'toirt a' phìos-deas aige, an-còmhnaidh, ann an aon chraiceann?"
"  Non, merci ! Se pousser de giron en giron,","No, taing! A 'brosnachadh bho mheud gu mheud,"
"  Devenir un petit grand homme dans un rond,","A bhith na dhuine mòr beag ann an cuairt,"
"  Et naviguer, avec des madrigaux pour rames,","Agus a' siubhal, le madrigalan airson ràmhan,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Agus anns na seallaidhean aige, brògan seann bhan-chràinte?"
"  Non, merci ! Chez le bon éditeur de Sercy","Chan eil, taing, aig an neach-deasachaidh Sercy ceart."
"  Faire éditer ses vers en payant ? Non, merci !",A 'cur a' ghnèitheas a-steach le bhith a' pàigheadh?
  S'aller faire nommer pape par les conciles,A' dol a' cur air adhart le Pope le Coinneisean
  Que dans des cabarets tiennent des imbéciles ?,Gu bheil daoine a ' cumail ann an cabarets?
