Scène 2.VIII.,Scéim 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, na cailíní, a bhí ina suí ar dheis agus ar chlé"
et auxquels on sert à boire et à manger.,Agus a dhéantar iad a ithe agus a ól.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (a raibh sé ag cur fáilte roimh na daoine a bhí ag dul amach gan a bheith in ann cur fáilte roimh):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tá mé ag iarraidh a rá go bhfuil an t-amhrán ag teacht ar an gcluiche.
"LE BRET (désolé, redescendant, les bras au ciel):","BREAT (deas, ag teacht síos, ar a lámh go dtí an spéir):"
  Ah ! dans quels jolis draps.,"Ach, cad iad na leapaí deas."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ach, tú, beidh tú ag grogging!"
LE BRET:,An BREAT:
"  Enfin, tu conviendras","Ar deireadh, beidh tú i do thoil"
"  Qu'assassiner toujours la chance passagère,","Go n-éireoidh an t-ádh a bheith ann,"
  Devient exagéré.,Tá sé ag dul thar a bheith.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ach, tá mé ag dul thar a bheith!"
LE BRET (triomphant):,An BREAT (triomphant):
  Ah !,"Ach, a!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ach mar gheall ar an bprionsabal, agus mar shampla freisin,"
  Je trouve qu'il est bon d'exagérer ainsi.,Is maith liom an t-éagrú mar sin.
LE BRET:,An BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Dá bhfágann tú do shamhsa a bheith beagáinín,"
  La fortune et la gloire. . .,Aoi agus a ghlóir. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Agus cad ba cheart a dhéanamh?
"  Chercher un protecteur puissant, prendre un patron,","Ag lorg cosaint chumhachtach, ag glacadh ceann,"
  Et comme un lierre obscur qui circonvient un tronc,Agus mar a bhíonn an t-uisce dorcha ag dul timpeall ar thruach
"  Et s'en fait un tuteur en lui léchant l'écorce,","Agus a dhéanann sé a cuiditheoir, ag liathadh a chraobh,"
  Grimper par ruse au lieu de s'élever par force ?,Ag éirí suas le tricks seachas ag éirí suas le foró?
"  Non, merci. Dédier, comme tous il le font,",Ní raibh maith agat.
  Des vers aux financiers ? se changer en bouffon,Ó na fíoraí go dtí na hacmhainní airgeadais?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ag súil go mór le feiceáil, le beirt an Aire,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","A thabhairt ar fáil le gáire, ar deireadh, nach bhfuil sinsearach?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ní raibh aon chaillíneas ag an am?
  Avoir un ventre usé par la marche ? une peau,A bheith ag caitheamh a bholg ag siúl?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Cé a bhíonn níos tapa ná a bheith trua ná a ghlúine?
  Exécuter des tours de souplesse dorsale ?. . .,An bhfuil sé ina chúis le go leor athruithe a dhéanamh ar an gcúl? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ní raibh maith agat, le lámh amháin, a phlaigh an cait ar an gcúl"
"  Cependant que, de l'autre, on arrose le chou,","Ach má tá an fear eile, a bhfuil an caol a uisce,"
"  Et, donneur de séné par désir de rhubarbe,","Agus a thugann na h-aigí le haghaidh rhubarb,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",A bheith ina chraobh-sléibhe i gcónaí i ndearbh?
