Scène 2.VIII.,Escenario 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, os menores, que se sentaron á dereita e á esquerda"
et auxquels on sert à boire et à manger.,e que se lles sirven para comer e beber.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludando con un ar de galego a quen saía sen atreverse a saludar):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xentores, xent"
"LE BRET (désolé, redescendant, les bras au ciel):","O BRET (sorry, descenso, brazos para o ceo):"
  Ah ! dans quels jolis draps.,Que lindas láminas.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ti, vai gritar!"
LE BRET:,O BREET:
"  Enfin, tu conviendras","Finalmente, vai ser ben"
"  Qu'assassiner toujours la chance passagère,","Que sempre asesinar a sorte pasajera,"
  Devient exagéré.,Está a ser exagerado.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Si, estou a exagerar."
LE BRET (triomphant):,O BRET (triunfante):
  Ah !,"Ah, que bo!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Pero para o principio, e para o exemplo tamén,"
  Je trouve qu'il est bon d'exagérer ainsi.,Creo que é bo exagerar así.
LE BRET:,O BREET:
"  Si tu laissais un peu ton âme mousquetaire,","Se deixas un pouco a túa alma mosqueta,"
  La fortune et la gloire. . .,A riqueza e a gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,E que se fai?
"  Chercher un protecteur puissant, prendre un patron,","Buscar un protector poderoso, tomar un patrón,"
  Et comme un lierre obscur qui circonvient un tronc,E como unha liria escura que rodea un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E fai un patrón, lixando a súa casca,"
  Grimper par ruse au lieu de s'élever par force ?,Escalar por engano en vez de subir por forza?
"  Non, merci. Dédier, comme tous il le font,","Non, grazas."
