Scène 2.VIII.,Ñemohenda 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, umi mitãrusu, oguapyva'ekue akatúa ha izquierda"
et auxquels on sert à boire et à manger.,Ha'ekuéra ho'u ha ho'u.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (oñembo'e porãva umi osẽvape ha ndojokóiva omomaitei):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra, karai kuéra,"
"LE BRET (désolé, redescendant, les bras au ciel):","PEKÁRA (ñembyasy, oguejy, ipópe yvága):"
  Ah ! dans quels jolis draps.,¡Ajépa iporãite umi ao.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Nde, reñembyasýi!"
LE BRET:,Pe mba'epu'ã:
"  Enfin, tu conviendras","Ipahápe, reñemboja porãta"
"  Qu'assassiner toujours la chance passagère,","Ha'e nunga rupi ejuka sapy'aite guive,"
  Devient exagéré.,Oiméne hetaiterei mba'e.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
LE BRET (triomphant):,PEKUAÁRA (oñemomba'eguasu):
  Ah !,¡Aha!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Péro principio rehehápe, ha techapyrã rehehápe avei,"
  Je trouve qu'il est bon d'exagérer ainsi.,Aimo'ã iporãha jajeroviave hese.
LE BRET:,Pe mba'epu'ã:
"  Si tu laissais un peu ton âme mousquetaire,","Reheja ramo nde py'a mbovy'a,"
  La fortune et la gloire. . .,Mba'e porã ha mba'e porã.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ha mba'épa jajapo va'erã?
"  Chercher un protecteur puissant, prendre un patron,","Ejerure peteĩ protector imbaretevéva, eiporavo peteĩ patrón,"
  Et comme un lierre obscur qui circonvient un tronc,Ha pytũmby morotĩmby ojereva yvyra rakãre
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ha'e ojapo chugui peteĩ omomba'eguasúva, omomemby hag̃ua."
  Grimper par ruse au lieu de s'élever par force ?,"¿Oñemombo'e hag̃ua ha'eño ha'eño, ha'eño ndojupíri hag̃ua?"
"  Non, merci. Dédier, comme tous il le font,","Ndaipóri, aguije, opavave ojapo,"
  Des vers aux financiers ? se changer en bouffon,"Umi mbarakaja guive umi viru reheve, oiko chugui mba'e'yru"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ojerovia vaiete rehe, ohecha haguã, peteĩ ministro ñe'ẽ rehe,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Mba'e piko nde rejapova'erã ndehegui nde pukavýpe?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ndaipóri, ndaipóri."
  Avoir un ventre usé par la marche ? une peau,"Oiméramo peteï tyekue ohasáva oguata rupi, peteĩ pire"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Máva pya'evépa, ipo'ígui, oitypa?"
  Exécuter des tours de souplesse dorsale ?. . .,¿Oñemotenonde vaʼerãpa umi mbaʼe ojehupytýva espalda? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ndaipóri, aguyje."
"  Cependant que, de l'autre, on arrose le chou,","Ha katu, ambue reheve, ñamoĩ ka'avo,"
"  Et, donneur de séné par désir de rhubarbe,","Ha'e niko omomemby guasu,"
