Scène 2.VIII.,દ્રશ્ય ૨.૮.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","સિરાનો, લે બ્રેટ, કિડનર્સ, જે જમણે અને ડાબે બેસી ગયા"
et auxquels on sert à boire et à manger.,અને પીવા અને ખાવા માટે તેમને સેવા આપવામાં આવે છે.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,સાયરોન (જેમને બહાર આવવા માટે હિંમત ન હોય તેમને ગૌરવપૂર્ણ રીતે સલામ કરતા):
  Messieurs. . .Messieurs. . .Messieurs. . .,સજ્જનો. . . . સજ્જનો. . . . સજ્જનો. . . .
"LE BRET (désolé, redescendant, les bras au ciel):","(દિલગીર, નીચે, હાથ આકાશમાં):"
  Ah ! dans quels jolis draps.,"ઓહ, તે સુંદર લેન્ડ્સમાં."
CYRANO:,સાયરોનઃ
  Oh ! toi ! tu vas grogner !,"ઓહ, તમે! તમે ગૂંથશો!"
LE BRET:,"""બ્રેટ"""
"  Enfin, tu conviendras","આખરે, તમે હકદાર છો"
"  Qu'assassiner toujours la chance passagère,","કે જે હંમેશા ક્ષણિક તક હત્યા,"
  Devient exagéré.,તે વધારે પડતું છે.
CYRANO:,સાયરોનઃ
"  Hé bien oui, j'exagère !","હા, હા, હું ખૂબ જ વધારે પડતો છું!"
LE BRET (triomphant):,"""બ્રેટ"" (વિજયી):"
  Ah !,અહ !
CYRANO:,સાયરોનઃ
"  Mais pour le principe, et pour l'exemple aussi,","પરંતુ સિદ્ધાંત માટે, અને ઉદાહરણ માટે પણ,"
  Je trouve qu'il est bon d'exagérer ainsi.,મને લાગે છે કે આ રીતે વધારે પડતી વાતો કરવી સારી છે.
LE BRET:,"""બ્રેટ"""
"  Si tu laissais un peu ton âme mousquetaire,","જો તમે તમારા મુસ્કીત આત્માને થોડોક છોડી દો,"
  La fortune et la gloire. . .,સંપત્તિ અને ખ્યાતિ. . .
CYRANO:,સાયરોનઃ
  Et que faudrait-il faire ?,અને શું કરવું?
"  Chercher un protecteur puissant, prendre un patron,","એક શક્તિશાળી રક્ષક શોધો, એક બોસ પસંદ કરો,"
  Et comme un lierre obscur qui circonvient un tronc,અને એક અંધકારમય લિલર જે એક ટુકડાની આસપાસ છે
"  Et s'en fait un tuteur en lui léchant l'écorce,",અને તે તેનાં પાળક બની જાય છે.
  Grimper par ruse au lieu de s'élever par force ?,બળથી ઉઠવાની જગ્યાએ યુક્તિથી ચડવું?
"  Non, merci. Dédier, comme tous il le font,","ના, આભાર. બધા લોકો કરે છે તેમ,"
  Des vers aux financiers ? se changer en bouffon,ધિરાણકર્તાઓને ધિરાણકર્તા બનવાની તકલીફ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","એક મંત્રીના મુખ પર,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","હસવું, જે ખરાબ નથી?"
