Scène 2.VIII.,Scenario 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, jèn yo, ki te chita sou bò dwat ak sou bò gòch"
et auxquels on sert à boire et à manger.,Yo sèvi yo manje ak bwè.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (souye moun ki soti san yo pa osé salye l':
  Messieurs. . .Messieurs. . .Messieurs. . .,"Mesye, mesye, mesye, mesye, mesye,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (trouye, desann, bra nan syèl la):"
  Ah ! dans quels jolis draps.,Ah! nan ki bèl twal.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ou, ou pral gronk!"
LE BRET:,BREAT:
"  Enfin, tu conviendras","Finalman, ou pral fè sa"
"  Qu'assassiner toujours la chance passagère,","Ki toujou asasinen chans pasaje,"
  Devient exagéré.,Li vin twò gwo.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Mwen pa vle di sa.
LE BRET (triomphant):,BRET (triyonf):
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men, pou prensip la, ak pou egzanp la tou,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mwen panse ke li bon pou yo twòp konsa.
LE BRET:,BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Si ou kite yon ti kras nan nanm ou mosketer,"
  La fortune et la gloire. . .,Richès ak bèl pouvwa. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,E sa ki ta dwe fèt?
"  Chercher un protecteur puissant, prendre un patron,","Chèche yon pwoteksyon ki gen pouvwa, pran yon patron,"
  Et comme un lierre obscur qui circonvient un tronc,Li tankou yon lyon nwa ki antoure yon tronp
"  Et s'en fait un tuteur en lui léchant l'écorce,",Li pran yon moun pou l' pran l' pou l' pran l' pou l' pran l'.
  Grimper par ruse au lieu de s'élever par force ?,Lè w monte sou yon mòn an plas pou w monte sou yon mòn an plas pou w monte?
"  Non, merci. Dédier, comme tous il le font,","Pa, mèsi."
  Des vers aux financiers ? se changer en bouffon,Soti nan verite nan finansye?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Nan espwa vil yo wè, nan bouch yon minis,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Se yon souri ki pa mal.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Pa, mèsi."
  Avoir un ventre usé par la marche ? une peau,Èske w gen yon vant ki ap mache ap koule?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ki moun ki pi vit vin sal nan plas jenou yo?
  Exécuter des tours de souplesse dorsale ?. . .,Fè yon tour sou kò ou pou w ranfòse do ou? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Pa, mèsi."
"  Cependant que, de l'autre, on arrose le chou,","Men, si nou mete kabwon an sou lòt la,"
"  Et, donneur de séné par désir de rhubarbe,",Li te fè yon ti fi nan tèt li pou l' te gen yon gwo bèl barb.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Èske li toujou gen yon gwo bout bwa l?
"  Non, merci ! Se pousser de giron en giron,","Pa, mèsi."
"  Devenir un petit grand homme dans un rond,","Vin yon ti gwo nonm nan yon wonn,"
"  Et naviguer, avec des madrigaux pour rames,","Ak navige, ak madrigad pou rem,"
  Et dans ses voiles des soupirs de vieilles dames ?,"E nan vèl li yo, gen soupire granmoun dam yo?"
"  Non, merci ! Chez le bon éditeur de Sercy","Pa, mèsi, nan editè bon an nan Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Fè l' edite vè l' pa peye?
  S'aller faire nommer pape par les conciles,Pou Konsèy yo Ap Fè Papa a
  Que dans des cabarets tiennent des imbéciles ?,Ki sa ki nan kabin yo kenbe imbéciles?
"  Non, merci ! Travailler à se construire un nom","Pa, mèsi, travay pou w bati yon non"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Nan yon sonnet, olye pou yo fè lòt sonnet?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Mèsi, se sèlman nan mazèt yo ou ka jwenn talan?"
"  Être terrorisé par de vagues gazettes,","Lè w pè pa gazèt vag,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Epi toujou di tèt li: Oh, si mwen se"
  Dans les petits papiers du Mercure François ?. . .,Nan ti papye Merkur Francis la? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Pa, mèsi. Kalkile, pè, gen kè kontan."
"  Aimer mieux faire une visite qu'un poème,",Li pi bon pou w vizite pase pou w ekri yon powèm.
"  Rédiger des placets, se faire présenter ?","Fè yon ti papye, fè tèt ou konnen?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Non, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mèsi, mè"
"  Rêver, rire, passer, être seul, être libre,","Rèv, ri, pase, pou kont li, pou lib,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Gen je ki wè byen, vwa ki fè tranbleman,"
"  Mettre, quand il vous plaît, son feutre de travers,","Mete, lè ou vle, santiman li nan twòp,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pou yon wi, pou yon non, goumen, - oswa fè yon vè!"
"  Travailler sans souci de gloire ou de fortune,","Travay san yo pa chache glwa oswa richès,"
"  A tel voyage, auquel on pense, dans la lune !","Yon vwayaj nan lalin lan, sa ki nou panse a!"
"  N'écrire jamais rien qui de soi ne sortît,","Pa janm ekri anyen ki pa soti nan tèt ou,"
"  Et modeste d'ailleurs, se dire: mon petit,","Epi modès, di tèt li: ti gason mwen,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Li ka kontan ak flè, fwi, menm fèy."
  Si c'est dans ton jardin à toi que tu les cueilles !,Si ou ap chache yo nan jaden ou!
"  Puis, s'il advient d'un peu triompher, par hasard,","Lè sa a, si li rive genyen yon ti triyonf, pa chans,"
"  Ne pas être obligé d'en rien rendre à César,",Se pou ou pa oblije bay Sezare lajan.
"  Vis-à-vis de soi-même en garder le mérite,","Pou kenbe merite li nan tèt ou,"
"  Bref, dédaignant d'être le lierre parasite,","Nan yon ti bout tan, refize yo dwe lierre parasite a,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Menm lè nou pa pye bwa an bwa oswa pye bwa a,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Pa monte byen wo, petèt, men pou kont li!"
LE BRET:,BREAT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Se pou kont li, men se pa kont tout moun."
  As-tu donc contracté la manie effroyable,"Se konsa, ou te gen mania a terib"
"  De te faire toujours, partout, des ennemis ?",Pou fè lènmi tout tan?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Lè m wè nou vin fè zanmi,"
"  Et rire à ces amis dont vous avez des foules,","Ak ri nan zanmi sa yo ou gen yon foul moun,"
  D'une bouche empruntée au derrière des poules !,Li gen yon bouch ki pran l' dèyè ti poul!
"  J'aime raréfier sur mes pas les saluts,","Mwen renmen fè yon salye sou pye m yo,"
  Et m'écrie avec joie: un ennemi de plus !,Epi rele m 'ak kè kontan: yon lòt lènmi!
LE BRET:,BREAT:
  Quelle aberration !,Sa a se yon abèrasyon.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Oke, wi, se vi mwen."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mwen renmen moun rayi m.
"  Mon cher, si tu savais comme l'on marche mieux","Chè m, si ou te konnen kijan pou mache pi byen"
  Sous la pistolétade excitante des yeux !,Nan je yo ki eksitan!
"  Comme, sur les pourpoints, font d'amusantes taches","Kòm, sou pwen yo, fè tach amizan"
  Le fiel des envieux et la bave des lâches !,Gwof nan jalouzi ak gwof nan lafòt!
"  --Vous, la molle amitié dont vous vous entourez,","Ou, ti zanmi ou ki antoure,"
"  Ressemble à ces grands cols d'Italie, ajourés","Li sanble ak gwo kou sa yo nan peyi Itali, ranvwaye"
"  Et flottants, dans lesquels votre cou s'effémine:","Ak flòt, nan ki kou ou ap pè:"
"  On y est plus à l'aise. . .et de moins haute mine,","Nou pi alèz nan li. ... ak pi piti nan tèt,"
"  Car le front n'ayant pas de maintien ni de loi,","Paske devan an pa gen okenn règleman oswa lwa,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Li bay tèt li pou l' gade nan tout direksyon.
"  La Haine, chaque jour, me tuyaute et m'apprête","Koute chak jou, li fè m' santi mwen byen"
  La fraise dont l'empois force à lever la tête;,Frate a ki gen pwazon fòse tèt la leve;
  Chaque ennemi de plus est un nouveau godron,Chak lòt lènmi se yon nouvo kabrit
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Li ajoute yon bagay ki fè m' mal, li ajoute yon bagay ki fè m' mal."
"  Car, pareille en tous points à la fraise espagnole,","Paske, menm jan ak fraz Panyòl nan tout bagay,"
"  La Haine est un carcan, mais c'est une auréole !","Rayi a se yon karkan, men li se yon auréole!"
