Scène 2.VIII.,Yanayin 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, 'yan ƙaramin, waɗanda suka zauna a dama da hagu"
et auxquels on sert à boire et à manger.,"Kuma anã bã su shã da su, kuma anã cinye su."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yana gaishe da waɗanda suka fita ba tare da yin hakan ba):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ya ku mutane, ku mutane"
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (m, saukar, hannayensu sama):"
  Ah ! dans quels jolis draps.,A cikin irin ɗamara mai kyau.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, kai! Za ka yi kuka!"
LE BRET:,Abin da ya faru:
"  Enfin, tu conviendras","A ƙarshe, za ka yi nasara."
"  Qu'assassiner toujours la chance passagère,",Ka yi amfani da wannan lokaci don ka yi wa kanka laifi.
  Devient exagéré.,Wannan ya fi ƙarfin hali.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Na yi magana da kai sosai.
LE BRET (triomphant):,"""MARYA"""
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Amma ga ka'ida, kuma ga misali ma,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ina ganin yana da kyau a yi hakan.
LE BRET:,Abin da ya faru:
"  Si tu laissais un peu ton âme mousquetaire,","Idan ka bar ranka ya yi kama da ƙwaya,"
  La fortune et la gloire. . .,Dukiya da Girma . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Me za a yi?
"  Chercher un protecteur puissant, prendre un patron,","Neman mai kāre mai ƙarfi, da kuma neman shugabanci."
  Et comme un lierre obscur qui circonvient un tronc,Kamar wani duhu mai ƙuƙwalwa wanda yake kewaye da ƙuƙwalwa.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kuma ya sanya kansa mai kula da shi, yana licking shi da barkono,"
  Grimper par ruse au lieu de s'élever par force ?,"Shin, za ka iya yin hawan da basira maimakon ka yi hawan da ƙarfi?"
"  Non, merci. Dédier, comme tous il le font,","Na gode, ba na son yin hakan."
  Des vers aux financiers ? se changer en bouffon,Daga Tsuntsaye zuwa Masu Kudin Kuɗi
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Da fatan ganin, a kan bakin wani minista,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ka yi murmushi, ko da yake ba ka da munanan halaye."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ba za ka iya cin abincin rana ba?
  Avoir un ventre usé par la marche ? une peau,"Ka ji kamar ka yi tafiya a ciki, ka yi fata"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Wane ne ya fi sauri zama datti a wurin da ya kamata ya yi?
  Exécuter des tours de souplesse dorsale ?. . .,Yin amfani da na'urorin da ke sa a yi amfani da su wajen yin motsa jiki? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ba na gode, amma ina so in yi wa 'yar'uwarmu magana da hannu ɗaya"
"  Cependant que, de l'autre, on arrose le chou,","Kuma idan muka shãfe shi da ruwa,"
"  Et, donneur de séné par désir de rhubarbe,","Kuma wanda ya yi wa kansa ƙãra, dõmin ya yi sha'awar ƙãra."
"  Avoir son encensoir, toujours, dans quelque barbe ?","Shin, yana da turare a cikin wani gemu?"
"  Non, merci ! Se pousser de giron en giron,","Na gode, na yi ƙoƙari na yi wa kaina magana."
"  Devenir un petit grand homme dans un rond,","Kasancewa babban mutum a cikin zagaye,"
"  Et naviguer, avec des madrigaux pour rames,","Kuma su yi tafiya a cikin ruwa, sunã da mãkirci na raƙuman ruwa."
  Et dans ses voiles des soupirs de vieilles dames ?,Kuma a cikin safofin hannu na tsofaffin mata suna ta kuka?
"  Non, merci ! Chez le bon éditeur de Sercy",A wurin da aka rubuta Sercy.
"  Faire éditer ses vers en payant ? Non, merci !",Ka yi wa mutane gyara ta wajen biyan kuɗi?
  S'aller faire nommer pape par les conciles,Ka Yi Bukatar Ka Zama Paparoma a Majalisar
  Que dans des cabarets tiennent des imbéciles ?,Don me ba za a iya ganin irin wannan mutumin ba?
"  Non, merci ! Travailler à se construire un nom",Na yi aiki don yin suna
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","A kan sautin, maimakon yin wasu?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ka ce za ka iya samun basira a cikin gidajen abinci?
"  Être terrorisé par de vagues gazettes,",Ka ji tsoron jaridu masu yawa.
"  Et se dire sans cesse: Oh, pourvu que je sois","Kuma kullum ina cewa, ""Oh, idan na kasance"
  Dans les petits papiers du Mercure François ?. . .,A cikin takardun Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ka yi tunani, ka ji tsoro, ka yi tunani."
"  Aimer mieux faire une visite qu'un poème,","Ka fi son ziyarar fiye da waƙa,"
"  Rédiger des placets, se faire présenter ?","Ka rubuta takardun shaida, ka gabatar da kanka?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Na gode, na gode, na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, amma na gode, na gode, amma na gode, na gode, amma na gode, na gode, amma na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode, na gode,"
"  Rêver, rire, passer, être seul, être libre,","Ka yi mafarki, ka yi dariya, ka wuce, ka kasance ka kaɗai, ka kasance da 'yanci,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ka kasance da ido mai kyau, da murya mai rawar jiki."
"  Mettre, quand il vous plaît, son feutre de travers,","Ka sanya, a lokacin da ka so, ta ji na m,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Don a yi a, don a ba, yi yaki, - ko yi wani worm!"
"  Travailler sans souci de gloire ou de fortune,",Kada ka yi aiki ba tare da neman daraja ko dukiya ba.
