Scène 2.VIII.,סצנה 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","סיראנו, ברט, הצעירים, שהושבו ימינה ושמאלית"
et auxquels on sert à boire et à manger.,והם משמשים להם כדי לאכול ולשתות.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,סירנו (מברך באוויר גוג'ינרי את מי שיצא מבלי לחזות לשלום אותו):
  Messieurs. . .Messieurs. . .Messieurs. . .,"רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותיי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי, רבותי,"
"LE BRET (désolé, redescendant, les bras au ciel):","""הנפש"" (נשאל, ירד, זרועות לשמיים):"
  Ah ! dans quels jolis draps.,"אה, איזה מגפיים יפים."
CYRANO:,סירנו:
  Oh ! toi ! tu vas grogner !,אתה תצרוך!
LE BRET:,-השריר:
"  Enfin, tu conviendras","סוף סוף, אתה תהיה בסדר."
"  Qu'assassiner toujours la chance passagère,","תמיד לרצוח את המזל העברוני,"
  Devient exagéré.,זה מגזין.
CYRANO:,סירנו:
"  Hé bien oui, j'exagère !","כן, אני מתגבר."
LE BRET (triomphant):,"""הגבר"" (הנצח):"
  Ah !,"אה, אה!"
CYRANO:,סירנו:
"  Mais pour le principe, et pour l'exemple aussi,","אבל על העיקרון, ועל הדוגמה גם,"
  Je trouve qu'il est bon d'exagérer ainsi.,אני חושב שזה טוב להקיף את זה.
LE BRET:,-השריר:
"  Si tu laissais un peu ton âme mousquetaire,","אם היית משאיר את נשמתך המוסקטטית קצת,"
  La fortune et la gloire. . .,העושר והתהילה. . .
CYRANO:,סירנו:
  Et que faudrait-il faire ?,מה צריך לעשות?
"  Chercher un protecteur puissant, prendre un patron,","למצוא מוגן חזק, לקחת מנהיג,"
  Et comme un lierre obscur qui circonvient un tronc,כמו גליל אפל שמקיף גזע
"  Et s'en fait un tuteur en lui léchant l'écorce,","הוא עושה את זה מטפל, ללקח את העור שלו,"
  Grimper par ruse au lieu de s'élever par force ?,לטפס בכוחות רמה במקום לטפס בכוח?
"  Non, merci. Dédier, comme tous il le font,","לא, תודה, אבל להקדיש, כמו כולם,"
  Des vers aux financiers ? se changer en bouffon,מבעלי אגרוף למסכנים?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","בתקווה נזונה לראות, על פי שר,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","להוליד חיוך, אחרי הכל, שלא יהיה מרושע?"
