Scène 2.VIII.,दृश्य 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ब्रेट, किशोर, जो दाईं ओर और बाएं बैठ गए"
et auxquels on sert à boire et à manger.,और उन्हें खाना-पीना और खाना-पीना दिया जाता है
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"साइरो (जो लोग बाहर निकलने पर भी उसे नमस्कार करने की हिम्मत नहीं करते हैं, उन्हें गोगन की तरह सलाम करते हुए):"
  Messieurs. . .Messieurs. . .Messieurs. . .,सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्जनों सज्
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (आवेदना, नीचे, हाथों को आकाश):"
  Ah ! dans quels jolis draps.,"अरे, ये कितनी सुंदर कपड़े हैं।"
CYRANO:,साइरोन:
  Oh ! toi ! tu vas grogner !,"अरे, तुम, तुम गूँगागे!"
LE BRET:,- मैं कहता हूँ .
"  Enfin, tu conviendras","आखिरकार, आप ठीक होंगे"
"  Qu'assassiner toujours la chance passagère,","कि हमेशा क्षणिक भाग्य को मारना,"
  Devient exagéré.,यह बहुत अधिक है।
CYRANO:,साइरोन:
"  Hé bien oui, j'exagère !",मैं बहुत ज्यादा बोल रहा हूँ!
LE BRET (triomphant):,जीतने वाला:
  Ah !,आह!
CYRANO:,साइरोन:
"  Mais pour le principe, et pour l'exemple aussi,","लेकिन सिद्धांत के लिए, और उदाहरण के लिए भी,"
  Je trouve qu'il est bon d'exagérer ainsi.,मुझे लगता है कि यह बहुत अच्छा है।
LE BRET:,- मैं कहता हूँ .
"  Si tu laissais un peu ton âme mousquetaire,","यदि तू अपने मुसकेदार आत्मा को थोड़ा छोड़ दे,"
  La fortune et la gloire. . .,धन और महिमा. . .
CYRANO:,साइरोन:
  Et que faudrait-il faire ?,और क्या करना चाहिए?
"  Chercher un protecteur puissant, prendre un patron,","एक शक्तिशाली संरक्षक की तलाश करना, एक मालिक चुनना,"
  Et comme un lierre obscur qui circonvient un tronc,और जैसे एक मुट्ठी में एक मुट्ठी में एक मुट्ठी में एक मुट्ठी में एक मुट्ठी में एक मुट्ठी
"  Et s'en fait un tuteur en lui léchant l'écorce,","और उसे अपने लिए एक संरक्षक बना लेगा, और उसकी खाल को लात खाएगा,"
  Grimper par ruse au lieu de s'élever par force ?,बल से चढ़ने के बजाय छल से चढ़ना?
"  Non, merci. Dédier, comme tous il le font,","नहीं, धन्यवाद, समर्पण, जैसा कि सभी लोग करते हैं,"
