Scène 2.VIII.,दृश्य २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ले ब्रेट, किशोर, जेमन दाहिन अउ बाएं बैठिन"
et auxquels on sert à boire et à manger.,अऊ ओमन ला खाय पीये बर घलो चारा दे जाथे।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (जोहरहरहरहर बिना ओला सलाम करे के हिम्मत करे बाहर निकले ल गोगनहार हवा ले सलाम करत):
  Messieurs. . .Messieurs. . .Messieurs. . .,"सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन मन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्जन, सज्"
"LE BRET (désolé, redescendant, les bras au ciel):","ओ ब्रीट (अपन दुख, नीचे उतरत, हाथ ऊपर):"
  Ah ! dans quels jolis draps.,"ओह, कइसन सुंदर कपड़ा म।"
CYRANO:,साइरोन:
  Oh ! toi ! tu vas grogner !,"ओह, तुंहर! तुंहर गूंज होही!"
LE BRET:,ओ बीटी:
"  Enfin, tu conviendras","आखिर म, तोर संग होही"
"  Qu'assassiner toujours la chance passagère,","कि हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल, हर पल"
  Devient exagéré.,जादा जादा हो जाथे।
CYRANO:,साइरोन:
"  Hé bien oui, j'exagère !","ओह, हां, मैं जादा ले जादा करत हंव!"
LE BRET (triomphant):,BRET (विजेता):
  Ah !,ओह !
CYRANO:,साइरोन:
"  Mais pour le principe, et pour l'exemple aussi,","लेकिन सिद्धांत बर, अउ उदाहरण बर घलो,"
  Je trouve qu'il est bon d'exagérer ainsi.,मोला लगथे कि अइसन अतिरंजित करना अच्छा हवय।
LE BRET:,ओ बीटी:
"  Si tu laissais un peu ton âme mousquetaire,","यदि तेंह अपन हिरदय ला थोरकन देर तक अपन संग रखथस,"
  La fortune et la gloire. . .,धन अऊ महिमा. . .
CYRANO:,साइरोन:
  Et que faudrait-il faire ?,अऊ का करे जाय?
"  Chercher un protecteur puissant, prendre un patron,","एक मजबूत संरक्षक के खोज, एक मालिक ल चुनना,"
